start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
1050	18958	1	A	0.99998	33	33	1	33
19124	65938	2	A	0.99974	118	85	34	118
66024	70050	3	A	0.97752	126	8	119	126
73780	107020	4	A	0.76004	184	58	127	184
109040	139460	5	A	1.0	237	53	185	237
142550	203110	6	B	0.94	332	95	238	332
208170	224780	7	C	0.61	374	42	333	374
231670	233780	8	A	0.83	378	4	375	378
245760	267680	9	A	0.99007	438	60	379	438
270620	289720	10	A	0.27119	448	10	439	448
292080	330950	11	A	0.99856	480	32	449	480
333930	393100	12	D	0.99886	595	115	481	595
400920	418780	13	A	0.99993	621	26	596	621
424000	459192	14	B	0.97	684	63	622	684
459246	505850	15	A	0.55	786	102	685	786
506460	531880	16	A	0.96847	822	36	787	822
535510	562650	17	A	1.0	872	50	823	872
571630	574220	18	A	0.98874	880	8	873	880
579150	608870	19	A	0.99971	931	51	881	931
609290	633390	20	B	0.96268	975	44	932	975
633460	650020	21	A	1.0	1015	40	976	1015
652250	704390	22	C	0.53	1140	125	1016	1140
705850	731530	23	A	1.0	1203	63	1141	1203
731690	786506	24	A	0.99973	1316	113	1204	1316
786618	793090	25	A	0.99263	1327	11	1317	1327
795670	839730	26	A	0.99402	1417	90	1328	1417
847110	852200	27	A	0.7871	1425	8	1418	1425
855850	863820	28	A	0.99989	1439	14	1426	1439
868310	891980	29	A	0.74316	1498	59	1440	1498
894190	896140	30	A	0.9996	1501	3	1499	1501
902110	911390	31	A	0.84	1525	24	1502	1525
914210	966260	32	A	0.99996	1628	103	1526	1628
983450	993660	33	A	0.90268	1647	19	1629	1647
996510	1044860	34	B	0.81	1726	79	1648	1726
1049650	1069430	35	A	0.99994	1769	43	1727	1769
1069930	1099054	36	A	1.0	1847	78	1770	1847
1099092	1124440	37	A	0.99998	1913	66	1848	1913
1124890	1181290	38	A	0.99	2031	118	1914	2031
1182270	1203470	39	A	0.81	2079	48	2032	2079
1206690	1254986	40	A	0.99997	2191	112	2080	2191
1255108	1296302	41	D	0.99905	2255	64	2192	2255
1296356	1297150	42	A	0.70753	2256	1	2256	2256
1299170	1312210	43	A	1.0	2287	31	2257	2287
1315350	1327366	44	A	0.98	2314	27	2288	2314
1327388	1330780	45	A	0.51834	2321	7	2315	2321
1332990	1353390	46	D	0.81931	2367	46	2322	2367
1355830	1398714	47	A	0.88455	2447	80	2368	2447
1398762	1447070	48	A	0.99996	2534	87	2448	2534
1449410	1495230	49	A	1.0	2632	98	2535	2632
1499010	1562946	50	A	0.99998	2749	117	2633	2749
1562968	1609860	51	A	0.99999	2848	99	2750	2848
1615810	1640150	52	A	0.99965	2885	37	2849	2885
1645320	1657080	53	A	0.56525	2910	25	2886	2910
1672830	1720460	54	A	0.92818	3008	98	2911	3008
1723790	1736270	55	A	1.0	3040	32	3009	3040
1738370	1781680	56	A	1.0	3114	74	3041	3114
1785680	1788540	57	A	1.0	3124	10	3115	3124
1792240	1810304	58	A	0.69	3175	51	3125	3175
1810432	1834700	59	A	0.97312	3234	59	3176	3234
1841150	1869910	60	A	0.67031	3304	70	3235	3304
1872410	1956140	61	A	0.99973	3427	123	3305	3427
1957700	1983540	62	A	1.0	3479	52	3428	3479
1985960	2004940	63	E	0.97	3520	41	3480	3520
2007600	2037450	64	E	0.99996	3587	67	3521	3587
2038380	2041000	65	A	0.99998	3591	4	3588	3591
2043580	2094152	66	F	0.95	3689	98	3592	3689
2094206	2117100	67	F	1.0	3741	52	3690	3741
2117600	2127796	68	F	0.9981	3766	25	3742	3766
2127818	2163200	69	F	0.53918	3844	78	3767	3844
2163540	2202750	70	G	1.0	3934	90	3845	3934
2204000	2255736	71	A	0.99971	4053	119	3935	4053
2255768	2304510	72	A	1.0	4178	125	4054	4178
2306560	2342440	73	A	1.0	4258	80	4179	4258
2344460	2383704	74	A	0.99894	4348	90	4259	4348
2383822	2384760	75	A	0.97584	4349	1	4349	4349
2387580	2429110	76	F	1.0	4431	82	4350	4431
2431880	2464832	77	F	1.0	4501	70	4432	4501
2464886	2488600	78	F	0.99733	4566	65	4502	4566
2489260	2505100	79	A	0.98448	4602	36	4567	4602
2505680	2534440	80	A	0.98318	4657	55	4603	4657
2536780	2579300	81	A	0.99998	4731	74	4658	4731
2580840	2583880	82	A	0.9998	4737	6	4732	4737
2587340	2633944	83	B	0.99993	4847	110	4738	4847
2633982	2677060	84	A	0.99994	4934	87	4848	4934
2679960	2752536	85	A	0.99	5070	136	4935	5070
2752648	2801720	86	A	0.71593	5154	84	5071	5154
2801800	2832316	87	A	0.99998	5218	64	5155	5218
2832448	2835160	88	A	0.95148	5226	8	5219	5226
2838540	2868960	89	G	0.91	5288	62	5227	5288
2869460	2916080	90	A	0.96392	5379	91	5289	5379
2918660	2969244	91	A	1.0	5481	102	5380	5481
2969372	3048628	92	A	0.73567	5625	144	5482	5625
3048654	3096044	93	A	1.0	5726	101	5626	5726
3096162	3097100	94	A	0.98654	5727	1	5727	5727
3099840	3122496	95	F	1.0	5788	61	5728	5788
3122608	3191428	96	F	1.0	5914	126	5789	5914
3191604	3248156	97	A	0.99961	6059	145	5915	6059
3248178	3282288	98	F	0.99988	6130	71	6060	6130
3282384	3337450	99	A	0.60088	6260	130	6131	6260
3339900	3341690	100	A	0.93	6264	4	6261	6264
3344300	3351950	101	A	0.97232	6283	19	6265	6283
3357140	3360530	102	A	0.81617	6296	13	6284	6296
3363140	3399244	103	B	1.0	6370	74	6297	6370
3399442	3423270	104	A	0.55483	6423	53	6371	6423
