start	end	paragNum	speaker	confidence	startTime	wordCount	text
2570	66180	1	A	0.54182	00:02	113	Alright, hello everyone. It is week eleven and we're in chapter five, part two of the active textbook group first cohort. We'll be now turning to some of the more direct questions on chapter five after having more of an overview last week. We'll also be concluding our regular chapter discussions for the first part of this book. And in the coming two weeks, we'll be having some review and synthesis and connecting some dots, asking overarching questions, returning to questions that were based in a specific chapter and hopefully people like on their own or wherever else they're seeing as relevant or requesting new pages if they see something that they want.
67030	118050	2	A	0.99154	01:07	108	Providing some synthesis on this first half of the textbook, which is the epistemic half. And then for people who want to continue in the textbook group, go to the onboarding page and there's two columns there's. Yes, for part two of cohort one, chapter six through ten. So check that box if you want to be included in starting in September going through chapters six through ten, which has like the recipe for active models and that's when we're going to be getting more hands on with modeling. Also, everyone is welcome to join for part one, chapters one through five, cohort two also starting in September.
119190	215158	3	A	0.99232	01:59	175	So it could be a fun experience just to get another coat of paint on the material, play a more active role, ask another set of questions informed by what you've seen in the first cohort so feel free to check those boxes and then also keep incubating as we head into chapter six and beyond. In the second half of the textbook, like the project ideas, several of the project ideas like related to what Mike and Noah have added, we've started to address and explore in the active block, for instance, meetings on Wednesday, especially related to cyber, physical systems, simulations, taxonomies for governance, these kinds of ideas. Brock's added some great notes about what is the ramp that gets someone to the low road or the high road. And then I've recorded the first chapter and the first segments as an audiobook. The first chapter doesn't have any equations so it's straightforward to read, but the subsequent chapters do have equations, which is motivating having the natural language representations of the equations.
215354	258366	4	A	0.95686	03:35	105	So there's still a ton of discourse questions that can be asked why things are one way, why things are a different way. If it can be placed into the equation itself, that's great. If it needs to be somewhere else, hopefully the space exists and people can request, if not, but for example, when reading the textbook, the equations can be read this way. So those are just some of the projects that people can look forward to and the affordances to continue on, which is again going to the onboarding and participating in first five chapters. Again cohort two or going to continue?
258468	312334	5	A	0.99819	04:18	119	On with chapters six through ten starting in September for both of these so that we can complete one pass of the book by the end of the year and also probably make a lot of progress on different project ideas and project ideas arising as we start to see and build templates for the models. And also Ali has some nice interactive notebooks, so there will be a lot of great things coming together. If anyone wants to raise their hand, of course, just go for it. Otherwise we will be continuing with the questions asked about Chapter Five. Before we go to the questions, is there any general comment that somebody wants to add about Chapter Five?
312532	332440	6	A	0.91073	05:12	22	Their reading of it, their rereading of it, listening to the video from last week? How is chapter Five hitting them today's?
341260	384680	7	A	0.89	05:41	99	To kind of maybe bring that one step closer to a specific question. I'm not going to read this whole quote, but this question says in the preface they wrote in Chapter Five, we will move from formal treatments to biological implications of active inference. This AIDS in mapping the abstract computational principles of active inference to specific neural computations that can be executed by physiological substrates. This is important in forming hypotheses under this framework and ensures that these are answerable to measure data. In other words, Chapter Five sets out the process theory associated with active inference.
385820	406400	8	A	0.86805	06:25	35	Is this how people saw chapter five? Do they feel like it did something different? Did it succeed at making the abstract computational principles linked or mapped to specific neural computations executed by physiological substrates?
424480	438530	9	A	0.85098	07:04	27	Yes. Eric, first of all, I have to apologize. Only watched half of last week's discussion, so I may be talking about ground that's been covered before.
440840	478030	10	B	0.81007	07:20	74	It just seems to me that I've seen many, many papers trying to map theories onto brain circuitry and physiology, and I'm not well enough. I'm only loosely associated with neuroscience and don't follow it very closely. So it's hard for me to cite specific instances along the way. I know you mentioned no Menta, which is one of the more recent ones. It's trying to say these are what the layers are doing.
478900	514330	11	B	0.98899	07:58	65	So this chapter to me didn't seem any very qualitatively different from anybody else's very hand wavy way to say here's what the computations are all about and here's how they map to what brain circuitry could map to what brain circuitry might be doing. It's all quite hand wavy, I find, and I guess plausible, but it's certainly not definitive, nothing close to that.
518220	597588	12	B	0.99987	08:38	170	Maybe one other comment I would say is, again, in this chapter, they use this word prediction in a way that conforms to the theory. But to say that what's happening in, say, motor control, where top down signals from the cortex go down to the ganglia in the spinal cord in order to invoke motor patterns. To call that a prediction is, to me, a kind of well, that's taking extreme measures to map the concepts of the theory onto what neurons are doing and if the theory works out to be very useful in some way and that's what you have to do to make that happen. Okay, I guess I can use that language, but Operaria just does not seem like the right language to use to say, yeah, we're trying to set up some motor patterns, set up some context and situations for what we want the local reflexes to be doing. But to cast that as a prediction just seems a little unnatural to me.
597754	607850	13	B	0.99911	09:57	17	So those are my two reactions to this chapter. Thank you. Anyone else with a raised hand?
613580	653380	14	A	0.99323	10:13	98	This is a really good point about what the linkage or mapping is between without going into, like, you know, is anything physical or, et cetera, like physical brains in their niche and any type of equations. Would a well fitting linear model say that the brain is a linear model? Does a well fitting Bayes graph imply that the brain is a Bayes graph? Does a well fitting Bayes graph plus a philosophical belief that we're just making a map, we're not describing the territory equate to what beyond a linear model or a verbal model. Rohan.
655260	688080	15	C	0.99534	10:55	61	Yeah. Building on the previous point right. I'm still unsure about what Active inference is, considering a signal, there's no effective well, there's no noise model or it doesn't specify that here's, because if you say that I'm predicting something, right. So there must be something that is substantially different, statistically different from some noise distribution that you can differentiate. Right.
688230	712760	16	C	0.7625	11:28	49	So it's basically trying to estimate some hidden probabilities, which is not really a signal. Does that make sense? Because even the internal states, unless they're actually instantiated prior, like when we set up the model, we say, okay, these are the only states that you can actually traverse.
715600	720620	17	C	0.98289	11:55	12	You still have to infer the states from your measurements of reality.
724080	725070	18	A	0.99978	12:04	2	Thank you.
730660	769260	19	A	0.76038	12:10	58	Jacob? Yeah. I just want to ask if the noise isn't kind of implied in the POMDP formalism, like, I think in Figure 5.4, where it shows the direct and indirect pathways of message passing, it describes Active and the basic ganglia as a POMDP generative model. So it's partially observable. Doesn't that imply some kind of noise?
