start	end	sentNum	speaker	confidence	text
650	970	1	A	0.18178	It's.
1050	2430	2	A	0.98	Okay, we began.
3570	4942	3	A	1.0	Welcome everyone.
5076	15050	4	A	0.95	It is the resumption of our cohort update the video description.
15210	20080	5	A	0.63728	It's the resumption of cohort one of the active inference textbook group.
20450	21962	6	A	0.73708	It's our 14.
22026	25640	7	A	0.95	Okay, could someone mute Gsuppie or feel free to say whatever you want to say.
27930	29046	8	B	0.99999	Can you hear me?
29148	29800	9	A	0.92953	Yes.
30490	52780	10	B	1.0	Okay, so sorry, but I'm completely new to this interface of a gather and encoder, so I'm not sure I understand cohort one and cohort two here because cohort one, wasn't it the previous one like the one that start last year?
53310	57630	11	A	0.76883	Well, it's still going on from May till July.
58130	60240	12	A	0.99999	We did chapters one through five.
61010	63226	13	A	0.98	Now we are in this cohort.
63258	73250	14	A	0.99975	So if those who did not participate in this part, thanks for the question, but everyone in general, respectfully, let's try to have people who are in the cohort participate in it.
73320	82200	15	A	0.81182	Everyone's welcome to join and of course rewatch, but contributions and the questions and the chat are probably best so that we can respect the people who are continuing on.
82970	88780	16	A	1.0	This is our 14th meeting and now we're heading into the second five chapters of the book.
89310	91686	17	A	1.0	Okay, does any other person want to give context?
91798	92940	18	A	0.58	Oh, yeah, go ahead.
96430	102302	19	B	0.97	The current one that is going on right now is the cohort one and not cohort two.
102436	105514	20	A	0.99997	We are all learning in different stages.
105642	112542	21	A	0.52981	So the previous hour was the cohort that is focusing on chapters one through five stage they're in.
112596	115906	22	A	0.99	And now some of us, a different set of people, some are joining both.
116008	123410	23	A	0.99998	So that's why we made the meetings convenient, was so that we could like for many of us who want to do both, we can join.
124550	127960	24	A	0.99865	But this is a separate set of people.
128810	129670	25	B	0.95	I see.
129820	130520	26	C	0.9547	Yes.
131130	137394	27	B	0.99	Okay, so cohort two was first and then this meeting.
137442	139642	28	B	1.0	In this meeting right now, cohort two was first.
139696	139914	29	A	0.70241	Yes.
139952	143514	30	B	1.0	And now is cohort one, which started correct.
143712	146140	31	A	0.99985	We warmed up with chapters one through five.
147710	152620	32	B	0.99	Okay, so I will leave because I subscribe for cohort two.
152930	153482	33	A	0.94143	Excellent.
153546	154798	34	B	0.99	Okay, good.
154884	155806	35	B	0.99954	Thank you so much.
155908	157102	36	B	1.0	See you next time.
157236	160640	37	B	0.99992	Thanks for setting up all this thing.
161330	163326	38	B	0.93	Okay, bye bye.
163438	163762	39	A	0.9999	Yes.
163816	164420	40	A	0.99997	Awesome.
166710	169780	41	A	1.0	Okay, anyone else want to add anything?
170950	173970	42	A	0.99998	We don't need to do a Coda overview.
174710	185910	43	A	1.0	I would say people who are watching this recording can look at the live recording if they want a Coda update that we just went through for the cohort two's live meetings.
186730	192246	44	A	0.98615	But does anyone want to give any introductory thoughts?
192278	204160	45	A	0.99995	Otherwise, there's a few ways I think we can go for this session, but we're here just to rejoin our activities and orient towards chapters six or ten.
205330	216002	46	A	0.99975	We can scan through the chapters, we can have any suggestions or discussions around ways to approach them.
216056	216900	47	A	1.0	I don't know.
230280	232150	48	A	0.91653	Rohan and then anyone else?
234620	240820	49	D	0.76	I was wondering, when are we going to get to the projects part or discussions about the projects?
240900	242040	50	D	0.18037	Monetics.
243900	244888	51	A	0.99994	Great question.
245054	253868	52	A	0.99936	Let's look at the chapters and see where that first off, it can happen however you want with contacting people.
253954	258976	53	A	0.99	And we can make a sub page like I see exists here.
258998	260370	54	A	0.56	This looks really awesome.
261540	263328	55	A	0.64762	So people can request a sub page.
263414	265376	56	A	0.9875	They can mention it.
265478	269250	57	A	0.94	That contact them now or however.
269860	274390	58	A	0.93199	So it's up to you for a project that is under your control.
275800	290890	59	A	1.0	It can be developed in the open here or however, you can also participate in many ongoing projects like active blockfronts, which also which might all share this.
291580	295108	60	A	0.99575	Our Gitcoin grant was approved yesterday.
295284	308060	61	A	0.99995	So if people are familiar with this or want to become familiar, this is a way to provide or receive support possibly for their learning in block prints and contributing to that open source package.
312320	314272	62	A	0.9979	Does that address what you were thinking?
314326	321410	63	A	0.99952	Were you thinking about these project ideas or were you thinking more about the sort of build your own model approach that will be starting in chapter six?
323540	326916	64	D	0.7	No, about the project ideas in the code of page.
327098	328548	65	D	0.99	That answers my question.
328714	329476	66	A	0.99922	Awesome.
329658	330390	67	A	0.99133	Yeah.
333240	334916	68	A	0.64765	There are different types of projects.
334948	346636	69	A	0.70335	Clearly more will be added, but they're of different they might involve building a generative model, but they are not the generative model itself.
346738	357500	70	A	0.99999	Or only let's look at chapter six because this is where the generative model construction is going to come into play.
357570	372820	71	A	0.93	And so again, there's a lot of projects that you would only need to qualitatively think about generative models for, like educational material production is related to the generative model or could be modeled as the generative model of a learner.
373960	376692	72	A	0.99999	But you wouldn't necessarily have to make a generative model.
376746	385080	73	A	0.99998	But in chapter six, it's a recipe for designing active inference models.
386860	389108	74	A	0.94	It is going to brock.
389204	390520	75	C	0.99931	Sorry, just real quick.
390590	393192	76	C	0.54	I think Lucas here doesn't have access.
393246	394490	77	C	0.78027	He asked for access.
395100	400452	78	A	0.78	Okay, message in discord.
400516	403870	79	A	0.51417	Or I mean message and gather your email address and I'll add you.
406320	411150	80	A	1.0	Okay, sorry.
412900	414272	81	A	1.0	Okay, you requested access.
414326	415392	82	A	0.95	All right, I will add you.
415446	415952	83	A	0.96953	That's enough.
416006	430230	84	A	0.99849	Then in chapter Six, it's going to ask some questions that are driving the design of the generative model.
431080	432980	85	A	0.99999	Which system are we modeling?
433340	443256	86	A	0.99996	System of interest, what is the appropriate form for the generative model reflecting the discrete or continuous distinction that we looked at?
443438	453016	87	A	1.0	And also all these other questions that aren't exactly within the textbook, like temporal depth, hierarchical nesting, which parameters are learned versus fixed?
453128	462960	88	A	1.0	All these different directions that the models actually have to be elaborated on even before getting to the data engineering and maybe even code implementation.
463300	467890	89	A	0.99991	Just from a structural perspective, what form is it?
469460	476420	90	A	0.99998	How to set up the generative model is where some of those analytical details begin being introduced.
477240	486680	91	A	1.0	Not necessarily even the program level implementation or an executable simulation, but like, okay, we have a preference vector.
487740	489770	92	A	0.99958	Is there two states?
490380	493300	93	A	0.99998	Is there some continuous preference distribution?
493380	498350	94	A	0.99949	Whatever it is, what is the actual details of the generative model?
499440	505070	95	A	1.0	And then the other side of the coinblanket is the generative process.
505520	514850	96	A	0.99948	So what are the endogenous dynamics and the causal mapping with action for the generative process?
516340	524020	97	A	0.91	And there's kind of cases where you have more of a communication setting, active inference entities on both sides.
524440	534456	98	A	1.0	You could also have more of like a simple, simple partnering, like two deterministic programs that send messages to each other.
534478	548750	99	A	0.83328	Or it could be like one more cognitive, more agent like generative model and one more environmental nonliving type.
551280	552616	100	A	0.99999	Any thoughts or overviews?
552648	558944	101	A	0.99901	Or how would people think about how can we make this type of a recipe design?
559062	561440	102	A	0.9997	Should we be all designing a model?
561590	570312	103	A	0.99989	Or how do we even go about reading a section of the book in a chapter that begins with a recipe provision?
570476	578496	104	E	0.39343	Lyle yeah, I spent a lot of time building what I think would be classed here as generative models.
578528	596428	105	E	1.0	And what I find is that I characterize it as the step of framing up is often far trickier, sometimes much harder, frankly, than building a model, depending on what the situation is.
596594	606750	106	E	1.0	And in my experience, I find that it all comes down to making sure we understand what is the question that we're trying to answer.
607520	617760	107	E	0.79772	It's sort of like because every modeling process I'm sure everybody on this call knows is a process of deciding what to leave out, right?
617830	622180	108	E	0.99999	What to put in, what to leave out, and what level of representation.
622520	637076	109	E	0.91654	Then everything that's in there, if it's going to be a good model, has to be necessary and necessary to answer a question or provide a particular insight or so forth.
637108	648252	110	E	0.99991	So that whole issue of framing out what you're going to build in all those different the 10,000 questions, there's more than four.
648386	650030	111	E	0.51619	Ultimately it's many.
650400	655260	112	E	0.99637	Then it's all about that, which often means understanding the audience.
655920	660812	113	E	0.99992	If the model builder is the only audience, this is much simpler.
660956	684968	114	E	0.81116	If the audience is some much larger group with different perspectives, a lack of homogeneity and insight, then there almost has to be, I'm going to say almost a pre modeling or framing process of sort of framing up.
685054	686808	115	E	0.99999	What are the questions we care about?
686894	696940	116	E	1.0	And then we can talk about how those translate into a model that's just some general framing.
698240	698716	117	A	0.99993	Thank you.
698738	700924	118	A	0.66509	That's very interesting.
701122	705324	119	A	0.85	It makes me think about this audience question for the model.
705362	706492	120	A	0.6741	Like, why are we building the model?
706546	710530	121	A	0.99992	Why are we shaping our regime of attention to build this model?
711060	714096	122	A	0.89622	Model building can be an end of itself.
714198	718208	123	A	0.83	It can be creative and expressive and fun and all these other things.
718374	722304	124	A	1.0	And maybe later there's a road that has some Pragmatic value too.
722342	724004	125	A	1.0	But also it can just be like fun.
724042	727732	126	A	0.90581	Like, what would a generative model that could do this look like?
727866	745732	127	A	0.99	And that can be very didactic there's other times where you're presenting information, oh, I made a simulation of Twitter discourse and dot dot, dot is always going to be presented in a way that's not only just like, the model distilling down from the world, but then you're communicating it.
745806	761084	128	A	1.0	And then when you're actually not just communicating, but if you're making an application that does something and communication is doing something as well, then the system of interest, as Lyle mentioned, is totally nontrivial.
761132	769010	129	A	1.0	And there's the whole framing in some of these early stages, especially because they can't always be changed easily later.
770900	773430	130	A	0.16083	Rowan and then anyone else.
776440	789160	131	D	0.58705	Yeah, so I'm just curious, when you say who's the audience, isn't this part of the active inference model itself?
789230	795530	132	D	0.73	That okay, so whatever makes sense in that framework, wouldn't that be the audience here?
798780	800184	133	D	0.99	It has to survive, right?
800222	801524	134	D	0.99998	Your agent has to survive.
801572	811120	135	D	0.99998	So whatever generative model helps it survive, would that not be the it's model of choice over here?
811270	812380	136	D	0.77	And I'm just curious.
812460	824096	137	A	0.46157	I'm not sure it's an awesome way to frame it, and maybe someone can share the free energy governance link in the chat.
824128	825684	138	A	1.0	I just can't look it up right now.
825802	836280	139	A	0.9986	But it puts this very nicely in a recent pretty short book dissertation about that imperative for organizations.
836700	845690	140	A	0.96	And yes, in one sense it can be said the right generative model or like the audience for it is whatever its survivability conditions are.
846560	851470	141	A	0.62	And within our textbook group, the survivability conditions are open.
852880	870690	142	A	0.99999	However, we're also learning about or even just gesturing towards like, okay, not just we're going to imagine a room with a person who can take on a jacket or take it off.
872180	874340	143	A	0.99996	We can make that a didactic model.
874410	889640	144	A	1.0	And the audience could be this textbook group or future cohorts of the textbook group, and the function could be just sort of like a neutral exemplar active inference generative model.
889790	905340	145	A	1.0	But then, of course, the considerations for information presentation, empirical data analysis, any kind of application, the system of interest is not just the one person with the jacket on or off two states room with a sign fluctuation.
906160	908944	146	A	0.99989	So that's a different situation for model building.
909062	912320	147	A	0.96182	So how should we interpret this recipe?
915300	927316	148	D	1.0	Okay, but is there not like, a general framework for what a good generative model looks like is what I'm saying.
927498	930064	149	D	1.0	I guess you could frame that differently.
930112	945016	150	D	0.56408	So if you want to build pixel level representations, for example, you can use a gan, and that's a pretty decent one, but maybe pixel level representations are not good for the task at hand or something like that.
945038	948952	151	D	0.99046	So it should fit a general category.
949016	949244	152	A	0.99981	Right?
949282	953640	153	D	0.99981	So this is what a good set of models looks like for active inference.
953720	955790	154	D	0.99972	So that's sort of getting at.
957360	959516	155	A	0.99004	Yeah, that's a very fascinating framing.
959548	962210	156	A	0.99997	Does anyone want to add something to that?
967500	977230	157	A	1.0	I totally hear you on is there a rubric like, what are we evaluating the generative model and process fit?
977600	982956	158	A	0.99988	Because it's not like there's just simply a best generative model bigger or whatever.
