docLabel	sp	myTime	myTimeDisplay	myTimeSRT
AATxtBk_C01-14	A	650	00:00	00:00:00,650
AATxtBk_C01-14	A	61010	01:01	00:01:01,600
AATxtBk_C01-14	A	124550	02:04	00:02:04,135
AATxtBk_C01-14	A	163438	02:43	00:02:43,523
AATxtBk_C01-14	A	258998	04:18	00:04:18,359
AATxtBk_C01-14	A	333240	05:33	00:05:33,042
AATxtBk_C01-14	A	705362	11:45	00:11:45,403
AATxtBk_C01-14	A	824128	13:44	00:13:44,470
AATxtBk_C01-14	A	967500	16:07	00:16:07,724
AATxtBk_C01-14	A	1119260	18:39	00:18:39,012
AATxtBk_C01-14	A	1294290	21:34	00:21:34,169
AATxtBk_C01-14	A	2031730	33:51	00:33:51,834
AATxtBk_C01-14	A	2178590	36:18	00:36:18,963
AATxtBk_C01-14	A	2299350	38:19	00:38:19,072
AATxtBk_C01-14	A	2731660	45:31	00:45:31,462
AATxtBk_C01-14	A	3068040	51:08	00:51:08,763
AATxtBk_C01-14	B	27930	00:27	00:00:27,890
AATxtBk_C01-14	B	96430	01:36	00:01:36,139
AATxtBk_C01-14	B	153546	02:33	00:02:33,425
AATxtBk_C01-14	D	234620	03:54	00:03:54,175
AATxtBk_C01-14	D	323540	05:23	00:05:23,945
AATxtBk_C01-14	D	776440	12:56	00:12:56,053
AATxtBk_C01-14	D	915300	15:15	00:15:15,262
AATxtBk_C01-14	E	578528	09:38	00:09:38,254
AATxtBk_C01-14	E	1015678	16:55	00:16:55,206
AATxtBk_C01-14	E	2073150	34:33	00:34:33,870
AATxtBk_C01-14	E	3046720	50:46	00:50:46,747
AATxtBk_C01-14	C	1161110	19:21	00:19:21,048
AATxtBk_C01-14	F	1898520	31:38	00:31:38,713
AATxtBk_C01-14	G	2188450	36:28	00:36:28,973
AATxtBk_C01-14	G	2645200	44:05	00:44:05,382
