start	end	paragNum	speaker	confidence	startTime	wordCount	text
650	20080	1	A	0.18178	00:00	29	It's. Okay, we began. Welcome everyone. It is the resumption of our cohort update the video description. It's the resumption of cohort one of the active inference textbook group.
20450	25640	2	A	0.73708	00:20	18	It's our 14. Okay, could someone mute Gsuppie or feel free to say whatever you want to say.
27930	60240	3	B	0.99999	00:27	62	Can you hear me? Yes. Okay, so sorry, but I'm completely new to this interface of a gather and encoder, so I'm not sure I understand cohort one and cohort two here because cohort one, wasn't it the previous one like the one that start last year? Well, it's still going on from May till July. We did chapters one through five.
61010	91686	4	A	0.98	01:01	94	Now we are in this cohort. So if those who did not participate in this part, thanks for the question, but everyone in general, respectfully, let's try to have people who are in the cohort participate in it. Everyone's welcome to join and of course rewatch, but contributions and the questions and the chat are probably best so that we can respect the people who are continuing on. This is our 14th meeting and now we're heading into the second five chapters of the book. Okay, does any other person want to give context?
91798	92940	5	A	0.58	01:31	4	Oh, yeah, go ahead.
96430	123410	6	B	0.97	01:36	82	The current one that is going on right now is the cohort one and not cohort two. We are all learning in different stages. So the previous hour was the cohort that is focusing on chapters one through five stage they're in. And now some of us, a different set of people, some are joining both. So that's why we made the meetings convenient, was so that we could like for many of us who want to do both, we can join.
124550	139642	7	A	0.99865	02:04	30	But this is a separate set of people. I see. Yes. Okay, so cohort two was first and then this meeting. In this meeting right now, cohort two was first.
139696	153482	8	A	0.70241	02:19	29	Yes. And now is cohort one, which started correct. We warmed up with chapters one through five. Okay, so I will leave because I subscribe for cohort two. Excellent.
153546	163326	9	B	0.99	02:33	20	Okay, good. Thank you so much. See you next time. Thanks for setting up all this thing. Okay, bye bye.
163438	164420	10	A	0.9999	02:43	2	Yes. Awesome.
166710	204160	11	A	1.0	02:46	84	Okay, anyone else want to add anything? We don't need to do a Coda overview. I would say people who are watching this recording can look at the live recording if they want a Coda update that we just went through for the cohort two's live meetings. But does anyone want to give any introductory thoughts? Otherwise, there's a few ways I think we can go for this session, but we're here just to rejoin our activities and orient towards chapters six or ten.
205330	216900	12	A	0.99975	03:25	21	We can scan through the chapters, we can have any suggestions or discussions around ways to approach them. I don't know.
230280	232150	13	A	0.91653	03:50	5	Rohan and then anyone else?
234620	258976	14	D	0.76	03:54	53	I was wondering, when are we going to get to the projects part or discussions about the projects? Monetics. Great question. Let's look at the chapters and see where that first off, it can happen however you want with contacting people. And we can make a sub page like I see exists here.
258998	274390	15	A	0.56	04:18	34	This looks really awesome. So people can request a sub page. They can mention it. That contact them now or however. So it's up to you for a project that is under your control.
275800	308060	16	A	1.0	04:35	69	It can be developed in the open here or however, you can also participate in many ongoing projects like active blockfronts, which also which might all share this. Our Gitcoin grant was approved yesterday. So if people are familiar with this or want to become familiar, this is a way to provide or receive support possibly for their learning in block prints and contributing to that open source package.
312320	321410	17	A	0.9979	05:12	35	Does that address what you were thinking? Were you thinking about these project ideas or were you thinking more about the sort of build your own model approach that will be starting in chapter six?
323540	330390	18	D	0.7	05:23	16	No, about the project ideas in the code of page. That answers my question. Awesome. Yeah.
333240	376692	19	A	0.64765	05:33	102	There are different types of projects. Clearly more will be added, but they're of different they might involve building a generative model, but they are not the generative model itself. Or only let's look at chapter six because this is where the generative model construction is going to come into play. And so again, there's a lot of projects that you would only need to qualitatively think about generative models for, like educational material production is related to the generative model or could be modeled as the generative model of a learner. But you wouldn't necessarily have to make a generative model.
376746	394490	20	A	0.99998	06:16	32	But in chapter six, it's a recipe for designing active inference models. It is going to brock. Sorry, just real quick. I think Lucas here doesn't have access. He asked for access.
395100	403870	21	A	0.78	06:35	17	Okay, message in discord. Or I mean message and gather your email address and I'll add you.
406320	430230	22	A	1.0	06:46	33	Okay, sorry. Okay, you requested access. All right, I will add you. That's enough. Then in chapter Six, it's going to ask some questions that are driving the design of the generative model.
