text	entity_type		start	end
Rohan	person_name		230280	230864
Gitcoin	money_amount		292110	292676
Lucas	person_name		391022	391444
data engineering	occupation		459462	460844
Lyle	person_name		570476	571380
model builder	occupation		656498	657352
Lyle	person_name		758050	758764
Rowan	person_name		770900	771592
Lyle	person_name		1015678	1016600
modeler	occupation		1328112	1328934
neuroscientist	occupation		1348948	1349802
EEG	medical_process		1356504	1357406
single and double lesions	injury		1360056	1361970
Eric	person_name		1892020	1892830
Lyle	person_name		2032372	2033230
Eric	person_name		2035730	2036234
Lyle	person_name		2179168	2179574
Ali	person_name		2179622	2180410
Ryan Smith	person_name		2205992	2206978
Matt Sims	person_name		2284772	2285658
Blue	person_name		2286116	2286910
Eric	person_name		2293796	2294690
neuroimaging	occupation		2501240	2501884
Ali	person_name		2641826	2642700
Maxwell	person_name		2687560	2688216
Maxwell	person_name		2691976	2692824
Versus Lab	organization		2714058	2715172
Dalton s	person_name		2733918	2734944
Dave Snowden	person_name		2771562	2772660
Knevin	person_name		2788018	2788680
Ali	person_name		2885346	2885832
Yaakov	person_name		2886098	2886792
GMs	occupation		2981580	2982520
Daniel	person_name		3048338	3048764
Karl Friston	person_name		3117450	3118740
Fristinisms	person_name		3150812	3152080
