docLabel	sp	myTime	myTimeDisplay	myTimeSRT
AATxtBk_C01-15	A	810	00:00	00:00:00,810
AATxtBk_C01-15	A	149100	02:29	00:02:29,380
AATxtBk_C01-15	A	555430	09:15	00:09:15,024
AATxtBk_C01-15	A	1132620	18:52	00:18:52,025
AATxtBk_C01-15	A	1377670	22:57	00:22:57,246
AATxtBk_C01-15	A	1708720	28:28	00:28:28,541
AATxtBk_C01-15	A	1993488	33:13	00:33:13,796
AATxtBk_C01-15	A	2449540	40:49	00:40:49,210
AATxtBk_C01-15	A	2628440	43:48	00:43:48,371
AATxtBk_C01-15	A	3300720	55:00	00:55:00,971
AATxtBk_C01-15	A	3406480	56:46	00:56:46,071
AATxtBk_C01-15	A	3452800	57:32	00:57:32,111
AATxtBk_C01-15	C	105388	01:45	00:01:45,003
AATxtBk_C01-15	C	361198	06:01	00:06:01,261
AATxtBk_C01-15	C	1042880	17:22	00:17:22,418
AATxtBk_C01-15	C	1270772	21:10	00:21:10,145
AATxtBk_C01-15	C	1684150	28:04	00:28:04,517
AATxtBk_C01-15	C	2428540	40:28	00:40:28,189
AATxtBk_C01-15	C	2588640	43:08	00:43:08,331
AATxtBk_C01-15	B	129454	02:09	00:02:09,184
AATxtBk_C01-15	B	309160	05:09	00:05:09,801
AATxtBk_C01-15	B	980380	16:20	00:16:20,853
AATxtBk_C01-15	B	1087660	18:07	00:18:07,806
AATxtBk_C01-15	B	1235110	20:35	00:20:35,116
AATxtBk_C01-15	B	2372760	39:32	00:39:32,139
AATxtBk_C01-15	B	2563560	42:43	00:42:43,312
AATxtBk_C01-15	B	3217620	53:37	00:53:37,900
AATxtBk_C01-15	B	3439180	57:19	00:57:19,098
AATxtBk_C01-15	D	426990	07:06	00:07:06,859
AATxtBk_C01-15	D	1941840	32:21	00:32:21,750
AATxtBk_C01-15	D	3363380	56:03	00:56:03,028
AATxtBk_C01-15	D	3413380	56:53	00:56:53,078
