start	end	speaker	confidence	text
170	40140	A	0.9243159740259739	You're okay. Hello. It's September 16. We're in Cohort, one of the active textbook group. It's meeting 15, or I guess yes, no, 16 on let me just update the title meeting 16. We're in our second discussion on chapter six. So are there any any overall comments that people would like to address about chapter six or any other questions or points to add or just areas of chapter six that they found to be interesting.
64610	135190	B	0.8898320588235293	Distinction between the interceptive extraceptive modalities which have been mentioned in box 6.1. And I think Kristen with Michael Allen, if I'm not mistaken, has published a recent paper just today, exactly on that topic, in which they've somehow tried to provide a computational model for the first time for the unification of the interceptive and extraceptive modalities. So since this chapter is also the modeling of those agents, I think this paper, from in the Body's Eye the computational anatomy of interceptive inference might be relevant for anyone who wants to model these modalities with the aid of active inference framework.
136890	183480	A	0.8988746874999998	Thank you. Very nice. Thanks for sharing it. Let's look at box 61. As people see it, what distinguishes exteriorceptive proprioceptive and interoceptive modalities? For example, why are proprioceptive and interceptive separated?
204760	212950	B	0.9665571428571428	Because I couldn't hear you. I don't know if it's on my side or connection was unstable from your side. Sorry.
213960	247490	A	0.8492295652173913	Let me try something. I'll be on for a second. Am I back? Okay. So, yeah. What? Yeah, brock, I do need a starlink. Why are proprioception and terraception separated? And why are these three categories modeled as different? Why have they been framed as different.
271300	355470	B	0.8867890654205612	Biological and neurological mechanisms, neural mechanisms that somehow control those different kind of perceptions? Because for the extraceptive perception, the organism would necessarily need a kind of sensory I mean, the sensation it gets from the environment is just on the level of the imminent stimuli that it gets from the external environment. But for the interceptive modality, the sensation is just the internal sensations and so on. And for the preceptive, it's related to motor control feedback loop. So I guess because of their different mechanisms it might be helpful to talk in different terms about each of them. But I'm not totally sure about that.
361280	533280	A	0.9430932362459544	I agree. I think one aspect, even in a pre blanket or non blanket modality is like they're about external things versus about internal things. And then between proprioception and interoception, you're absolutely right that they have different neural mechanisms and physiological mechanisms with some blurry space, perhaps. For example, like interoception about blood pressure is somewhere in between, like a muscular reflex and an organ reflex, but the tissues being addressed are different. Let's look at this paper again. We'll return to the book, but we're going to be thinking today and then especially going forward with like, how do you identify the let's go to this question, which we just look at it. Which system are we modeling? What is the appropriate form for the generative model. How do we set up a generative model? How do we set up a generative process? So let's see if we can determine some of those aspects. In this paper, hashtag figure 43, it is the very same. Okay, this is just a general pointing to a partially observable Markov decision process with a slight plus computational biology graphical veneer to match the color scheme. Probably not, but it kind of looks like it. Here is where we see the schematic of the form of the generative model. Variables are used to reflect that those variables can be fit from empirical data or just a priori set and simulated. But this is the form of the model. These are the shapes of the matrices and tensors that go from that are going to address what their model is about. Does anybody want to describe what they see in this? What do you think they were trying to explain and what do you think they were trying to model? What is their system of interest based upon what you see here?
538790	599750	B	0.9220482105263157	Actually, one interesting term that I came up with used in this paper is cardiac active inference. The term that they've used in this paper to describe the kind of interrelationship between the heart rhythm and the interception. So this generative model, I believe, is just about modeling that relationship between the heart rhythm and the interception. So we can see, as usual, the B matrices C and A matrices that we've seen before, but in this case, they've been applied to the variation in the heart rhythm and how it relates to the interception.
601210	860290	A	0.9134238876404499	Yes. So again, using the variables that we know from figure four three in the book and their figure one here, the hidden states that are not directly observed are on the interceptive side relating to the state of the heart. On the exteriorceptive side, whether there is a flower or a spider. The outcomes that are observed are the visual exterocception of a flower or a spider and the heart rate probably a low and a high heart rate. The piece that links these two is the sensory attenuation between the high heart rate state and the mapping of exterocception in the B matrix. You can just see that even the allocation of the symbols is different. Like when you're aroused, when you're in, this is like heart open and then heart contract. So when you're in the aroused situation, b is how the hidden states change their time. You're always going to go from here to here, whereas in the relaxed situation, sometimes you go from this state to this one. Other times you're relaxed and so you dwell within that state. So here it's like pump rest, pump rest, pump rest. Here it's 50% slower. Just it depends on the parameters, but it's 50% slower because sometimes you're going to go from one, but it looks like as it's here that it's actually like or it's twice as slow. Rest, rest, beat. Rest, rest, beat. So these are the two interoceptive states. One has a preference for having relaxed hearts when flowers are around and having contracted heart when spiders are around. The A matrix maps on these two sensory modalities between hidden states and outcome states, just like any A matrix would do in any POMDP. And then there's also a transition matrix of the generative process. So it's a very simple generative process where either flowers are flowers or spiders are spiders, as they would say. You can use standard routines to simulate these techniques. I hope that the code are available. You can plot parameter sweeps as you explore the beta and alpha. So here's, like the beta parameter and alpha parameter. So you can do parameter sweeps with this grid search or other approaches and then do statistics on those outputs. Is this quote active inference? Well, it's the output of a parameter sweep on an active inference model. There's various other kinds of methods. So, not to spend too much time on the paper, but does anyone have any thoughts on that case or how they see it applying to chapter six as content? I think it speaks to a fulfillment cycle in active inference research. Oh.
886900	943330	B	0.9241965517241378	This worked example helps a lot. I mean, if anyone wants to, especially because describing this kind of cardiac active inference as a kind of system that has a definite Markov blanket, it was really interesting question at the first place. And I think they've done really great job, obviously, in that regard and thinking really creatively and out of the box about how we can describe that whole system with the aid of using markup blankets to describe its internal and external environment and so on.
