docLabel	sp	myTime	myTimeDisplay	myTimeSRT
AATxtBk_C01-18	A	650	00:00	00:00:00,650
AATxtBk_C01-18	A	96060	01:36	00:01:36,102
AATxtBk_C01-18	A	195380	03:15	00:03:15,783
AATxtBk_C01-18	A	469980	07:49	00:07:49,289
AATxtBk_C01-18	A	632640	10:32	00:10:32,736
AATxtBk_C01-18	A	663160	11:03	00:11:03,981
AATxtBk_C01-18	A	697570	11:37	00:11:37,325
AATxtBk_C01-18	A	731760	12:11	00:12:11,607
AATxtBk_C01-18	A	785060	13:05	00:13:05,080
AATxtBk_C01-18	A	982380	16:22	00:16:22,873
AATxtBk_C01-18	A	1556640	25:56	00:25:56,407
AATxtBk_C01-18	A	1649190	27:29	00:27:29,488
AATxtBk_C01-18	A	1757030	29:17	00:29:17,584
AATxtBk_C01-18	A	1953366	32:33	00:32:33,762
AATxtBk_C01-18	A	2020620	33:40	00:33:40,823
AATxtBk_C01-18	A	2105356	35:05	00:35:05,896
AATxtBk_C01-18	A	2222200	37:02	00:37:02,001
AATxtBk_C01-18	A	2420638	40:20	00:40:20,181
AATxtBk_C01-18	A	2483272	41:23	00:41:23,238
AATxtBk_C01-18	A	2567180	42:47	00:42:47,316
AATxtBk_C01-18	A	2742630	45:42	00:45:42,473
AATxtBk_C01-18	A	2960830	49:20	00:49:20,667
AATxtBk_C01-18	A	3023680	50:23	00:50:23,724
AATxtBk_C01-18	A	3152492	52:32	00:52:32,841
AATxtBk_C01-18	B	86360	01:26	00:01:26,133
AATxtBk_C01-18	B	438300	07:18	00:07:18,972
AATxtBk_C01-18	B	746040	12:26	00:12:26,750
AATxtBk_C01-18	B	953380	15:53	00:15:53,643
AATxtBk_C01-18	B	1660390	27:40	00:27:40,499
AATxtBk_C01-18	B	1848020	30:48	00:30:48,668
AATxtBk_C01-18	C	162980	02:42	00:02:42,519
AATxtBk_C01-18	C	717830	11:57	00:11:57,527
AATxtBk_C01-18	C	1875980	31:15	00:31:15,690
AATxtBk_C01-18	C	1988400	33:08	00:33:08,791
AATxtBk_C01-18	C	2036640	33:56	00:33:56,839
AATxtBk_C01-18	C	2135730	35:35	00:35:35,926
AATxtBk_C01-18	C	2246100	37:26	00:37:26,025
AATxtBk_C01-18	C	2441394	40:41	00:40:41,202
AATxtBk_C01-18	C	2498166	41:38	00:41:38,253
AATxtBk_C01-18	D	189180	03:09	00:03:09,721
AATxtBk_C01-18	D	678460	11:18	00:11:18,134
AATxtBk_C01-18	D	721130	12:01	00:12:01,501
AATxtBk_C01-18	E	528140	08:48	00:08:48,810
AATxtBk_C01-18	E	641620	10:41	00:10:41,825
AATxtBk_C01-18	E	1500730	25:00	00:25:00,351
AATxtBk_C01-18	E	1639020	27:19	00:27:19,478
AATxtBk_C01-18	E	2570220	42:50	00:42:50,319
AATxtBk_C01-18	E	2943510	49:03	00:49:03,650
AATxtBk_C01-18	E	3012460	50:12	00:50:12,713
AATxtBk_C01-18	E	3082780	51:22	00:51:22,777
