start	end	speaker	confidence	text
970	45080	A	0.9249508955223879	Hello everyone. It's october 7, 2022. We are in meeting 19 for cohort one and we're discussing chapter eight. So there's a bunch of questions and also a lot of things to talk about. Let us just begin with looking at chapter eight. Eight. So does anybody want to give any first thoughts on active inference in continuous time? Everything flows, nothing stands still, et cetera? Yes.
49970	63780	B	0.9434867647058823	Not on that specifically. Okay, but I will have something to say for this chapter. I worked on this topic during my graduate time. So once we get to about 8.3, I'll weigh in.
65510	460890	A	0.9267866057838674	Excellent. Any comments like discrete continuous time? I know this is something we'll touch on again and again. It's kind of like another low road, high road duality with continuous and discrete time. And I think the textbook tries to give equal time and highlight the hybridization of these models in a way where realistically in the literature most are pure discrete models and continuous time models have been almost like domain bound. Certain areas like motor reflexes, where there's more of a tradition of continuous models are heavily represented in them, whereas decision making models tend to use the discrete formalisms. And that difference between the sort of like continuous time traditionally motor associated and discrete categorical traditionally decision oriented models was addressed in the Folk Psychology paper and Live Stream with Ryan Smith et al. Okay, also I just started kind of an overview, got up through 83 of just understanding and just trying to lay out chapter eight. So for any chapter, everyone's always welcome to just make summaries and add their own notes so we can look at the questions, many of which are on the earlier part of the chapter. And so maybe we can look at the earlier part of the chapter more this week and of course then have later time. Okay, so 8.1, it's a single paragraph, it's a complement to chapter seven, which was a discrete time approach towards generative model construction. The focus here is on continuous states based models which are well suited for physical fluctuations, sensory receptors and continuous motion of effectors. They start with the case of movement control 8.2. So let's get familiar with the notation. The states, hidden states are going to be X. The data, the observables are going to be Y. And then how states evolve over time depends on a static variable V. So that could be a hidden or slower changing cause or factor in the environment. Then we have the omega terms associated with each of the data and the hidden states change through time. And that variability is like the noise and this is like the signal or the flow. So it's kind of the length of an decomposition or a length of an approach towards dynamical systems modeling. One interesting thing to note is first that this is hugely forsaged in SPM. Then also that the data are a function of the states at that time, whereas the equation for the hidden states is a change in hidden states. X dot note that Action is absent from equation 8.1. This is because Action is part of the generative process, not the generative model. Thought that was kind of an interesting question. What does that mean? That Action is part of the generative process and not the generative model? Surely Action selection is part of the generative model, the cognitive process of policy inference. Active states are part of the particular states. Active states are blanket states. Particular states are the generative model. The generative process is referring to the external states, the hidden states. So is Action part of both the generative process and the generative model because it kind of sits in between intermediates? Or is this referring to the consequences? The generative model only deals with those variables directly influenced by states external to a Markov blanket. So is that saying that the generative model is kind of like the complement of the autonomous states, Action internal states? Or is this even more extreme? It's only dealing with the variables directly influenced by states external to a markup blanket. So then it must only deal with sense states, which is like a narrow perceptual control reading. And in that sense, Action execution is outside of the generative model because the generative model is only dealing with observations. Does anyone have thoughts on how generative model, Action and generative process are being used? Eric.
463070	470670	B	0.9590788235294118	I wonder if you can consider your own actions part of what gets observed under that framework.
473730	522590	A	0.9371755752212392	As far as I would, the apologetics for the narrow view would be exactly that, which is like you have proprioceptors in your elbow, so you don't observe Action, but you are getting continuous updating of perceptions that are extremely influenced by Action. But the hidden state of the world is actually like the angle of your elbow. And so you're not directly observing the hidden state of the world nor how it changes. All you have is the proprioceptors. And of course, you engage in policies to change your appropriate receptors, bring them towards alignment, which is what we're going to be discussing in the chapter. Ali, I saw your hand raise.
525570	532820	B	0.9133187500000001	Yeah, I wanted to mention exactly the proprioception which you mentioned, so I lowered my hand.
534070	535700	A	0.9488366666666668	Okay, yeah, great.
537590	581170	B	0.9271866990291262	But then could you include the fact that you've got signals going to your muscles, your motor signals and motor neurons firing in there, making your muscles contract? Can that be part of your observation to say, well, okay, if this is happening, that these muscles are getting activated, then sure enough, the arm moves and appropriate section changes. So you can say, well, from the outside of that box, that's all part of the generative model, but not part of generating those muscle commands, but just seeing what the effect of them is. I wonder if that would be an acceptable viewpoint.
585620	644180	A	0.9222023999999998	Cool. We'll return to this like where is Action? What is action. But I think it's just important to note while we're early here. Okay, so continuing a little bit on this part, I thought was also a little curious. Okay. So this is equation 8.1. We mentioned equation 82. So first question, italics versus bold GNF. Do you think that that matters? I don't think it matters. Does anyone disagree? Do you think it's moving from one space to another space? Or do you think that's just a typographical error? I think it can be considered as an eradica.
646940	659660	B	0.9605396875	One thing I did notice is that 8.3 and 8.4, the italics they call a generative model, and 8.4 they call a generative process without the italics. Could that be the distinction?
