start	end	paragNum	speaker	confidence	startTime	wordCount	text
90	17930	1	A	0.12549	00:00	19	You. Hello everyone. It's october 14, 2022. We're in meeting 20. We're in our second discussion of chapter eight.
18080	71400	2	A	0.99992	00:18	84	We have a few topics and points in chapter eight and then maybe we can preview some chapter nine and have a lot of space for any other foster questions people are having so we can jump to the questions and look at the written chapter eight questions. Or does anyone want to suggest a point for us to go to last time? We know that some of the areas we wanted to pick up on involved learning and hierarchical modeling and hybrid modeling.
96020	161540	3	A	0.96	01:36	129	One question that came up, I think here, but maybe we can revisit is the birdsong model is widely pointed at as an example of how communication is modeled in active inference or for active inference entities. However, it's quite literally singing from the same hymn sheet. And the turn taking is based upon a joint expectation of that song being sung that way. And then the actions that the birds can take, the kind of turn taking that they enact is again related to whether it's like, well, somebody has to say it is it going to be me or is it going to be them? So how do you think we would broaden that scope of communication to account for situations where there isn't a prescripted song?
165580	183660	4	A	0.96879	02:45	21	How do other frameworks for communication cybernetic ish or otherwise deal with the semantics of conversation, improvisation, open endedness in conversation?
193470	275810	5	B	0.99887	03:13	122	Actually, I had somewhat more general question about the bird songs and its relation to these particular systems that they've developed in the textbook. You see, some researchers believe that I'm sure you're much qualified to talk about this than me, but there are lots of research going around about the territorialization function of birdsong. So if we take a bird song as its territorializing mechanism, at least one of its territorializing mechanism, can we somehow put the dynamic I mean, the dynamic boundary of the markup blanket, I think would be affected from this point of view. And then I'm not sure how that would translate into this specific model if we take that dynamic nature of the markup blanket boundary.
282070	306250	6	C	0.9991	04:42	55	Yeah, I guess I would just build on that and say that communication serves a purpose. And so I think a model should incorporate what that purpose is and how it's served by the communication. And then whether it happens to be syncing up with some predefined pattern or whatever is a follow on consideration.
311580	345760	7	A	0.61	05:11	56	The generative model in the singing from the same hymn sheet is very much like the sheet music example provided in the textbook. There's a known sheet music script such that even when there's like an error in the playing of the music, still the sheet music can be heard. So just coarsely what generative models?
347860	364570	8	A	1.0	05:47	40	I think it's pretty straightforward to see how a generative model could have the notation or the sheet music and then use the sheet music as its prior to kind of converge reality. To what extent is communication that way?
367020	380110	9	A	0.99991	06:07	47	Is it totally disparate and differently structured? Or is it a little bit like a hybrid? Like you're doing inference on the sheet music that they're about to say and then you use your inference about what they're about to say to converge what they do say?
382560	418570	10	C	0.98775	06:22	84	Well, you asked a good question, which is, well, what are some alternative frameworks? And I know, I know some or should know some, and they're not clean to mind. What comes to mind most immediately in this example is a phase lock loop in electronics which is simply a way of synchronizing one circuit's oscillation with another. And this is like a phase lock loop with a bigger vocabulary. So figure out where we are in the pattern and then synchronize with it.
422880	426380	11	C	1.0	07:02	7	But the question of what other frameworks?
431200	467640	12	C	0.94	07:11	55	I mean, there's this whole field of conversation analysis. Which. The field is actually called CA conversation analysis. And they have identified patterns of how people communicate through certain structure of I guess we call them rhetorical devices for achieving the purpose of the conversation. So the purpose of the communication is kind of bedrock.
468300	474190	13	C	1.0	07:48	15	And there are multiple purposes, some of which are instrumental, some are which are social.
477280	508660	14	C	0.76	07:57	73	And then they have identified patterns for the way human conversation tends to proceed which are culturally influenced. There's some cross cultural aspects, but then there are certain different cultures that have different takes on it. So they identify things like, okay, now we're in the conversation opening phase. Now we're in a phase of where we're exchanging information and we have turntaking. Now we have notions of epistemic leadership or epistemic authority.
509740	519930	15	C	0.92701	08:29	26	Who's the person who's asking? Who's the person who's answering or taking those roles in the conversation? And there are certain rhetorical stances that are taken.
