start	end	speaker	confidence	text
650	1246	A	0.66803	You.
1428	77070	B	0.92917024691358	Hello. Thanks for all joining. It's active textbook group cohort one meeting 22, chapter nine on October 28. Okay, we're in the second discussion on chapter nine, model based data analysis. Would anyone like to add anything they want or mention how the generative model discussion from the previous 1 hour relates to model based data analysis? How does chapter four relate to chapter nine? What does chapter nine address? What do chapters six and nine address that chapter four doesn't?
84810	112840	A	0.9075497297297296	Um, I mean, six is about thinking about applying it in, like, incredibly kind of simplified step by step kind of way. And nine is very specifically about answering scientific questions with it and doing that with.
116170	121370	C	0.8141816666666667	This metabasian. It's like almost nested.
124460	142556	A	0.8697265	Sort of schema of active inference. So, I mean, that's the through line, I guess, but I'm not sure more.
142578	144030	C	0.9205260000000001	Than that what to say.
144740	148320	B	0.8551483333333333	That's really insightful. Thank you, Ali.
151540	255440	D	0.8997430769230766	Yeah, actually, I would compare it to a kind of learning how to solve problems in, I don't know, mathematics or other physics or other areas. For example, in chapter four, we acquired some necessary knowledge or prerequisite about how to think about the phenomena or the problem we're dealing with. Chapter six kind of outlines a roadmap a roadmap about how exactly we should proceed to solve that problem in a kind of formulaic way. And chapter nine, actually, in chapter nine, we get our hands dirty and try to solve some of the actual or empirical problems with the tools or techniques we had learned in chapter four and six. So in this case, I somehow think of chapter nine as a kind of case of study well, kind of case of studies or a kind of solved problem section of this textbook. And, yeah, I don't know how much that captures their nature.
256420	588670	B	0.9197772962962978	That's great. Wow. Great thoughts. I totally agree. Let's look at the table of contents. Chapter one, special overview. Chapter mirror symmetry. Same, but different with ten. So now in the middle eight chapters, two chapters on the low road and the high road, helping two different approaches which can be developed, like in a lot more detail, to approach active inference from two fascinating and non controversial starting points Bayesian inference from the low road free energy principle and the repeated measurement persistence imperative. Chapter four is the first chapter on active inference. Active inference is about the generative models that are being specified and how they're being computed. After just one chapter on active inference, it goes to the area where the most research and modeling has been done in active inference, which is computational manalian neuroanatomy. One chapter on active, one chapter on the primary domain. First half of the book, second half of the book. This is the part where you're going to be in parallel, perhaps on your first, but perhaps not on your first reading. You're going to be doing playing through these applied aspects of modeling. First is the recipe for designing active inference models. In Chapter Six, as both of you have, very nicely set. Then the Figure 4.3 Dialectic discrete Continuous Time is revisited in two chapters because it probably it's one key difference. It's a minimum of two. So it prevents, like any like, oh, well, it has to be a PMDP. It's like, well, obviously not. So it keeps the space of generative modeling open and it allows for discussion of the very interesting topic of hybrid active inference nested models with continuous actuators, for example, but discrete decision making apparatus. So it just is like wanting to cover these two key types of models in a bit more detail than was addressed in Chapter Four. But this was the first possible moment to address it after 4.3. Just kidding. Maybe not. Then Chapter Nine, yeah, where we are now, which is just, okay, you've built your pure discrete time pure continuous time or hybrid generative model. If it's a toy model, you can just generate data and just do whatever you want. Or you might have data from sensors or real world or however that's in the data format that your generative model expected to receive, which was part of your design process, you could have determined what structure literally the data is going to be in. Is it going to be like, yes, data can be reshaped, but just broadly, is it like 256 sensors in a row of one? Or is it like eight by eight? Just those kinds of questions. So that when the data start coming in for the experiment, whether you generated the data from the generative model or whether you're using it in a purely recognition model capacity on real world data, what does it look like to do statistical modeling with these statistical models that we've been using? And then chapter ten is a review. It restates what each chapter does, provides some further thoughts, and just summarizes the unifying capacity of active inference modeling. Then there are the appendices Ali.
591190	747060	D	0.9021438709677416	Also one in my opinion, very interesting section of Chapter Nine is the section on models of false inference, section 9.7, in which there's an interesting definition of the disorders, I mean the mental disorders, and how we can actually computationally model those different disorders. Sorry. It says that here the disorder does not necessarily imply that the inferential mechanism is flawed. In most of the studies, the inferential mechanism operates normally but based on a flawed generative model. So that's basically what we had learned about how we can somehow update our beliefs or correct our perceptions based on either refining our generative model or modifying our generative model. Or somehow, sometimes we can just well, act upon those errors and try to reduce our uncertainties. But in this case, it's a very interesting point on the case of computational pathologies because oftentimes people ask, well, what does active inference actually explain? So I think this is a very good example of its very meaningful and significant application in any sense of the word. So if we can somehow computationally model these kind of disorders, we'll most probably have a much better understanding of its origin and the way to probable treatments of those disorders and many other applications can comes to mind. But yeah, I think this part of the chapter nine is something that was not addressed quite explicitly in the previous chapters and in my opinion is the most interesting part of this one.
749270	1216890	B	0.9299151417525788	Great. Awesome. Yeah. It reminds me of the table in chapter four, or sorry, chapter five with the neurotransmitters. So they were still at the organ systems level in chapter five. But five is very much related to nine, I guess in that sense as well, because it's like, here's what dopamine does, here's what acetylcholine does just at the computational model level. And then here it's like that computational model was fit, like between the phenomena, like attention or policy precision or however phenomena to a molecule in chapter five. Here, the phenomena is being connected to a real human clinical application. So it's not that we're saying or anyone is saying or anything like that, that the molecule is being directly linked to this paper, even if it's mentioned. The direct linkage approach is people in group X have more molecule, have less molecule, and even the neuroimaging approach can be seen as a variant of that, which is people in group X have more brain activation pattern. In computational pathology, those kinds of biochemical measurements and neuroimaging measurements can, and they are used. However, this type of computational modeling is referring to parametric modeling, where the parameters are related to the pathology. So it's not an a priori classification of those with and without. And then descriptive statistics showing that a biochemical or a brain imaging pattern are differentially expressed. That's descriptive statistics. It's not computational pathology. It might be precision pathology, but it could still be precision or big data or however, with just like purely doing data summaries, doing a random forest model to diagnose. These models have a cognitive structural hypothesis about the nature of these phenomena, like the ocular motor syndromes. Again, it's not just people with the diagnosis and without. It's a neurocognitive model of eye behavior. And then explanations can be made from clinical data by rendering various aspects of the generative model conditionally independent of others, ocular motor syndrome, such as intranuclear optipomilegias, may be induced. So if you just were diagnosing these as different conditions, maybe they have similar ideologies how the condition arises, maybe they have different, maybe they have multiple. But these two conditions computationally can be understood as parametric modulating in a computational model of ocular motor behavior. This isn't people with internuclear opto, DA, DA, DA have higher glucose or lower glucose or this brain region or this aspect of them, those are all absolutely valid approaches. That's like scientific methodological pluralism, which is like, it's okay that people want to do different approaches. Everybody's contributing to a common people who care about this and are creating high quality reproducible data, their data will always be useful and their perspectives are valid and we don't want to have a discourse space on inter nuclear optipomygia that's saying that one model is like simply the only correct model. This paper makes a positive contribution and points to some new ways of thinking about various pathologies and thinking beyond the ways that they've been worked on before, where one can imagine that before 2000 and so on, you had what health records. And you have some double blind experiments. And so you might do a meta analysis to find correlations with features of people and all of those things that we've been describing. But it was not plausible to actually implement computational models of these phenomena. Now, interestingly, that's something that can be worked on by researchers directly, and then somebody can a doctor could download Ocular motor syndromes programming, whatever it is, but this can be developed in a pure research context. And the Generative Model is like the interface for the kind of information that might not be available to the person developing the Generative Model because it relates to a lot of problems and issues about data availability. That's one kind of just side note, but dilly. Thanks for raising that point that I just wanted to emphasize and unpack, which is that this table, which is taking up two and a half pages of a pretty short book is describing. These are like the cases that can be brought up, which they're providing in a helpful table for what active inference describes. So if the principle of least action, gauge theory, et cetera, sophistication does not interest one, these are more pragmatic value. Now that will probably move the goalpost to show me where the computational modeling helped somebody with delusions and that's a fine place to want to go. But it's also a standard and an approach that it's not related to the substance of the theoretical development.
1223400	1228724	A	0.9616057142857143	I mean, I think you could probably the response to that question might be.
