docLabel	sp	myTime	myTimeDisplay	myTimeSRT
AATxtBk_C03-15	A	800	00:00	00:00:00,800
AATxtBk_C03-15	A	58690	00:58	00:00:58,963
AATxtBk_C03-15	A	224290	03:44	00:03:44,072
AATxtBk_C03-15	A	411930	06:51	00:06:51,768
AATxtBk_C03-15	A	659040	10:59	00:10:59,999
AATxtBk_C03-15	A	1204320	20:04	00:20:04,085
AATxtBk_C03-15	A	1455840	24:15	00:24:15,312
AATxtBk_C03-15	A	1636520	27:16	00:27:16,475
AATxtBk_C03-15	A	1801420	30:01	00:30:01,622
AATxtBk_C03-15	A	1860250	31:00	00:31:00,675
AATxtBk_C03-15	B	48750	00:48	00:00:48,970
AATxtBk_C03-15	B	146310	02:26	00:02:26,352
AATxtBk_C03-15	B	605680	10:05	00:10:05,466
AATxtBk_C03-15	B	1187500	19:47	00:19:47,074
AATxtBk_C03-15	B	1223340	20:23	00:20:23,104
AATxtBk_C03-15	B	1596620	26:36	00:26:36,441
AATxtBk_C03-15	B	1732630	28:52	00:28:52,565
AATxtBk_C03-15	B	1835810	30:35	00:30:35,656
AATxtBk_C03-15	B	3375240	56:15	00:56:15,040
AATxtBk_C03-15	C	346450	05:46	00:05:46,174
