start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
560	37550	1	A	0.47	59	59	1	59
43020	45610	2	A	0.72443	64	5	60	64
49020	104110	3	B	0.92	146	82	65	146
106560	125600	4	A	0.99895	199	53	147	199
126180	132710	5	A	0.99964	214	15	200	214
154400	178560	6	A	0.82	262	48	215	262
185940	214810	7	A	0.98857	317	55	263	317
217420	229310	8	A	0.99449	358	41	318	358
231960	250696	9	A	0.99534	394	36	359	394
250728	288090	10	A	0.66918	437	43	395	437
290430	305780	11	A	1.0	480	43	438	480
308230	311700	12	A	0.97735	489	9	481	489
317750	330380	13	A	0.95684	525	36	490	525
336350	343980	14	A	0.9883	540	15	526	540
348050	348800	15	A	0.98009	541	1	541	541
353340	386124	16	A	0.95	604	63	542	604
386252	420140	17	A	1.0	690	86	605	690
428990	457060	18	C	0.71126	735	45	691	735
460410	496946	19	C	0.99892	814	79	736	814
497128	525450	20	A	1.0	868	54	815	868
526910	578860	21	C	1.0	958	90	869	958
581230	597940	22	A	0.64753	1006	48	959	1006
600470	625498	23	A	0.99989	1070	64	1007	1070
625664	634030	24	A	0.92773	1086	16	1071	1086
636610	668730	25	A	0.99999	1158	72	1087	1158
669470	683950	26	A	0.74	1193	35	1159	1193
686770	708360	27	A	1.0	1236	43	1194	1236
710570	769100	28	A	0.99591	1360	124	1237	1360
769470	800100	29	A	0.99996	1412	52	1361	1412
809420	830476	30	A	0.99905	1459	47	1413	1459
830578	862490	31	C	1.0	1532	73	1460	1532
864380	887184	32	A	0.86051	1600	68	1533	1600
887222	926270	33	A	0.82963	1688	88	1601	1688
930800	967160	34	C	0.89112	1762	74	1689	1762
968540	1039664	35	A	0.98353	1899	137	1763	1899
1039782	1054230	36	A	1.0	1923	24	1900	1923
1056600	1064970	37	A	0.99988	1941	18	1924	1941
1068700	1147140	38	D	0.78467	2088	147	1942	2088
1147800	1217880	39	A	1.0	2226	138	2089	2226
1219100	1264890	40	A	0.99999	2286	60	2227	2286
1268620	1375484	41	B	0.73353	2452	166	2287	2452
1375682	1420170	42	B	1.0	2521	69	2453	2521
1424500	1467276	43	A	0.54393	2607	86	2522	2607
1467378	1505720	44	A	1.0	2683	76	2608	2683
1511120	1534892	45	A	1.0	2737	54	2684	2737
1535046	1583360	46	A	1.0	2826	89	2738	2826
1583780	1623730	47	A	1.0	2914	88	2827	2914
1624420	1660904	48	A	0.99814	2985	71	2915	2985
1660952	1690340	49	A	0.99372	3037	52	2986	3037
1692600	1694230	50	C	0.9928	3041	4	3038	3041
1696280	1731410	51	A	0.73784	3104	63	3042	3104
1731780	1746050	52	D	0.51	3137	33	3105	3137
1749600	1804220	53	A	0.36	3255	118	3138	3255
1804800	1818560	54	A	0.98	3286	31	3256	3286
1819700	1870576	55	A	0.99978	3377	91	3287	3377
1870758	1925760	56	A	0.97	3504	127	3378	3504
1926840	1991640	57	A	0.59	3642	138	3505	3642
1993100	2035990	58	A	0.68	3746	104	3643	3746
2040250	2079250	59	A	0.65	3829	83	3747	3829
2088540	2136090	60	A	0.67	3914	85	3830	3914
2144280	2185004	61	A	0.90641	4020	106	3915	4020
2185052	2215390	62	C	1.0	4087	67	4021	4087
2218640	2249140	63	A	0.98526	4160	73	4088	4160
2249210	2325650	64	A	0.61423	4345	185	4161	4345
2329300	2381836	65	A	0.99629	4441	96	4346	4441
2382028	2428464	66	A	1.0	4548	107	4442	4548
2428502	2485170	67	A	0.87617	4682	134	4549	4682
2486520	2494390	68	A	1.0	4710	28	4683	4710
2500360	2529040	69	A	0.83875	4749	39	4711	4749
2531380	2599880	70	A	0.99998	4885	136	4750	4885
2600300	2602120	71	A	0.99963	4890	5	4886	4890
2605020	2635570	72	A	0.94754	4954	64	4891	4954
2640520	2656836	73	A	0.95566	5001	47	4955	5001
2657028	2675810	74	A	1.0	5046	45	5002	5046
2678340	2733570	75	A	1.0	5142	96	5047	5142
2734740	2775970	76	A	1.0	5216	74	5143	5216
2776660	2840790	77	A	0.93	5352	136	5217	5352
2842040	2905490	78	A	0.99981	5456	104	5353	5456
2909800	2948800	79	A	0.99997	5536	80	5457	5536
2949240	2977210	80	A	0.55	5573	37	5537	5573
2981450	3018340	81	A	0.79	5662	89	5574	5662
3018950	3029970	82	A	0.77	5679	17	5663	5679
3034250	3110190	83	A	0.98	5815	136	5680	5815
3116340	3142828	84	A	0.99415	5882	67	5816	5882
3142994	3163890	85	A	1.0	5934	52	5883	5934
3167380	3203070	86	A	0.82543	6003	69	5935	6003
3206100	3264000	87	A	0.98	6093	90	6004	6093
3268590	3273470	88	A	0.6	6105	12	6094	6105
3276670	3301840	89	A	0.99955	6159	54	6106	6159
3304840	3314430	90	A	0.99994	6179	20	6160	6179
3318960	3321550	91	A	0.86339	6187	8	6180	6187
3323700	3339840	92	A	0.68569	6222	35	6188	6222
3343900	3346810	93	A	0.97416	6232	10	6223	6232
3351420	3391700	94	A	0.99998	6295	63	6233	6295
3393980	3403050	95	A	0.98	6320	25	6296	6320
3406640	3422800	96	A	0.54	6355	35	6321	6355
3429310	3432810	97	C	1.0	6369	14	6356	6369
3437470	3449650	98	A	0.92	6398	29	6370	6398
3450470	3453680	99	A	0.81407	6401	3	6399	6401
