start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
1690	2960	1	A	0.96945	3	3	1	3
6580	19260	2	B	0.53966	18	15	4	18
19340	23810	3	A	0.99977	28	10	19	28
31260	38984	4	B	0.53174	41	13	29	41
39102	81300	5	B	0.99882	132	91	42	132
81380	132848	6	B	1.0	239	107	133	239
133024	183770	7	B	1.0	349	110	240	349
184620	217564	8	B	1.0	433	84	350	433
217692	256700	9	B	0.96249	520	87	434	520
259360	302780	10	B	0.99827	621	101	521	621
303920	347260	11	B	0.6797	696	75	622	696
348320	423940	12	B	0.99848	840	144	697	840
424920	488360	13	B	0.99398	964	124	841	964
488860	544668	14	B	0.94	1081	117	965	1081
544754	589764	15	B	0.99512	1179	98	1082	1179
589892	642856	16	B	1.0	1281	102	1180	1281
642878	711600	17	B	0.99928	1439	158	1282	1439
713460	794700	18	B	0.60953	1595	156	1440	1595
795440	858210	19	B	0.99973	1721	126	1596	1721
858660	918690	20	B	0.54	1835	114	1722	1835
919320	977748	21	B	0.99992	1972	137	1836	1972
977914	1037620	22	B	0.99	2096	124	1973	2096
1037700	1074992	23	B	0.99	2184	88	2097	2184
1075136	1143640	24	B	1.0	2349	165	2185	2349
1144240	1224716	25	B	0.97854	2509	160	2350	2509
1224748	1294430	26	B	0.0	2648	139	2510	2648
1295280	1321620	27	B	0.99997	2708	60	2649	2708
1324680	1389764	28	B	0.86431	2853	145	2709	2853
1389812	1447704	29	B	0.99923	2961	108	2854	2961
1447832	1513600	30	B	0.99558	3108	147	2962	3108
1513670	1556296	31	B	0.98946	3190	82	3109	3190
1556488	1580064	32	B	1.0	3256	66	3191	3256
1580112	1657500	33	B	0.99958	3460	204	3257	3460
1657580	1698316	34	B	0.99994	3554	94	3461	3554
1698418	1751596	35	B	1.0	3673	119	3555	3673
1751698	1804220	36	B	1.0	3793	120	3674	3793
1805360	1858252	37	B	0.87223	3931	138	3794	3931
1858396	1895464	38	B	0.99949	4026	95	3932	4026
1895512	1902700	39	B	0.99997	4048	22	4027	4048
1905440	1936410	40	A	0.99016	4121	73	4049	4121
1937180	1951260	41	B	0.99924	4151	30	4122	4151
1953520	2007970	42	B	1.0	4276	125	4152	4276
2009540	2054216	43	B	1.0	4388	112	4277	4388
2054318	2059680	44	A	0.96553	4397	9	4389	4397
2063940	2069980	45	A	0.98	4406	9	4398	4406
