start	end	sentNum	speaker	confidence	text
2010	2800	1	A	0.89	All right.
4930	11754	2	A	0.99	And on to the last session of the first interval.
11882	13310	3	A	0.62267	Greetings, Nynke!
19860	20960	4	A	0.99919	Greetings.
21380	21888	5	B	0.99887	Hello.
21974	22944	6	B	0.99999	Good morning.
23142	24770	7	A	0.99989	Yes, good morning.
26580	27890	8	A	0.99967	How goes it?
29380	31370	9	B	0.9987	Yeah, I'm doing fine, thanks.
33260	36730	10	A	0.99999	Would you like to present and then we'll discuss?
38220	40184	11	B	0.99992	Yes, that sounds like a good idea.
40382	41130	12	B	0.99939	Great.
43200	44350	13	B	0.96799	Let's see.
46400	58212	14	B	0.99777	Just going to share my screenplay.
58356	59050	15	B	0.65862	Yes.
65600	67260	16	B	0.99989	Can you see the presentation?
68720	69710	17	A	0.99986	Not yet.
70240	71084	18	B	0.99531	Okay.
71282	72780	19	B	0.94678	See flex.
75120	75628	20	A	0.99355	Yes.
75714	76670	21	A	0.99983	Looks perfect.
77520	78690	22	B	0.99507	Okay, great.
81460	81920	23	B	0.96271	Yeah.
81990	82976	24	B	0.56056	Should I just start?
83078	88780	25	A	0.99982	Yeah, go for as long as you want, and then anyone can ask questions in the live chat, and I'll write down some things, too.
88870	89460	26	A	0.99498	Thank you.
89530	90550	27	B	0.5915	Okay, great.
91800	92260	28	B	0.85628	Yeah.
92330	100084	29	B	0.99	So my presentation today will be on advances in machine theory of mind and theory of mind.
100122	108244	30	B	0.99612	Sophistication I'm currently a student at the University of Amsterdam and finishing my master's thesis on this topic.
108292	122830	31	B	0.98	And I'll be giving a broad overview of current machine theory of mind and an idea or concept for an active inference approach based on previous work related to active inference theory of mind.
124160	131340	32	B	0.88	So to start okay, sorry.
133330	142180	33	B	0.64	So for a global overview, we'll start with giving a short basic definition of what theory of mind is and how it's been used.
142870	156790	34	B	0.63695	Then I'll give you a global overview of current approaches to designing machine theory of mind, including evasion approaches, approaches using Biphysical models, et cetera.
157370	166230	35	B	0.96376	Then I'll zoom into active inference models of theory of mind and social intelligence and collective intelligence more broadly.
167370	170258	36	B	1	And I'll get into the issue of theory of mind.
170284	186480	37	B	0.57746	Sophistication, which is basically the depth of recursivity of beliefs that you can have about another person's mental states and their thoughts or beliefs or goals about you.
187970	193250	38	B	0.95	And then we'll get into the issue of how to implement recursive beliefs.
193750	201170	39	B	1	And as an example, we'll discuss Bayesian theory of mind with K levels of depth.
201670	216902	40	B	1	And then we'll get into the more specific paradigm that I'm using right now to build a theory of mind model, which is based on a very simple model of the matching panning paradigm.
217046	227770	41	B	1	So we'll talk a little bit about that, and then we'll get into the model itself and current ideas for implementing theory of mind sophistication using active inference.
228770	232800	42	B	0.96	So first of all, what is theory of mind?
233170	245060	43	B	0.68992	Theory of mind has been introduced by the very famous paper by Primac and Woodcherf in 1978, I think it was called does the Chimpanzee Have a Theory of Mind?
245750	256550	44	B	1	And they define theory of mind as the ability to impute mental states to himself and others as a system of inferences.
257770	274410	45	B	1	And they say system of inferences of this kind is properly viewed as a theory, first, because such states are not directly observable, and second, because the system can be used to make predictions specifically about the behavior of other organisms.
274990	277878	46	B	1	And I think there's already a lot in this definition.
277974	302130	47	B	1	And a lot of authors looking at theory of mind right now still use the same view of theory of mind as a theory, a structured theory of different kinds of mental states such as goals, beliefs and desires that facilitate the prediction of observable behavior in other agents such as facial expressions, movement or speech.
304230	328330	48	B	0.99	And I find it very interesting how much this aligns with maybe a predictive processing view of social cognition, but also how weird it is that this theory, theory of theory of mind is still so widespread in the theory of mind literature, modeling literature.
328690	338960	49	B	0.96	So there's been some discussion on whether you can properly regard theory of mind as a theory and if so, what kind of theory it is.
339330	348130	50	B	0.98	So within the philosophy of mind, there's been basically two mainstreams or main perspectives on theory of mind.
348200	358090	51	B	0.99779	According to the classic theory, theory of Tom, theory of mind is a causal theory of how these internal mental states generate other agents'behaviors.
358190	361560	52	B	0.74	So it's the same kind of view that we just saw.
362890	380400	53	B	1	And then the opposite side is called simulation theory of theory of mind, which posits that we use the same kind of cognitive and neurological resources for understanding and predicting other agents as those that we use for understanding the self.
380770	383882	54	B	1	And simulation theory can also take on different forms.
384026	386334	55	B	0.94	The sun is coming up next to them.
386372	390320	56	B	0.6	So that's why I'm based in light at the moment.
391170	394034	57	B	0.99853	But basically there are lots of versions of this.
394072	398980	58	B	0.99836	Some posit that we use the same kind of action prediction mechanisms for ourselves as for others.
399670	414194	59	B	1	And there is this new version of simulation theory that Gordon proposes in 2021 which very broadly says that we have the same kind of theory for other agents for ourselves.
414242	424490	60	B	0.87	So there's this general theory for what it means to be an agent that is refined at different stages to facilitate context sensitive predictions in social interactions.
428030	436670	61	B	0.78	So this is also interesting to look at when you model theory of mind, what you think theory of mind is and how it is specifically implemented.
437250	443018	62	B	1	So why would we be interested in creating computational models of theory of mind?
443204	449138	63	B	1	So I think there are three important reasons why this is very relevant at the moment.
449224	454130	64	B	1	First of all, there is a technical reason or the reason of technological advancement.
454810	466230	65	B	0.79153	There's been some proposals that argue for the development of artificial social intelligence.
466830	469420	66	B	0.77	Oh wait, yes.
469870	489550	67	B	1	So the technical reason for developing computational models of theory of mind is to improve artificial social intelligence, especially as we start to live in a world in which research on human AI interaction becomes more relevant.
490930	511670	68	B	0.99	And that's been this paper Bob Williams, for example, that's argued that improving artificial social intelligence is needed for successful AI human cooperation and it could improve communication, trust and maybe also value alignment.
513050	516126	69	B	0.99998	By utilizing theory of mind for value alignment.
516178	532160	70	B	0.97	For example, there is a very strong foundational reason to study social cognition generally and the evolution of social cognition through in silica hypothesis testing and clarifying the conceptual boundaries of theory of mind.
533890	550850	71	B	1	One great example for this is research by Devane ETL, which used a computational model of recursive theory of mind compared to alternative models to study different cognitive strategies in non human primates.
551910	562870	72	B	1	And they find no evidence for the hypothesis that theory of mind sophistication involved with an increase in herd size, but they do find a correlation with, for example, neocortex ratio.
564010	571130	73	B	1	So in this way, theory of mind models can give us some insight into the evolution of social cognition.
571950	595490	74	B	1	On the clinical side, theory of mind models can be used to understand relevant social variations in clinical populations, for example, through computational phenotyping and diagnostics and by studying social behavior in groups that have some difficulty with social interactions.
596630	610470	75	B	1	And groups that show some kind of variation in social cognition, such as people with autism spectrum, people in the autistic spectrum, people with ADHD or schizophrenia.
610970	620474	76	B	1	So I hope that with some of these reasons, I convinced you that modeling theory of mind is very relevant at the moment.
620672	623260	77	B	0.97	And there have been a lot of people already on this.
624270	639870	78	B	0.66	And I've created this very global overview of some approaches that are representative or some models that are representative of their more general approaches.
641590	658390	79	B	0.8045	There's this brain Tom model which aims to basically build up clear mind abilities and abilities facilitating social interaction from the bottom up using Biphysical models of neural firings.
659850	662450	80	B	0.92617	That's why I've placed it on the dynamic scale.
662530	683470	81	B	0.97	So I've tried to align these modeling approaches along the axes of how they treat time, how broad their description is from the individual level to maybe describing more broader social and cultural processes and along the level of description from the molecular biophysical to the behavioral.
684450	703890	82	B	1	And one thing you can see is that there is a lot of work based on invasion inference and active inference that moves along that has relevant ties to the molecular and neurobiological level but moves along the lines of making behavioral and cognitive predictions.
705050	716040	83	B	1	And there are very little models that really also formalize the concrete implementation of theory of mind.
716990	733366	84	B	0.96	And there is also, I think, this need for connecting this dynamic implementational level to individual level social cognition and putting that in the context of social interaction more generally.
733558	748594	85	B	0.99	So some of the representational approaches that I selected are the TOMNET, which basically uses neural network embeddings to train reinforcement learning agents.
748792	764562	86	B	0.99947	We have Ktom, which is a Bayesian recursive model which I'll come back to later, some or theory of mind with self other modeling uses multiagent reinforcement learning with goal inference.
764706	778540	87	B	1	And we have the more theoretical active inference model of implicit cultural learning called thinking through other minds, which could be seen as an alternative or a redefinition of theory of mind.
781250	793300	88	B	0.62778	Okay, so to sum up, we have this stream of biophysical models, most notably Brain Tom, which was developed by Zhao et al.
793990	821290	89	B	1	And its strengths are its neurobiological plausibility at making dynamic predictions about neural activation in populations that are associated with theory of mind abilities and its weaknesses is that it's quite computational and costly and it's probably difficult to implement in an interactional setting.
823550	839550	90	B	0.86089	There are some deep learning models such as Tomnets by Rabinovitz and Self other modeling which I just mentioned that are also quite neurobiologically plausible and also make some dynamic predictions.
840210	874618	91	B	1	But there is this strong danger of shortcuts, which has been addressed in deep learning models, that the task might not be solved by learning the relevant ability of being able to infer another agent's goals or beliefs, but just by learning simple lower level associations between, for example, the perspective or how another agent stands and where, for example, a food reward would be.
874704	888270	92	B	1	So there are a lot of ways to solve the task and there's this finding that deep learning models sometimes use these kinds of shortcuts so that's something that's needed to be addressed.
889570	905222	93	B	0.9995	Then there are some Bayesian belief based models such as K Tom for Recursive theory of Mind and Beijing Tom which was originally developed by Baker et al.
905276	929600	94	B	0.99959	In 2011 and its strengths are that it's quite efficient, it's very easy to interpret and its weaknesses are that the road to the implementational level is longer and it requires many priors and there's this question about whether it's scalable because of the prior specifications that you have to give.
932450	944100	95	B	0.9958	Okay, so as one of the I think the interesting newer developments on a theory of mind wait, yes.
946630	959878	96	B	0.95248	Is Hierarchical active Inference for collaborative agents which has been recently published and Haika is based on the Asian theory of mine by Baker et al.
960044	983790	97	B	0.99992	But it adds this formalization of belief resonance which is the incorporation of beliefs about another's intentions with top down predictions and this influence of these other agents beliefs are modulated by susceptibility parameter which controls this influence.
985170	996340	98	B	0.99	And what I find I think it's important to note here that they use an approach based on active inference but they don't use the free energy principle for example.
997510	1002702	99	B	1	So they do couple perception and action but just in a different way using a karma filter.
1002766	1014150	100	B	1	So the way they formalize this is slightly different but I think the overall structure can still be informing or inspiring for active inference methods.
1015950	1034720	101	B	0.97	So what is interesting about their simulation results is that they show that agent that there is some emergent collaboration on tasks for low values of the susceptibility parameter without any explicit planning or communication needed.
1035250	1055750	102	B	0.98	And this means that they improve upon the original Bayesian model, which explored different sort of overall plans for all of the agents, which means that an agent employing Bayesian Tom would need to reason about the roles of all of the other agents, which was very costly.
1056170	1065640	103	B	0.98	And the authors wanted to improve on that to model maybe on the fly coordination, which is more spontaneous and takes less time.
1066650	1073980	104	B	1	And they also show that incorporating belief resonance has a very positive effect in scenarios in which there's unbalanced information.
1074750	1084720	105	B	0.99995	They did this simulation, the overcooked domain in which agents have to collaborate on different cooking tasks and the goal is basically the order, the cooking order.
1085170	1089920	106	B	0.97	And then the intention would be any kind of action that has to do with completing the order.
1090930	1103650	107	B	1	And they show that incorporating the leaf resonance seems to be especially useful in situations with unbalanced information which, for example, one agent knows the order and the other doesn't.
1104170	1120650	108	B	0.93	And these agents develop some kind of leader follower dynamic in which one is more susceptible to the other agent's intentions and one agent attends more to the evidence from the environment.
1121390	1133870	109	B	1	And this also aligns with what we know about your mind mainly being employed in situations in which there is some asymmetry in what the agents know about the environment.
1134210	1137230	110	B	1	So I thought that was very insightful.
1141090	1152260	111	B	0.99589	Okay, so I'm going to go into some active inference approaches that I think are relevant for developing active inference theory of mind.
1152630	1166742	112	B	1	First of all, there's this very broad proposal on inculturation and non development thinking for other minds, a variational approach to cognition and culture, which we'll go into a little bit.
1166876	1175610	113	B	0.74903	We'll go into Castle and HAF's paper on ideas for spreading a free energy proposal for cumulative cultural dynamics.
1176510	1178658	114	B	0.50214	We'll go into Kaufman et al's.
1178694	1186990	115	B	0.98972	Model on collective intelligence and finally also the proposal by Mutusis et al.
1187060	1190080	116	B	1	On Beijing inferences about the self and others.
1193100	1207900	117	B	0.62314	Okay, so first of all, I am starting with beta inference about the self and others because it gives a very sort of broad introduction to, I think, predictive social cognition.
1208320	1234340	118	B	1	And that's also why I've added this figure on the right that is from the Tam Thoughts and paper in 2018, which explores the predictive social brain and what kind of features seem to be relevant for categorizing and understanding others behaviors.
1236920	1254644	119	B	0.89866	Some figure on the right, you see that there is this space, this trade space, which is ordered by power, sociality and balance, and that constraints the state space which seems to be ordered by rationality, social impact and balance.
1254772	1261340	120	B	0.87	Of course, these are just correlations, but these futures seem to be most predictive of what they're seeing in the brain.
1262560	1276480	121	B	0.97	And you can see that there is this sort of basically a very strong top down constraint of the possibility space in which you interpret other people's actions.
1277060	1289252	122	B	1	And you can also see that based on another agent's actions, you learn something about where they fall within that space in a given context and also where they fall in that trade space.
1289306	1300104	123	B	0.64476	What kind of so at the same time, you might have already have some priorities on what kind of a person this is, but you're also learning about it.
1300302	1308472	124	B	0.76	You might also have some priors on how someone behaves when they're mad, for example, or when they're sociable versus unsociable.
1308616	1311384	125	B	0.99	And all these kinds of priors informative priors.
1311432	1321440	126	B	0.82276	They inform your predictions in the context, and they make this task much more manageable of predicting other people's behaviors on the fly.
1322740	1343130	127	B	0.98	And I think that links very well back to Mutuses proposal, which is basically that inferences about the self and others at different timescales facilitates interpersonal minimization of surprise and thereby optimal social decision making.
1346460	1363260	128	B	0.92	And these self and other representations that facilitate personal minimization of surprise could be seen as representations that inform our inferences and predictions on the fly.
1366720	1384064	129	B	1	I think it's also important to mention that one of the main key points of their paper is that self representation, so beliefs about how beliefs about the self can facilitate interpersonal minimization of surprise.
1384112	1399080	130	B	0.99	So even what I think about me and how I represent that, while communicating, will facilitate the other person's optimal decision making at that moment, maybe by providing the right kind of information that they need to optimize.
1400140	1409032	131	B	0.84803	Okay, so to the next two interesting papers, ideas Worth spreading and an active inference model of collective intelligence.
1409176	1417580	132	B	0.99	So the key idea, I think, for both of these papers is the emergence of group behaviors from local interactions.
1417920	1427840	133	B	0.98	For Caston Hess, this is the global group behaviors cultural transmission or transmission of beliefs and norms.
1428180	1434980	134	B	0.99	And they describe this process as the mutual achievement of actively inferring agents through communication.
1435400	1442128	135	B	0.65	And theory of mind is one of the many mechanisms that facilitate this process of achievement.
1442304	1443590	136	B	1	So that's the link.
1444040	1458680	137	B	1	And they show that the spread of certain kinds of beliefs through a group can be modeled just by making agents interact in diadic groups and stimuli.
1459100	1460116	138	B	0.20566	Kaufman et al.
1460158	1486230	139	B	0.98951	Show that you can create a system of free energy minimizing agents with some minimal properties of social intelligence, such as the ability to assess how self similar another agent is to themselves, the ability to infer another agent's intentions, and the ability to align their goals to another agent, more or less.
1486760	1498520	140	B	1	And they show that if you put all of these agents together in those diets, they don't only minimize free energy on the dietic scale, but they also minimize free energy as a collective.
1499500	1515580	141	B	1	And thereby, this is a very simple model of how adaptive behaviors, group adaptive group behaviors, could emerge from agents with very simple social abilities.
1530020	1557240	142	B	0.98827	Okay, so now we get to thinking through other minds, which is not technically a proposal for theory of mind, but it's a proposal for how social cognition shapes inculturation more generally and what kind of abilities agents need to facilitate this kind of normation.
1559340	1572060	143	B	1	And I think it's a very interesting proposal because I think it highlights an important function of social behavior more generally.
1572720	1581680	144	B	1	And you could even see it as a way to redefine theory of mind as more of an interactional concept than as an individual level cognitive ability.
1583220	1596260	145	B	1	So, according to this proposal, thinking through other minds is a property of multiple interacting minimizing agents and a process by which agents infer other agents expectations.
1596840	1613160	146	B	1	And based on this, the authors propose a definition of enculturation as a process of learning social expectations through the selective patterning of attention that guides agents towards relevant affordances within their social and cultural niche.
1614460	1621532	147	B	0.99891	I'm not sure if you're all familiar with the concept of affordances but it was quite hyped up a couple of years ago.
1621586	1633272	148	B	0.88797	In general it is defined as relational construct denoting possibilities for action offered by an environment that are code determined also by an agent's interest, goals and abilities.
1633416	1647140	149	B	0.97	So I think that the standard example for this is when you are thirsty, a glass of water might appear as an affordance or you might not consciously or might also tend to it otherwise.
1647960	1653540	150	B	0.69	And cultural affordances in this sense are epistemic affordances.
1654360	1663160	151	B	0.72	So affordances that give you some epistemic value that have come to stand out as reliable and relevant based on a history of culture information they encode.
1663580	1668300	152	B	1	And good examples for this are different kinds of signs of traffic signs.
1668720	1683520	153	B	0.99976	We learn what they mean from a young age and we sort of inherited the symbolism of the traffic signs and they guide our intention towards points in traffic and they regulate our behaviors.
1685940	1705248	154	B	1	So when you look at the complete proposal, it sketches how the regulation of social behavior depends on the learning of shared norms and expectations and also how this connects to utilizing cultural affordances and thinking through other minds.
1705424	1717070	155	B	0.59957	As this profits interactional processing, in which agents learn to infer each other's expectations to optimize collective behavior and decision making.
1718480	1726524	156	B	0.98787	Okay, so from these interesting active inference and broader proposals of fear of mind we get to the issue of form.
1726562	1730544	157	B	0.54528	Sophistication in active inference so what is fear of mind?
1730582	1739312	158	B	0.99842	Sophistication a short recap it's the depth of reclusivity that can be utilized for fear of mind of the form.
1739366	1765640	159	B	1	I think that they think that I think, and it has been found that agents generally use a reclusivity of between zero and four and that humans, humans ability for recursive belief reasoning is generally limiting but in principle, formally this could go on forever.
1767120	1780430	160	B	0.96	And one way to implement this kind of sort of arbitrarily recursive belief inference is proposed by Vada et al.
1781200	1796148	161	B	0.9162	Uses a Bayesian model of sophisticated theory of minds with Ktom agents and provides simulations in which K tom agents play against agents that are just one level of recursivity under them.
1796234	1802352	162	B	0.98	And this model has been used for a lot of interesting simulation experiments.
1802416	1803190	163	B	1	For example.
1804380	1830690	164	B	0.30271	Devane Et Al Showed that in a trade based analysis but with agents having a fixed depth of theory of mind reclusivity there is a specific distribution of agents with level one tom and level two tom that could provide an evolutionary advantage compared to populations with larger proportions of serotonin three tom agents.
1831140	1843220	165	B	1	So they look at the adaptive properties of systems with different kinds of ratios of theory of my sophistication.
1844600	1857184	166	B	0.99	And in another experiment, which is a state based analysis for Joe et al.
1857242	1874380	167	B	0.73013	Showed that if you use computational phenotyping on autistic individuals, this shows reduced sensitivity to task framing and strategy switching within the game that they'll be using and theoretical line sophistication.
1876640	1883100	168	B	1	So these are just some interesting applications for theoretical mind sophistication.
1883760	1898416	169	B	1	And the promise of modeling theoretical mind sophistication would be that you could investigate how people flexibly switch between different social strategies while solving a social task.
1898608	1909172	170	B	1	And one of them would be to increase the depth of fear of my sophistication or decrease it depending also on what you think about the other agent's.
1909236	1910360	171	B	0.94452	Sophistication.
1914140	1921870	172	B	1	So what I've been working on at the moment is an active inference model of social prediction during the Matching pennies game.
1924080	1933132	173	B	1	The matching pennies game is a game farm economics with a very simple format.
