start	end	speaker	confidence	paragNum	paragWordCount	wordPos	text
10880	11430	A	0.53133	1	1	1	Right.
14640	15100	A	0.82	2	1	2	All
15170	15790	A	0.99842	2	2	3	right.
20680	20996	A	0.99934	3	1	4	For
21018	21156	A	1.0	3	2	5	the
21178	21750	A	0.99998	3	3	6	next
22120	23140	A	0.92214	3	4	7	interval,
23720	24084	A	0.99993	3	5	8	we
24122	24804	A	0.56344	3	6	9	are
25002	25316	A	0.99995	3	7	10	in
25338	25572	A	0.8	3	8	11	the
25626	26496	A	0.99984	3	9	12	section
26688	27216	A	0.99866	3	10	13	hosted
27248	27444	A	0.99999	3	11	14	by
27482	27684	A	1.0	3	12	15	the
27722	28048	A	0.90729	3	13	16	Active
28064	28416	A	0.97575	3	14	17	Inference
28448	29280	A	0.99915	3	15	18	Institute
29440	29812	A	0.99994	3	16	19	on
29866	30084	A	0.99998	3	17	20	our
30122	30464	A	0.99997	3	18	21	recent
30512	30772	A	0.99079	3	19	22	paper,
30826	31168	A	0.97555	3	20	23	active
31184	31536	A	0.98579	3	21	24	Inference
31568	32016	A	0.75284	3	22	25	Institute
32048	32196	A	0.94	3	23	26	and
32218	32356	A	1.0	3	24	27	the
32378	32608	A	0.95324	3	25	28	Active
32624	33024	A	0.97056	3	26	29	Inference
33072	34000	A	0.95423	3	27	30	Ecosystem.
34160	34916	A	0.97118	3	28	31	So
35098	35830	A	1.0	3	29	32	two
36200	36804	A	0.99995	3	30	33	short
36922	37624	A	0.99945	3	31	34	messages.
37712	38252	A	1.0	3	32	35	First,
38386	38636	A	0.99998	3	33	36	if
38658	38856	A	0.99983	3	34	37	you're
38888	39180	A	0.69422	3	35	38	in
39250	39484	A	0.88	3	36	39	the
39522	39820	A	1.0	3	37	40	live
39890	40504	A	0.99999	3	38	41	chat,
40632	40984	A	0.54085	3	39	42	I'll
41032	41388	A	0.99843	3	40	43	post
41474	41820	A	1.0	3	41	44	the
41890	42172	A	1.0	3	42	45	link
42226	42444	A	0.75107	3	43	46	right
42482	42780	A	0.64	3	44	47	now
42850	43084	A	0.67	3	45	48	to
43122	43228	A	1.0	3	46	49	the
43234	43836	A	0.99997	3	47	50	paper.
44018	44556	A	1.0	3	48	51	And
44658	45116	A	0.99999	3	49	52	this
45218	45436	A	1.0	3	50	53	can
45458	45596	A	1.0	3	51	54	be
45618	45756	A	1.0	3	52	55	more
45778	45916	A	1.0	3	53	56	of
45938	46076	A	0.9999	3	54	57	like
46098	46236	A	0.98	3	55	58	a
46258	47100	A	0.85507	3	56	59	conversational
47600	48680	A	0.9997	3	57	60	interval.
48840	49212	A	0.99987	3	58	61	So
49266	49436	A	0.91907	3	59	62	if
49458	49596	A	1.0	3	60	63	you
49618	49756	A	0.99999	3	61	64	have
49778	50072	A	1.0	3	62	65	any
50146	50770	A	0.998	3	63	66	questions
51220	51970	A	0.99928	3	64	67	about
52980	53344	A	1.0	3	65	68	the
53382	54140	A	0.99487	3	66	69	ecosystem
54220	54464	A	0.99963	3	67	70	or
54502	54656	A	1.0	3	68	71	the
54678	55212	A	0.98934	3	69	72	institute
55276	55890	A	0.95038	3	70	73	or
56660	56976	A	0.99992	3	71	74	any
56998	57136	A	1.0	3	72	75	of
57158	57248	A	1.0	3	73	76	the
57254	57472	A	1.0	3	74	77	stuff
57526	57696	A	1.0	3	75	78	that
57718	58320	A	0.786	3	76	79	we're
58660	59120	A	0.99998	3	77	80	talking
59190	59520	A	0.99966	3	78	81	about,
59590	60204	A	0.99004	3	79	82	let's
60332	60576	A	0.99995	3	80	83	make
60598	60736	A	0.99985	3	81	84	it
60758	60896	A	1.0	3	82	85	a
60918	61788	A	0.94557	3	83	86	conversation.
61964	62208	A	1.0	4	1	87	And
62214	62336	A	1.0	4	2	88	then
62358	62592	A	0.53	4	3	89	second
62646	62912	A	0.99998	4	4	90	message.
62966	63136	A	0.9999	4	5	91	If
63158	63248	A	0.99997	4	6	92	there
63254	63436	A	0.98547	4	7	93	are
63478	63828	A	0.99998	4	8	94	any
63914	64164	A	1.0	4	9	95	co
64202	64544	A	0.99972	4	10	96	authors
64592	64708	A	0.99999	4	11	97	on
64714	64884	A	0.99935	4	12	98	this
64922	65556	A	0.99997	4	13	99	paper
