start	end	speaker	confidence	text
5850	6400	A	0.67517	You.
8450	27840	B	0.9262358695652173	Hello and welcome. It's September 20, 2023. We're at the Active Inference Institute in the course, active Inference for the social Sciences, and here with Mao Aberrassen, who will be presenting today on norm scripts and linguistics under active inference. So thank you, Mao, to you.
29090	2821100	A	0.9354110910698485	Awesome. So, hi, everyone. In as last time, there was a presentation on semiotics and semantics. I won't dig too far into linguistics, but I'll touch on it at the end of the course. So what are we going to do in this module? We're going to explore the concept of active inference and its relevance to social norms and human decision making. As you will have seen in the previous classes, active inference is a theoretical framework that seeks to explain how organisms, including humans, engage with their environment to minimize uncertainty and maintain their internal states. We're not going to dig into these concepts too, too much, because I assume they have been previously explained. At length, however, I will explain how they connect to social phenomena. So this framework has significant implications for understanding social behavior, as it can help explain how individuals conform to social norms and make decisions based on the expectations of others. We'll delve into the role of active inference in human societies, emphasizing how humans and other organisms constantly seek to minimize their uncertainty about the world by updating their beliefs and taking actions to maintain a stable internal state. This is a crucial process for survival. It allows individuals to predict and adapt to their environment. In the context of human societies, active inference plays a critical role in explaining how individuals navigate complex social situations, conform to social expectations, and make decisions that align with their beliefs and values. Furthermore, we'll explore the concept of deontic value within active inference, which refers to the value attributed to actions based on their adherence to social norms and expectations. By adhering to social norms, individuals can minimize the uncertainty associated with their actions and maintain a sense of predictability and stability in their social environment. So, together, all these insights will provide you with a comprehensive understanding of the complex interplay between active inference, social norms, and human decision making. So let's dive in. We'll start by introducing a philosophical framework. Building on the framework of active inference in activism offers us a complementary lens to understand the dynamic and contextual nature of social cognition. So, while active inference provides the computational underpinnings for understanding social norms and decision making, we still need to anchor ourselves within a larger theoretical framework. Inactivism enriches this perspective by emphasizing the practical and developmental aspects of social understanding. So what is inactivism if it hasn't been introduced before? Inactivism is a philosophical stance that extends beyond traditional theories of cognition, emphasizing the role of interactions and relational dynamics in shaping both individual and social cognition. It argues that cognition is a dynamic, real time, fluid, and contextual social action. You can read more about this in Ineshi Bolito's texts and Thomas van S in 2022. Generative models and Hermeneutics serve as a cognitive structure and framework for interpretation, respectively. These elements are continuously updated based on social interactions and signals, thereby facilitating effective communication and understanding. Hermeneutics provides a theoretical framework for interpreting social signals and cues crucial for effective social interactions. So Hermeneutics allows for a nuanced understanding of contextually constituted meaning. It goes beyond the conventional notion of Self contained objects to explore the deeper contextual meanings in behavior and cognition. Yatimer's Hermeneutics offers a way to analyze social action that goes beyond positivist and humanist approaches by fusing the conceptual schemes of the observer and the social actor. It complements inactivism by providing the interpretive framework that are continuously updated through social interactions, enriching our understanding of cognition as dynamic, real time, and contextual. In the realm of social cognition, inactivism introduces the concept of generalized synchronization, which allows for a nuanced understanding of how social interactions mutually influence cognitive processes. The relationship between individual beliefs and social expectations is complex, and it's fundamentally shaped by our interactions with the others and the world. We thus see that meaning is coconstituted by the individual and the environment. If we adopt an activist and Hermeneutics approach, we find the philosophical foundations that lead into a comprehensive overview of the intersection with social cognition. If you want more references to read about these topics, you can ask me at the end of the class, and I can send you a few. So it's essential to note, however, that there are some criticisms that point out the limitations of inactivism in explaining social cognition. One of the key criticism is that current articulations of inactivism are not yet up to the task when it comes to explaining complex social interactions. Despite these criticisms, inactivism provides a consistent epistemology for a psychology that is intrinsically social. Looking forward, the field of inactivism and social cognition is ripe for exploration and would benefit from a deeper connection to active inference. There has been such research, so researchers like Maxwell Ramstead has developed a concept of inactive inference, which offers a promising avenue for integrating inactivism and active inference. His research aligns with folk psychology and suggests that these frameworks can coexist and enrich our understandings of social cognition. Future other directions could involve, for instance, integrating inactivism with other cognitive theories and exploring its applicability in real world social scenarios. Through its connection to active inference, we can make accurate and testable predictions. So while inactivism now provides us with a foundational understanding of cognition and social interaction, the concept of agency further enriches this understanding by introducing more philosophical perspectives that align with or diverge from inactivism. So we can build on top of inactivism through the notion of agency. So we will now focus on the key issue of inactivism, which is how does agency emerge? How do things self organize through their interaction with the environment? Why are they not fully determined? How can we account for agency in a system where effectively self organization is seen as some degree of determined by the materiality of the agent and its environment? Agency is a complex construct that has been explored through a multitude of philosophical and scientific frameworks. One prominent approach is the inactive affordance based perspective, which underscores the centrality of the I can notion in shaping both cognitive processes and behavioral outcomes. So Maxwell Ramstead again substantiates this perspective and resonates with the research conducted by Bruenberg in 2018. It posits, for instance, that agency is far from being a mere passive state rather, it involves active, dynamic engagement with the environment. Current investigations in this domain are being, for instance, continued by researchers like Riddipitlia, who is working on connecting properly the psychological phenomenon of agency in active inference modeling. In parallel, Tom Helmholtzian Bayesian models conceptualize active inference as a Bayesian process aimed at minimizing prediction error. This model finds support in the work of Kalan Kopp and suggests that agency is an active endeavor who aligns sensory inputs with internal predictions, thereby fostering a sense of control and self efficacy. The cybernetic interpretations offers a more mechanistic lens, focusing on control mechanism in homeostasis. In this view, agency is not just about accurate predictions, but also about maintaining a balanced state through dynamic interpretations. Interactions sorry with the environment Recent studies highlight the significance of performance based inferences in shaping our sense of agency. That approach suggests that the congruence between our actions and their expected outcomes plays a pivotal role in strengthening or weakening our sense of agency. So collectively, these diverse interpretations serve as intellectual bridges connecting the domains of philosophy, psychology, and computational neuroscience. They offer complementary insights that enrich our understanding of agency, thereby contributing to the broader discourse on inactivism and its application in understanding complex cognitive and social phenomena. So how is agency extended? Deep temporal models and the concept of agency. Both focus on the minimization of uncertainty and the optimization of decision making. Deep temporal models provide a computational framework that can model the complex time dependent patterns of behavior and cognition, offering insights into how agency is exercised in dynamic social contexts. In the context of our overall goal of understanding scripts through active inference, combining deep temporal models with theories of agency allows us to create more nuanced and predictive models of how individuals navigate social norms and make decisions through goal directed actions across different scales of concern. In social cognition, deep temporal models help individuals anticipate and adapt to changes in their social environment across timescales that go beyond what would be considered simply reactive, thereby reducing uncertainty and enhancing decision making. An individual can plan and extend agency beyond the current moment. So, in the realm of planning algorithms, deep temporal models allow us for a theoretical foundation for optimality, especially when resources are limited. They enable state abstraction and cognitive control, essential elements in hierarchical planning. Deep temporal models also contributes to various cognitive processes such as action understanding and language processing, which we will discuss later. They can be interpreted and integrated into deep reinforcement learning algorithms to develop socially aware navigation policies. Deep temporal models thus serve as a computational again, bridge between the neural mechanisms of action understanding and the cognitive processes that give rise to agency. So what might be potentially a neural mechanism that allows us to connect deep temporal models to social interactions? This is where we bring in the insights from mirror neuron systems and active inference. This way, we can have a more comprehensive models that not only predicts but explains how individuals exercise agency in complex social landscapes. Here, mirror neurons serve as a neural cornerstone for social cognition, firing not only during the execution of an action, but also during the observation of that same action performed by another. These specialized neurons are central to the continuous updating of internal models of the environment, including the actions and intentions of others. They minimize uncertainty and facilitate navigation through complex social landscapes, allowing us for smoother social interactions and more effective communication. So here, the deep temporal models are hierarchical generative models that offer a computational framework, and these models are adept at handling the complexities of self agency and other agency. In the context of self agency, a deep temporal models affords a high bias or precision to proprioceptive predictions, which gives us a nuanced understanding of one's own actions when observing another. This bias is adaptively suppressed, enabling the system to be flexible and context sensitive. The interplay between mirror neurons and deep temporal model is thus a compelling area of research. Mirror neurons contribute to the process of updating internal models, which is a core function of deep temporal models. This synergistic relationship allows for a more nuanced understanding of action prediction, we can see a deep and significant implication for long term planning in social context. The continuous updating of internal models facilitated by mirror neurons and computationally powered here through the deep temporal models, is crucial for making complex decisions and planning future social interactions. There's been recent research that indicates that our capacity to understand actions extend beyond the mirror neuron systems, which involves the activation of areas signaling unexpected events. This adds another layer of complexity to the already intricate interplay between the neurons and the models, which suggest that our understanding of action prediction and social cognition is far from complete, but is advancing rapidly thanks to these integrated frameworks. So, given the ongoing research on mirror neurons, we have to consider how computational models, like deep temporal models can offer a more nuanced framework for studying these neural mechanisms. So let's try to think about some of the issues with mirror neuron research. It's not without controversy. Some critical reviews argue that there's no compelling evidence supporting the role of mirror neurons in action understanding. Others can suggest that mirror neurons may be involved in lower level processes of action perception, but not in higher level intention understanding. So we need more studies to control for premotor contributions to action perception and provide a clearer definition of what is meant by action understanding. This is particularly important as some research indicates that there may be no proof that mirror neurons lead to action understanding. This doesn't mean that it negates the importance of these systems. It means we need more research to make sure that they are in fact related to action understanding. The functional properties of the mirror neuron system indicates that action understanding may primarily be based on the motor cognition that underpins one's own capacity to act. So we will now consider how these neural mechanisms can be integrated into broader frameworks like extended and optimized active inference. So by doing so, we can leverage generative models to provide a more nuanced understanding of action perception, prediction, social cognition, and adapting behaviors to lead us to scripts, gender perspectives, and cultural affordances. We have expanded in time. Now let's expand in space. Extended and optimized active inference represents a comprehensive framework that bridges between internal cognitive processes and external environmental interactions. Generative models serve as the cornerstone, extending beyond the confines of an organism's brain and body, to incorporate external cognitive resources such as maps or written language. This extension not only enhances the efficiency and accuracy of these models, but also has practical implications in various domains like social interactions and language processing. If we think of a cognitive niche, the framework introduces key dynamics like selective developmental and organism niche coordination. The dynamics elucidate the intricate relationship between organisms and their environment, including the reciprocal effects of environmental modifications and selection pressures. In sequential dynamics, generative models facilitate effective communication and understanding. They allow us to see the emergence of behavioral and neurophysiological correlates, such as Theta gamma coupling, which we will discuss later in neural activity, which can be seen as an emergent property of belief. Updating under variational message Passing Building upon the foundational aspects of extending an optimized active inference, it's crucial to delve into its specific applications in social context. When we optimize our generative models through social scripts and norms, we can see how extending active inference serves as a practical tool for navigating and modifying complex social landscapes, aligning with the framework's broader goals of cognitive niche construction. So we can see that this integrates both internal and external cognitive resources to optimize the generative model. Scripts serve as a cognitive blueprint that reduce the uncertainty and facilitate successful social interactions. They are continuously updated through adapted, changing social landscapes. They enhance the fluidity and adaptability of social behaviors. Social norms act as a macro level behavioral expectation that shapes the social environment and creates favorable niches for human interactions. These norms are internal representations that help individuals navigate complex social environments effectively. So here, cognitive niche construction involves active modification of the environment to create those favorable contexts. Extended active inference takes this a step further by allowing for the optimization of generative models, creating environments that are not just favorable but also harmonious. The comprehensive approach here has implications that span from psychology, sociology, artificial intelligence, and allows us to potentially set the stage for future research in cognitive science. So here we see that there's an importance to optimizing internal models for effective social interactions. So, while extended active inference focuses on the broader cognitive architecture involving generative models and social norms, here we zero in on the role of deontic value and social conformity, providing a more nuanced understanding of how individuals adapt and shape their social environment. So, the concept of Deontic value refers to the value attributed to actions based on their adherence to social norms and expectations. It allows us to guide individual choices. When faced with a decision, an individual weigh the deontic value of potential actions against other factors like personal preferences, beliefs, to determine the most appropriate course of action. He'll just allow me one. So this ties us very nicely to the notion of agency that we explored before in regimes of expectations by Axel Constance. We elaborate that Deontay cues enable the environment to learn about the behavior of its inhabitants, effectively outsourcing the epistemic and pragmatic values of any behavior. You can see that the expansion of active inference here takes on a whole other meaning. So active inference allows for dynamic adaptation, enables the individual to update their internal models better anticipate and connect to their environment, such that the environment and the individual mutually model each other. The deontic value here serves as a common thread between active inference and regimes of expectations. Through these regimes of expectation in active inference, we'll achieve a better understanding of social conformity and decision making. Regimes of expectation centers on the computational construct of deontic value, which we explained before and aligns with the broader research on social conformity, especially the winner takes all model proposed by Frank in 2008. Social expectation here play a significant role in shaping human decisions, and specifically, social conformity act as a learning strategy which is effective in uncertain environments. So now that we build on the foundational role of deontic value and the regimes of expectation, we find that this computational construct also serve as a crucial weighing factor in individual decision making. So we'll see how we can put this effect directly on decision making. Sorry. Regimes of expectations have basically a function of fitness enhancing social conformity. It suggests that conforming to social norms has evolutionary advantages. It leads into a circular causality between shared Bayesian expectations and individual policy selection. It's consistent with findings by Sanfi in 2014, which emphasize the importance of norms and expectations in social decision making. So now that we have how the environment and the individual co construct through these regimes of expectations, we will find how this allows us to construct a sense of self, specifically the social self. Here, social norms and shared Bayesian expectations link our individual and collective decision making processes to the broader understanding of selfhood. So how does active inference allow us to model how we derive the sense of self? Let's start by explaining the three main types of selves, minimal narrative and social. The minimal self is the prereflexive experience of being a subject emphasizing the body's role in shaping subjective experience. The narrative self is shaped by personal stories and experiences. Highlighting the importance of generative models in organizing these experiences aligns with the active inference, formalism, and psychological desires, providing a coherent narrative that guides our sense of self across time. The social self emerges from interactions with others and is influenced by social norms, values, and shared generative models. This concept is supported by the folk concept of intentionality, which includes desires, beliefs, intentions, awareness, and skill. Understanding these facets of the sense of self through the lens of active inference gives us an integrative cognitive process for emotions and social interactions. So now we'll delve more into the intricacies of the social self to show that the generative model and social scripts discussed earlier are integral to its formation. These scripts, optimized through extended active inference, not only guide our social interaction, but also contribute to the shaping of that self, creating a seamless interplay between individual cognition and collective social behavior. So, as we said earlier, social scripts are the cognitive blueprints that guide individuals through a myriad of expected actions or events in social contexts. These scripts are essentially generative models that help individuals predict and navigate social interactions. They're indispensable. They allow us to continuously update our internal models to minimize uncertainty and achieve a stable internal state. It's particularly important in a world where social interactions are increasingly complex and laden with unspoken expectations. Its optimization serves as a micro level mechanism that complements the macro level influence of social norms and deontic values, creating a cohesive understanding of social behavior. Social scripts can be enshrined in deontic cues, which enable the environment to learn about the behavior of its inhabitants, effectively outsourcing the epistemic and pragmatic values of any behavior. As we saw earlier in cognitive niche construction, the concept of contextual modulation integrates sensory and motor cues to influence our actions and decisions, allowing for dynamic adaptation and refinement of generative models. Through this modulation, we can see how social scripts and norms are shaped and adapted over time, which promotes the adaptability in the face of changing environments of individuals embedded in that environment. Now, contextual modulation here is pretty important and the mechanism not only refines our generative model, but also provides the adaptive flexibility required in complex environments, which unites the theoretical underpinnings of active inference with empirical findings on adaptive behavior. So, according to Francesco Donoruma, action perception is an active inferential process that combines motor prediction and hypothesis testing crucial for understanding social scripts. Adaptive social behavior thus results from the dynamic interplay of socioeffective and socio cognitive processes. Research by Berg Merza provides proof of concept that social context may alter perception, enabling more adaptive behavior. It's also supported by studies that reveal how instinctive behavior circuits in the hypothalamus dynamically encode spatial and sensory cues to drive adaptive social behaviors. Contextual modulation and social scripts are integral to adaptive behavior and action perception, which allows us to show how social interactions are crafted through these different scale. These deep temporal models that integrate various kinds of priors at different scales. So here, contextual modulation acts as a linchpin in the integration of social scripts into the generative models we can now appreciate how generative model and social scripts coalesce to form a comprehensive framework for understanding interactions. So active inference is a nuanced lens to explore how power dynamics shape shared generative models, thereby influencing the cultural affordances available to individuals. For instance, epistemic communities serves as platforms where power dynamics can significantly shape shared beliefs and actions. Through the construction of certain niche, we can see that existing power structure lead to the creation of environments that perpetuate these structures through certain kinds of scripts, certain kinds of norms, and through the valence that we associate to our sense of self relative to these scripts. Cultural affordances here are dynamically influenced by power tinged asymmetries. These asymmetries can affect how individuals perceive and enact social scripts, which further shapes the cultural affordances that they encounter. We see how deeply intertwined cultural affordances are with power dynamics. It allows us to understand societal structures in more depth. So when we expand the scope of active inference in cultural affordance negotiation, we can dive into a case study, that of gender norms and gender fluidity to broader cultural contexts. This exemplifies the influence of power dynamics. So just as individuals navigate and adapt to cultural affordances that are deeply shaped by societal power structures, they have to navigate gender related affordances that they also engage with. So through this, we can also understand the concept of gender fluidity. Here, generative model play a specific role, which is to adapt to changing societal norms and gender related affordances. These are cultural affordances. Dynamic for Maniche construction allows individuals to create and adapt environments that reflect their evolving gender identity and expression. The concept of affordance negotiation is particularly relevant here. It refers to the process by which individuals adapt their behavior to maximize opportunities and minimize challenges in their environment. In the context of gender fluidity, it involves navigating complex social scripts and norms that shape gender expression. Research suggests that these gender differences in negotiation are contextually bound and can be subject to change. By understanding how individuals navigate these social scripts and norms, we can, for instance, address the limitations or constraints that affect expressions of their gender identity. So here, gender through the lens of active inference as a case study and affordance negotiation gives us a comprehensive view of the social psychology and how it can apply to gender studies, for instance. But this is true for many other kinds of cultural phenomena. So we build now on the understanding of how active inference and power dynamics shape cultural affordances. We can see how this allows us to understand potentially puzzling actions which are shaped by social scripts and the dynamics within the epistemic communities they inhabit so we have defined how scripts allow us to interpret different kinds of behaviors and how people navigate their desired outcomes. Given these social scripts, so what happens when we are faced with puzzling actions? People rely on their generative models to update their beliefs and expectations. So do we interpret these behaviors based on inherent traits or situational reasons? Here, traits and motives interact with in predicting behaviors, channeling the behavioral expression through one's life throughout one's life. On the other hand, contextual cues significantly influence the interpretation of ambiguous behaviors. Social scripts Guide Our expectation in social situations can either be adapted when confronted with unexpected behavior or allow us to shift from script to script to have a better prior over what we might expect next. So, for instance, this challenge is particularly pronounced for those who diverge from established social norms and script. Their interpretations are influenced by the dynamics of information spread within their epistemic communities. Understanding ambiguous social behaviors is not just about individual cognition, but also about the social and cultural contexts that shape our interpretations. So now we're going to dive from this point into the specific contextual factors that further nuance our understanding. Our former discussion emphasized the influence of power and social norms, and now we're going to turn our attention to the impact, say, of social anxiety, behavioral flexibility, and goal oriented perception in shaping our interpretations of social behavior. Understanding social behaviors often requires an approach that goes beyond trade based interpretations. Contextual factors like social anxiety can significantly influence how we interpret an ambiguous social cue, for instance, determining the most likely prior, using the most likely prior, rather than being open to other kinds of interpretations. Behavioral flexibility is another crucial aspect to consider. It allows for adaptability and nuanced understanding of social behaviors across different social contexts, such that a same script can be interpreted different ways through different kinds of behaviors. The concept of goals here plays an important role in social perception. They can serve to provide a broad implication or for where we understand an individual to try to be headed, such that while their lower level script may be different from the one we have, their higher level script is still interpretable. So now we're going to try to see what can be the outcomes in real life of all these processes. Together, we're going to focus on cognitive mechanisms that underpin social phenomena like confirmation bias and echo chambers. Building on the concept of active inference, we explore how individuals not only interpret ambiguous social cues, but also actively seek information that confirm their preexisting belief, thereby shaping epistemic communities. Confirmation bias is a cognitive tendency that affects information spread and decision making. It is driven by agents seeking information that confirms their preexisting belief while avoiding challenging information. This is an effective way of using action to minimize free energy rather than updating beliefs in a costly manner. Echo chambers amplify this bias by creating self reinforcing loops where individuals selectively expose themselves to aligned information. So research indicates that network structures contribute to the persistence of echo chambers, thereby affecting policy making and public discourse. The minimization of free energy transfers to the network, thereby shaping the environment. We can see here how there is a loop where the environment both shapes the individual, who will in turn continuously shape the environment. Interestingly, some studies have identified a reverse confirmation bias whereby some people actually do seek out information in an explorative manner, which again aligns with this idea of active inference. Epistemic value and here we may try to ponder why certain people are more likely to break out of their echo chambers rather than stay in them. This may align, potentially with deep temporal models, whereas we can see value at a later point in time and perhaps focus more on this expected value rather than on the direct value of the confirmation bias. To mitigate such biases, we can use strategies such as fostering epistemic change through diverging information and encouraging reflection to break apart echo chambers. Now we've explored a little bit confirmation bias and echo chamber. We can see how this extends to human communication. This allows us to explore the principles of active inference, which shape individual cognitive tendencies, and the influence of the broader dynamics of communication and collective intelligence on the environment. So we can link communicative behavior to biological imperative of minimizing free energy, which emphasizes the action oriented nature of communication. The framework allows for adaptive behavior even when the models deviate from vertical representations of the environment. So how do we justify that people lie or that people say things which don't seem to align properly with what everybody else seems to believe about the environment? Effectively, this is an action. You're trying to push a belief onto the environment such that there is a potential for the environments to be shaped in a way that evidences your beliefs. So we can think of cognitive control here, whereby active inference has an effective goal, maintenance in working memory. It provides top down guidance for overt behavior, moving beyond stereotyped responses. Our understanding of communication is enriched by introducing neurobiologically plausible computational hypotheses. The ecological approach to active inference is a framework that understands the complexities of human communication across different scales. It explores how individuals contribute to the collective intelligence of a group or society by fostering a collaborative approach that leverages diverse skills and knowledge. This is one of the reasons echo chambers are maintained they're efficient in the transmission of information and promote collaboration among agents who overtly share a model. So now we're going to look at a more detailed understanding of ecological dimensions of this discourse. Context, as we saw earlier, plays a crucial role in the activation of predictive inferences, which offers further support for ecological approaches. Active inference models contain terms that encode both the object of desire and the strength of desire at the psychological level. So the context of enactive inference suggests that generative and recognition models are best cast as realizing inference and control under the free energy principle. So in this way, communication through the active inference lens gives us an action oriented nature of cooperative communication, where together we mutually craft our models such that we can achieve a common goal. So now and lastly, let's dive into a very short overview of how this may translate to language processing. So remember, we discussed deep temporal models here. They enable us to explore the sequential dynamics of language processing. The models are hierarchical, where inference at higher levels informs the selection of words at lower levels. This hierarchical structure allows for the accumulation of evidence over nested timescales. One key aspect is the emergence of behavioral and neurophysiological correlates in those sequential dynamics. Like the Theta gamma couplings that we discussed earlier. It's a phenomenon that again was observed and allows us to measure belief updating under variational message passing. Thus, generative models aren't just predictive but also explanatory. They can help us understand neural mechanisms like language comprehension. So in cognitive control, linguistic can be scoused as individual agents contributing to this intelligence of the group. And the research shows that generative models are central to the perception and interpretation of the linguistic signals. We have a structural understanding of sequences of words and their context sensitivity. This enables the agent to resolve uncertainty about the underlying conceptual, semantic or lexical causes of sensory input. It can incorporate beliefs about narratives, the type of question, the scenic state of the world, a semiotic factor indicating the topic of discussion. These factors generate expectations for the lower level, such as syntax and semantics. Models enable inference through this deep temp structure about the narrative, such as those seen in reading. Here, the neural processes can be understood in terms of simulating the epistemic origin seen in reading and other language related activities. So, to conclude, we have seen comprehensive understanding of active inference, inactivism and their interplay in shaping social cognition behavior. We have explored various philosophical perspectives such as the inactive affordance based perspective, the helmholtzium Beijing model, and highlighted their contribution to understanding our social interactions. We've explored deep temporal models as a potent computational tool for modeling complex time dependent patterns in social cognition, such as in language. As well, we've discussed the role of mirror neurons, emphasizing their potential centrality in continuously updating internal models of the environment and their significance in social cognition. We discussed potential future directions for research if you are interested in these topics. So, here, the interplay between active inference and activism. Computational models, like deep temporal models, give us a multidimensional view of social cognition and agency. It broadens the scope of research, but also brings us closer to our goal of understanding the complex cognitive and social phenomena. So, for next class, I offer you an opportunity. You should pick a text from this session from the references that will be made available, or one that you find yourself in the literature, read it, and try to explain how it ties to the concepts that we explored today. Ideally, you can present it to the group, take five minutes, explain what the text says and how it connects to the contents of the course. If you have any questions, we can potentially take them now.
2827770	2843340	B	0.9452150000000001	Thank you, Mao. That was epic. All right, well, people can write questions in the chat. I'll just read one. All right. Where does identity and ideology fit.
2846530	2956670	A	0.9457176518218617	In my presentation or in the framework that I'm presenting? So I'm going to assume it's in the framework. Identity fits as a social self, right? Identity is literally how you craft yourselfhood relative to the narratives that you're given. So it's precisely the social self that we discussed. Ideology corresponds to a looser, let's say, weak script that allows you to shift the valence of certain values across certain norms. So, let's assume that you understand values as a higher or lower probability for a type of level behavior. So, I value kindness. There'll be a high prior over kindness, and therefore, the paths, the policies that lead to what I ascribe to as kindness will therefore become more likely to be adopted and will become a norm if more of us value the same thing. The key issue here is, how do I associate the semantics of kindness to the actual pragmatic representations and actions that correspond to what I believe to be kindness? And this is where the co construction happens, right? We communicate together, and I'm going to say, this is kindness. I'm acting on the world to determine. Now, this is what we will believe to be kindness. And I value kindness very highly because that's my ideology, and therefore, this is what we should be doing. All these things connect together through the interaction of the environment. The symbols encrusted in the environment that I share and co construct through communication.
2959030	2967060	B	0.9503243750000001	Wow. And how does that have an impact on affordances? Was the follow up question there.
2969190	3122370	A	0.951408812785389	So if we go back to the part of the course about affordances, we saw that certain things are made more likely given the niche that you are in. If you understand the onto cues, you see that there's going to be some signals that pull you as attractors in a specific direction. So let's assume that we have an ideology, again, that promotes kindness in the environment. It is highly likely that potential pathways towards kindness will be made more available. So, for instance, let's assume that we believe that giving money to people is kindness. There's going to be more initiatives for you to give money. So, for instance, I don't know if you guys have taken the plane recently, but Air Canada has started program where if you have loose change in your pockets, you can put it in the seat in front of you in a little pocket thing and you can put the money there and they're going to donate it. Now, I'm not saying that's kindness. We can argue about the politics of it all and the tax, et cetera, but this is an affordance that wasn't there before, and now it's in my environment now. I don't have to take it, but it's now more readily available for me to actually act on it. And you can see this across every level. It's just that most affordances are invisible to us as affordances. We just react to them. We just exist within them, but we don't consider they wouldn't be there, such as a bathroom in a house. This is one of the things that allows us to think more critically about what it means to be homeless. Like to you, it seems obvious when you need to go to the bathroom, you'll go to the bathroom, right? There's a bathroom available to you, but there isn't one for people who live outside because they don't have a home. And yet we've criminalized the act of relieving yourself outside. So we've basically said, well, don't pee. Or if you pee, well, you're now a criminal. So being homeless by virtue of not having access to the same affordances means it's effectively criminal to be homeless. So these are the kinds of ways that ideology shapes our affordances and effectively pulls us in a state of attraction and effectively in different states of power as well. Because we collectively have decided that the only people who get to have the right to certain affordances are the people who have enough money to live in a house. Et cetera, et cetera, et cetera.
3125490	3145890	B	0.9463518032786882	Thanks. There's a lot there. All right, I'll read a comment. This is something you could address right now, or save it for the discussion or however you want. Michael wrote, would you be open to attempting to map a social or personal narrative rather than another element in the literature, E. G. Translating the hero's journey or twelve step recovery?
3146730	3149990	A	0.93518875	I'm not sure I understand. Attempting to map.
3152090	3162730	B	0.815327857142857	Connect the active ontology informalisms to a more broadly understood narrative or specific script.
