docLabel	start	end	count	rank	text
CCL2023-07	3512272	3513338	1	0.07	active inference agents
CCL2023-07	4779288	4780386	2	0.07	active inference agents
CCL2023-07	3512032	3513338	1	0.07	other active inference agents
CCL2023-07	13132	14226	1	0.07	active inference
CCL2023-07	16524	17186	2	0.07	active inference
CCL2023-07	114010	115430	3	0.07	active inference
CCL2023-07	486426	487664	4	0.07	active inference
CCL2023-07	859022	860212	5	0.07	active inference
CCL2023-07	1578352	1579446	6	0.07	active inference
CCL2023-07	1589412	1590154	7	0.07	active inference
CCL2023-07	1667276	1668114	8	0.07	active inference
CCL2023-07	1709228	1709986	9	0.07	active inference
CCL2023-07	1953138	1954024	10	0.07	active inference
CCL2023-07	2200902	2201724	11	0.07	active inference
CCL2023-07	2537306	2538368	12	0.07	active inference
CCL2023-07	3240326	3241520	13	0.07	active inference
CCL2023-07	3245702	3246492	14	0.07	active inference
CCL2023-07	3249738	3250832	15	0.07	active inference
CCL2023-07	3319022	3320440	16	0.07	active inference
CCL2023-07	3354748	3355486	17	0.07	active inference
CCL2023-07	3464208	3465302	18	0.07	active inference
CCL2023-07	3507888	3508614	19	0.07	active inference
CCL2023-07	3512272	3512934	20	0.07	active inference
CCL2023-07	3524324	3524906	21	0.07	active inference
CCL2023-07	3543788	3544514	22	0.07	active inference
CCL2023-07	3630228	3630974	23	0.07	active inference
CCL2023-07	3853290	3854274	24	0.07	active inference
CCL2023-07	3858112	3858998	25	0.07	active inference
CCL2023-07	3861296	3861974	26	0.07	active inference
CCL2023-07	3869588	3870234	27	0.07	active inference
CCL2023-07	3891518	3892770	28	0.07	active inference
CCL2023-07	4010936	4011694	29	0.07	active inference
CCL2023-07	4123532	4124306	30	0.07	active inference
CCL2023-07	4337072	4338170	31	0.07	active inference
CCL2023-07	4339988	4340714	32	0.07	active inference
CCL2023-07	4343092	4343978	33	0.07	active inference
CCL2023-07	4424524	4425314	34	0.07	active inference
CCL2023-07	4458712	4459646	35	0.07	active inference
CCL2023-07	4497442	4498264	36	0.07	active inference
CCL2023-07	4500242	4500904	37	0.07	active inference
CCL2023-07	4582216	4583378	38	0.07	active inference
CCL2023-07	4622550	4623454	39	0.07	active inference
CCL2023-07	4732952	4733634	40	0.07	active inference
CCL2023-07	4746416	4747610	41	0.07	active inference
CCL2023-07	4779288	4779966	42	0.07	active inference
CCL2023-07	4785930	4786706	43	0.07	active inference
CCL2023-07	4848352	4849046	44	0.07	active inference
CCL2023-07	4895088	4895734	45	0.07	active inference
CCL2023-07	4953932	4954546	46	0.07	active inference
CCL2023-07	4959548	4960166	47	0.07	active inference
CCL2023-07	5266128	5266646	48	0.07	active inference
CCL2023-07	5270864	5271386	49	0.07	active inference
CCL2023-07	5364550	5365378	50	0.07	active inference
CCL2023-07	5451910	5452814	51	0.07	active inference
CCL2023-07	5456088	5456734	52	0.07	active inference
CCL2023-07	5493604	5494682	53	0.07	active inference
CCL2023-07	5579248	5579926	54	0.07	active inference
CCL2023-07	5611276	5611954	55	0.07	active inference
CCL2023-07	5622476	5623362	56	0.07	active inference
CCL2023-07	5638628	5639226	57	0.07	active inference
CCL2023-07	5640148	5640746	58	0.07	active inference
CCL2023-07	5689332	5690026	59	0.07	active inference
CCL2023-07	5853752	5854366	60	0.07	active inference
CCL2023-07	5855768	5856526	61	0.07	active inference
CCL2023-07	6044852	6045818	62	0.07	active inference
CCL2023-07	6082208	6082854	63	0.07	active inference
CCL2023-07	6170020	6171052	64	0.07	active inference
CCL2023-07	6261362	6262540	65	0.07	active inference
CCL2023-07	6044852	6046506	1	0.07	active inference accounts
CCL2023-07	4959548	4960566	1	0.06	active inference offering
CCL2023-07	3240326	3243504	1	0.06	active inference style stuff
CCL2023-07	4962422	4962970	1	0.05	different things
CCL2023-07	4391296	4392134	1	0.05	active influence
CCL2023-07	3238900	3239996	1	0.05	generative models
CCL2023-07	3842984	3844174	2	0.05	generative models
CCL2023-07	5395668	5396910	3	0.05	generative models
CCL2023-07	5418364	5419106	4	0.05	generative models
CCL2023-07	5423238	5424570	5	0.05	generative models
CCL2023-07	5609448	5610674	6	0.05	generative models
CCL2023-07	6195630	6197000	7	0.05	generative models
CCL2023-07	5160128	5161334	1	0.05	cognitive models
CCL2023-07	3400492	3401830	1	0.05	active imprints
CCL2023-07	5325828	5326574	1	0.05	specific things
CCL2023-07	6082208	6084074	1	0.05	active inference generative model
CCL2023-07	4123938	4125110	1	0.05	inference ontology
CCL2023-07	5456398	5457358	2	0.05	inference ontology
CCL2023-07	5856094	5857358	3	0.05	inference ontology
CCL2023-07	751034	752580	1	0.05	specific principles
CCL2023-07	1349526	1350684	2	0.05	specific principles
