docLabel	sp	myTime	myTimeDisplay	myTimeSRT
cFPIP-03W	A	2490	00:02	00:00:02,488
cFPIP-03W	A	78070	01:18	00:01:18,305
cFPIP-03W	A	213570	03:33	00:03:33,965
cFPIP-03W	A	279430	04:39	00:04:39,563
cFPIP-03W	A	421150	07:01	00:07:01,801
cFPIP-03W	A	532680	08:52	00:08:52,856
cFPIP-03W	A	915790	15:15	00:15:15,267
cFPIP-03W	A	1081866	18:01	00:18:01,748
cFPIP-03W	A	1220820	20:20	00:20:20,101
cFPIP-03W	A	1715620	28:35	00:28:35,548
cFPIP-03W	A	1811460	30:11	00:30:11,632
cFPIP-03W	A	2216740	36:56	00:36:56,001
cFPIP-03W	A	2425580	40:25	00:40:25,186
cFPIP-03W	A	2442090	40:42	00:40:42,203
cFPIP-03W	A	3066200	51:06	00:51:06,761
cFPIP-03W	A	4141130	1:09:01	01:09:01,881
cFPIP-03W	B	5970	00:05	00:00:05,965
cFPIP-03W	B	194246	03:14	00:03:14,772
cFPIP-03W	B	244512	04:04	00:04:04,215
cFPIP-03W	B	472222	07:52	00:07:52,311
cFPIP-03W	B	520892	08:40	00:08:40,738
cFPIP-03W	B	763710	12:43	00:12:43,926
cFPIP-03W	B	1142940	19:02	00:19:02,029
cFPIP-03W	B	1599416	26:39	00:26:39,444
cFPIP-03W	B	1796880	29:56	00:29:56,623
cFPIP-03W	B	2068020	34:28	00:34:28,864
cFPIP-03W	B	2257700	37:37	00:37:37,036
cFPIP-03W	B	2312920	38:32	00:38:32,085
cFPIP-03W	B	2968602	49:28	00:49:28,675
cFPIP-03W	B	3638400	1:00:38	01:00:38,936
cFPIP-03W	B	3913720	1:05:13	01:05:13,847
cFPIP-03W	B	4060670	1:07:40	01:07:40,196
cFPIP-03W	B	4185752	1:09:45	01:09:45,327
cFPIP-03W	C	323736	05:23	00:05:23,947
cFPIP-03W	C	486200	08:06	00:08:06,391
cFPIP-03W	C	927490	15:27	00:15:27,384
cFPIP-03W	C	2168980	36:08	00:36:08,953
cFPIP-03W	C	2284620	38:04	00:38:04,057
cFPIP-03W	C	2429630	40:29	00:40:29,190
cFPIP-03W	C	3490674	58:10	00:58:10,143
cFPIP-03W	C	3903700	1:05:03	01:05:03,746
cFPIP-03W	C	4019652	1:06:59	01:06:59,845
