start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
3750	4300	1	A	0.75794	1	1	1	1
6350	34622	2	B	0.99997	65	64	2	65
34766	46070	3	B	0.60406	93	28	66	93
49130	63882	4	A	0.99767	124	31	94	124
63936	76880	5	A	0.94	149	25	125	149
79190	107754	6	A	0.99379	225	76	150	225
107792	141162	7	A	1.0	308	83	226	308
141326	184914	8	A	0.91562	408	100	309	408
185112	215494	9	A	0.99999	486	78	409	486
215542	223920	10	A	0.99	514	28	487	514
227490	264810	11	A	0.99991	618	104	515	618
265150	297426	12	A	0.99912	712	94	619	712
297458	321374	13	A	0.43266	775	63	713	775
321412	349186	14	A	1.0	838	63	776	838
349218	371214	15	A	0.9924	902	64	839	902
371412	407690	16	A	0.95696	1019	117	903	1019
407760	446854	17	A	0.99871	1117	98	1020	1117
446972	465702	18	A	0.9901	1171	54	1118	1171
465846	500230	19	A	1.0	1272	101	1172	1272
500300	553960	20	A	0.96	1404	132	1273	1404
554410	597814	21	A	0.99773	1517	113	1405	1517
597932	624750	22	A	1.0	1590	73	1518	1590
625970	657398	23	A	0.67269	1659	69	1591	1659
657494	689970	24	A	0.54	1741	82	1660	1741
690550	709078	25	A	1.0	1792	51	1742	1792
709174	745798	26	A	0.92	1895	103	1793	1895
745964	760780	27	A	1.0	1946	51	1896	1946
761150	798710	28	A	1.0	2039	93	1947	2039
799210	815420	29	A	1.0	2092	53	2040	2092
815790	865610	30	A	0.9982	2230	138	2093	2230
866350	895622	31	A	0.99956	2319	89	2231	2319
895676	922286	32	A	0.64877	2387	68	2320	2387
922388	951634	33	A	0.99958	2465	78	2388	2465
951682	987758	34	A	0.99998	2589	124	2466	2589
987854	1016394	35	A	0.98529	2674	85	2590	2674
1016432	1034370	36	A	1.0	2733	59	2675	2733
1034710	1080670	37	A	0.86	2856	123	2734	2856
1080830	1112950	38	A	1.0	2947	91	2857	2947
1113030	1135410	39	A	0.99561	3015	68	2948	3015
1136790	1172720	40	A	0.99953	3094	79	3016	3094
1173810	1207702	41	A	0.57594	3176	82	3095	3176
1207846	1232100	42	A	0.99232	3246	70	3177	3246
1232470	1248850	43	A	1.0	3295	49	3247	3295
1248930	1273662	44	A	0.99001	3365	70	3296	3365
1273716	1311082	45	A	1.0	3455	90	3366	3455
1311216	1362758	46	A	0.99987	3590	135	3456	3590
1362854	1389294	47	A	0.99874	3660	70	3591	3660
1389422	1411510	48	A	0.99007	3722	62	3661	3722
1411590	1425360	49	A	0.99988	3760	38	3723	3760
1425730	1472058	50	A	0.99934	3876	116	3761	3876
1472154	1507210	51	A	0.9509	3966	90	3877	3966
1508590	1520102	52	A	0.99948	4002	36	3967	4002
1520166	1532402	53	A	0.74	4034	32	4003	4034
1532456	1559130	54	A	0.99111	4113	79	4035	4113
1559550	1589054	55	A	0.99922	4194	81	4114	4194
1589102	1615530	56	A	0.99995	4273	79	4195	4273
1616030	1633986	57	A	0.99996	4327	54	4274	4327
1634088	1644402	58	A	0.99963	4353	26	4328	4353
1644466	1675520	59	A	0.8918	4445	92	4354	4445
1676210	1707660	60	A	0.99999	4537	92	4446	4537
1708190	1741726	61	A	0.99719	4638	101	4538	4638
1741918	1768098	62	A	1.0	4720	82	4639	4720
1768214	1803926	63	A	0.97668	4835	115	4721	4835
1804108	1828890	64	A	0.99964	4913	78	4836	4913
1828970	1875278	65	A	0.58205	5042	129	4914	5042
1875364	1876990	66	A	0.99994	5049	7	5043	5049
1880260	1893970	67	B	0.99897	5075	26	5050	5075
1895540	1929788	68	C	0.99911	5146	71	5076	5146
1929874	1974844	69	C	1.0	5249	103	5147	5249
1974882	2014036	70	C	1.0	5335	86	5250	5335
2014228	2059444	71	C	0.99958	5423	88	5336	5423
2059572	2104500	72	C	1.0	5520	97	5424	5520
2106540	2147110	73	C	0.98	5608	88	5521	5608
2148200	2211912	74	C	0.99998	5732	124	5609	5732
2212046	2240768	75	C	0.96467	5790	58	5733	5790
2240854	2282688	76	C	0.98845	5889	99	5791	5889
2282854	2342356	77	C	0.80264	6002	113	5890	6002
2342378	2373752	78	C	0.57783	6060	58	6003	6060
2373896	2407850	79	C	0.99987	6131	71	6061	6131
2409260	2436192	80	C	0.99915	6201	70	6132	6201
2436246	2465624	81	C	0.97351	6275	74	6202	6275
2465822	2470830	82	C	0.99996	6287	12	6276	6287
2483390	2500030	83	D	0.99635	6323	36	6288	6323
2500100	2559470	84	D	0.99709	6433	110	6324	6433
2559630	2604042	85	D	0.99	6507	74	6434	6507
2604186	2638394	86	D	0.99924	6567	60	6508	6567
2638512	2665780	87	D	0.99984	6615	48	6568	6615
2669530	2682970	88	B	0.96417	6654	39	6616	6654
2686430	2735898	89	A	0.99994	6808	154	6655	6808
2736064	2755738	90	A	0.99961	6866	58	6809	6866
2755834	2773186	91	A	0.98388	6921	55	6867	6921
2773298	2800682	92	A	0.99313	6988	67	6922	6988
2800746	2818834	93	A	0.99838	7035	47	6989	7035
2818962	2844074	94	A	0.51561	7111	76	7036	7111
2844202	2869362	95	A	1.0	7182	71	7112	7182
2869426	2888826	96	A	0.99959	7243	61	7183	7243
2888928	2922962	97	A	1.0	7332	89	7244	7332
2923026	2935434	98	A	0.99997	7372	40	7333	7372
2935552	2970342	99	A	1.0	7490	118	7373	7490
2970396	2997002	100	A	1.0	7565	75	7491	7565
2997066	3008050	101	A	0.99967	7598	33	7566	7598
3011030	3034214	102	A	0.99	7653	55	7599	7653
3034342	3039260	103	A	0.99778	7669	16	7654	7669
3041870	3064558	104	B	0.99985	7732	63	7670	7732
3064734	3126280	105	D	0.52	7836	104	7733	7836
3127930	3143514	106	A	0.99	7883	47	7837	7883
