docLabel	start	end	count	rank	text
gs058-1	2403752	2404402	1	0.05	other people
gs058-1	2352456	4217630	3	0.05	young people
gs058-1	288782	289800	1	0.05	Dr. Edelman
gs058-1	53748	2863824	3	0.05	Professor Edelman
gs058-1	742738	801144	2	0.05	Jerry Edelman
gs058-1	25612	146342	2	0.05	Gerald Edelman
gs058-1	3825908	3826616	1	0.04	many people
gs058-1	2025248	2026096	1	0.04	other cells
gs058-1	2981482	2982390	1	0.04	other things
gs058-1	1732286	1732712	1	0.04	most people
gs058-1	367786	369204	1	0.04	cell recognition work
gs058-1	153316	154638	1	0.04	super interesting people
gs058-1	351878	352848	1	0.04	elegant way
gs058-1	2684836	2685786	1	0.04	neuronal cells
gs058-1	4074092	4075506	1	0.04	other fundamental ideas
