"Speaker Name","Start Time","End Time","Transcript"
"Unknown","00;00;08;04","00;00;44;12","Hello. Welcome to the Active Inference Live Stream. This is Active Inference Live stream number 19.0 on April 1st 2021. Welcome to the Active Inference Lab. We are a participatory online lab that is communicating, learning and practicing applied active inference. You can find us at our links here. This is a recorded and archived live stream, so please provide us with feedback so that we can improve on our work all backgrounds and perspectives are welcome and we'll be following good video etiquette for live streams as outlined in this checklist."
"Unknown","00;00;46;22","00;01;22;03","This is the schedule that we've had so far for 2021 and the upcoming two discussions on April 6th and the 13th will be number 19.1 and point two on this paper that we're going to be discussing today. So right now in 19.0, the goal is to set the context and give a little background for 19.1 and 19.2. And people who are just learning about the paper, which is deeply felt, affect the emergence of violence in deep active inference by ASP Smith, PA, Alan Freston and Ramstad in 2021."
"Unknown","00;01;22;25","00;01;47;19","And this video is definitely just an introduction to the ideas. It's meant to be a two way on off ramp from active inference. So exposing the active inference community to ideas outside of active inference and people who might be interested in some of the bigger ideas connecting them to the active inference implementations and we have a bunch of sessions planned for today in 19."
"Unknown","00;01;47;24","00;02;18;13","So thanks a lot to Stephen and blue for helping with the slides and for coming on today. So maybe we can just introduce ourselves briefly and then we can go on to the rest of the slides we have prepared. So I'm Daniel, I'm a postdoc in California and I'll pass to Stephen. Hello, I'm Stephen. I'm in Toronto. I'm doing a practice based around social topographies and community based development and I'll pass it over to Booth."
"Unknown","00;02;20;05","00;02;53;28","Hi, I'm Blue Knight. I am an independent research consultant based out of New Mexico. Cool. Well, I think this was a fun paper for us to read and you can just go right into what were some of the big points of the paper and the background ideas before we go through the figure and the model, which will take up a lot of the time the paper is called Deeply Felt Affect the Emergence of Valence and Active Inference, and it was published in the journal Neural Computation in 2021."
"Unknown","00;02;54;23","00;03;18;01","And so I'll read the first one and then either of you can give a thought on that in this letter meeting paper we demonstrate that hierarchical, deep Bayesian networks solved using active inference afford a principled formulation of emotional valence, building on both the work mentioned above, as well as prior work on other emotional phenomena within the active inference framework."
"Unknown","00;03;21;08","00;03;56;01","Yeah, so that's just giving us that insight into this idea of valence. So we'll be speaking about that more. But that's, that's, that's an important part of this paper. I'll say the next one. Our hypothesis is that emotional valence can be formalized as a status self that is inferred on the basis of fluctuations in the estimated confidence or precision an agent has in her generative model of the world that informs her decisions cool."
"Unknown","00;03;56;10","00;04;13;01","So we're going to be connecting some of the decision making aspects of agents and inference aspects of agents to emotional valence. And they're going to demonstrate it. So those are the goals in the claims that they set out in the paper. Any thoughts, blue, or do you want to go to big questions and maybe introduce a big question?"
"Unknown","00;04;13;27","00;04;49;20","I'll introduce to the questions all right. Go for it. So the big questions of this paper were how can we make more active inference models or agents that are expressive, powerful, realistic and interpretable? What are the implications of this? Active inference formalizes our survival and procreation in terms of a single imperative to minimize the divergence between observed outcomes and phenotypically expected, i.e. preferred outcomes under a generative model that is fine tuned over phylogeny and oncogene."
"Unknown","00;04;51;06","00;05;18;18","Thoughts on this. The first one this to me is about just developing the active inference framework to capture more of the patterns that we see in nature or in designed systems. So how do we make systems that plan for multiple time steps? That's deep active inference. How do we make agents that interface with the environment? So that's sort of a big move overall."
"Unknown","00;05;18;27","00;05;48;08","And then this is going to be zooming in on the valence and some of those affective aspects that's on the first point. And then the second, this is a quote from the paper, and it says something that active inference does. It formalizes our survival and procreation, not in terms of evolutionary fitness. Again, you can agree or disagree with the authors or think it's consistent with fitness or not, but claiming that the imperative is to minimize a specific kind of a divergence."
"Unknown","00;05;48;21","00;06;17;20","And so what are the implications of that if you think, OK, well, if that's the imperative, then where's a situation where we've been acting like there's a different imperative? And is that consistent or inconsistent with this? And then the last quote and then someone could give a thought is a quote where they say, We conclude with a discussion of the implications of this work, such as the relationship between implicit metacognition and affect connections to reinforcement learning and future empirical directions."
"Unknown","00;06;17;28","00;06;47;01","So what does active inference or this model say about cognition or metacognition and reinforcement learning yeah. If I could add something, I think it's really opens up a lot of the philosophical questions and starts to give a model in interpret sation, so how the body comes in. So the emotion starts to tie in to a way that the body comes in and an active inference starts to become more tillable."
"Unknown","00;06;47;27","00;07;31;19","And it starts to also show how affects is somehow connected to all cognition and all processes. So it's not some weird artifact of shame which might be more of a Freudian trap, but it's actually an integration of the cybernetic process all the way through in some way. Very nice. It's also captured a little bit on this slide, which is recycled from some 20, 20 vintage active, which is asking about how active inference is going to be saying something about the relationship between agents in the world."
"Unknown","00;07;32;05","00;08;01;06","And we're imagining in agents not a one step tic tac toe player, but we're thinking about an agent that's imagining through deep time and they have imagination or the capacity to simulate and then they have affect and they can also predict their affect and have precision and so on. So here's sort of the drama in masks for the positive and negative affect and then there's sort of different world trajectories that are being estimated through time that lead to positive or negative sentiment."
"Unknown","00;08;02;00","00;08;34;17","And that gets around some of the sort of basic considerations. Like in the paper, they say, well, wouldn't the agent as they meet their demise, wouldn't they have precision over their sensory states and the answer is like yes, but it's not part of a long term trajectory that involves desired preferences. So by appealing to model nesting, some of the sort of single layer, not paradoxes, but just scenarios that models might fall into, like always going with what was known before never going what was known before."
"Unknown","00;08;34;27","00;09;02;05","These can be resolved just with empirical modeling interesting. One reason why it matters and we'll come back to this when we quote the authors later, is that these kinds of richer models lead more closely to experimentally, tractable and unique predictions of active inference. Because if the only thing the model predicts is the reaction time that might fit the distribution better than some other model."
"Unknown","00;09;02;17","00;09;33;25","Now, if it can also fit the reaction time and the EEG and also the self-report, it's starting to become a very rich, multimodal and multi measurements way of talking about behavior, which is what a good instrument should do. So this is helping us come closer through these contact points with other big important areas of research like reinforcement learning and autonomous computer agents and just inference agents of all kinds, especially ones with action."
"Unknown","00;09;34;08","00;10;05;03","But then maybe some of these other areas that we'll bring in to the discussion because if we can have a scale fee framework that does apply to cognitive agents, and then we frame it in terms of the input and output and the actions and the policy the generative model, all of these terms, maybe some of these other systems like online teams might be able to also be said to have at least computationally affective charge or precision or different things like that."
"Unknown","00;10;05;03","00;10;33;17","So we kind of talked a little bit about that in our 20, 20 paper for online teams. Any thoughts on sort of the bigger topics that this paper is up against before we jump into the abstract and the figures and everything if I could just say one thing I think that's very interesting is that it opens up the the realities of trying to bring in the mind, the body and the environment."
"Unknown","00;10;33;27","00;10;58;22","And there's been this question, Well, how do you do that and why didn't we do that before was partly because we wanted to be able to measure things and lock things down. And and the question of how do you bring this whole dynamic in? How could you possibly get a handle on all of that? Well, emotion seems to actually make a lot of sense in terms of or let's say valence should say valence more broadly."
"Unknown","00;11;00;02","00;11;27;01","It makes sense in terms of how it could be calibrating the more conscious levels of that process. So I think that has implications for scaling psychology and bringing consciousness back into psychology. And helping to really move into a ecological and ecosystem approach to psychology."
