"Start Time","End Time","Transcript"
"00;00;03;18","00;00;04;00","Hello"
"00;00;04;00","00;00;04;07","and"
"00;00;04;07","00;00;04;20","welcome"
"00;00;04;20","00;00;05;10","everyone"
"00;00;05;10","00;00;05;24","to"
"00;00;05;24","00;00;06;08","Active"
"00;00;06;08","00;00;06;26","Lab."
"00;00;06;26","00;00;07;22","This is"
"00;00;07;22","00;00;08;06","Active"
"00;00;08;06","00;00;08;19","Lab"
"00;00;08;19","00;00;08;29","live"
"00;00;08;29","00;00;09;16","stream."
"00;00;09;16","00;00;10;01","Number"
"00;00;10;01","00;00;11;17","20.2."
"00;00;11;17","00;00;12;04","This is our"
"00;00;12;04","00;00;12;18","second"
"00;00;12;18","00;00;12;27","group"
"00;00;12;27","00;00;13;20","discussion"
"00;00;13;20","00;00;14;26","on the paper,"
"00;00;14;26","00;00;15;12","The Emperor's"
"00;00;15;12","00;00;15;21","New"
"00;00;15;21","00;00;16;02","Markoff"
"00;00;16;02","00;00;16;18","Blankets"
"00;00;16;18","00;00;16;27","and"
"00;00;16;27","00;00;17;07","today's"
"00;00;17;07","00;00;19;08","April 27th 2021"
"00;00;20;17","00;00;21;01","welcome"
"00;00;21;01","00;00;21;13","to"
"00;00;21;13","00;00;21;25","Active"
"00;00;21;25","00;00;22;08","Flav,"
"00;00;22;08","00;00;23;02","everyone."
"00;00;23;02","00;00;23;13","We are"
"00;00;23;13","00;00;23;15","a"
"00;00;23;15","00;00;24;21","participatory"
"00;00;24;21","00;00;25;08","online"
"00;00;25;08","00;00;25;22","lab"
"00;00;25;22","00;00;26;03","that is"
"00;00;26;03","00;00;26;27","communicating,"
"00;00;26;27","00;00;27;18","learning"
"00;00;27;18","00;00;27;23","and"
"00;00;27;23","00;00;28;11","practicing"
"00;00;28;11","00;00;28;27","applied"
"00;00;28;27","00;00;29;06","active"
"00;00;29;06","00;00;30;00","inference."
"00;00;30;01","00;00;30;05","You"
"00;00;30;05","00;00;30;09","can"
"00;00;30;09","00;00;30;22","find us"
"00;00;30;22","00;00;31;14","at our"
"00;00;31;14","00;00;31;25","links"
"00;00;31;25","00;00;32;14","on this"
"00;00;32;14","00;00;33;08","slide."
"00;00;33;26","00;00;34;24","This is recorded"
"00;00;34;24","00;00;35;01","and"
"00;00;35;01","00;00;35;20","an archived"
"00;00;35;20","00;00;35;27","live"
"00;00;35;27","00;00;36;08","stream."
"00;00;36;08","00;00;36;17","So"
"00;00;36;17","00;00;36;29","please"
"00;00;36;29","00;00;37;10","provide"
"00;00;37;10","00;00;37;17","us"
"00;00;37;17","00;00;38;06","with feedback"
"00;00;38;06","00;00;38;10","so"
"00;00;38;10","00;00;38;15","that"
"00;00;38;15","00;00;38;24","we can"
"00;00;38;24","00;00;39;07","improve"
"00;00;39;07","00;00;39;15","on our"
"00;00;39;15","00;00;40;04","work."
"00;00;40;18","00;00;40;25","All"
"00;00;40;25","00;00;41;12","backgrounds"
"00;00;41;12","00;00;41;18","and"
"00;00;41;18","00;00;42;06","perspectives"
"00;00;42;06","00;00;42;10","are"
"00;00;42;10","00;00;43;03","welcome,"
"00;00;43;14","00;00;43;20","and"
"00;00;43;20","00;00;43;24","we'll"
"00;00;43;24","00;00;43;27","be"
"00;00;43;27","00;00;44;27","following"
"00;00;44;27","00;00;45;05","video"
"00;00;45;05","00;00;45;17","etiquette"
"00;00;45;17","00;00;45;24","for"
"00;00;45;24","00;00;45;26","our"
"00;00;45;26","00;00;46;09","group."
"00;00;46;09","00;00;46;17","Live"
"00;00;46;17","00;00;46;29","streams"
"00;00;46;29","00;00;47;15","like"
"00;00;47;15","00;00;48;00","muting"
"00;00;48;00","00;00;48;10","if"
"00;00;48;10","00;00;48;19","we're"
"00;00;48;19","00;00;48;25","not"
"00;00;48;25","00;00;48;29","going"
"00;00;48;29","00;00;49;02","to be"
"00;00;49;02","00;00;49;15","talking"
"00;00;49;15","00;00;49;21","and"
"00;00;49;21","00;00;50;03","raising"
"00;00;50;03","00;00;50;14","our hands"
"00;00;50;14","00;00;50;17","so"
"00;00;50;17","00;00;50;21","that"
"00;00;50;21","00;00;50;28","we can"
"00;00;50;28","00;00;51;10","hear"
"00;00;51;10","00;00;51;16","from"
"00;00;51;16","00;00;52;06","everyone."
"00;00;53;21","00;00;54;00","We're"
"00;00;54;00","00;00;54;08","down"
"00;00;54;08","00;00;54;19","here"
"00;00;54;19","00;00;54;29","on the"
"00;00;54;29","00;00;55;08","bottom"
"00;00;55;08","00;00;55;09","of"
"00;00;55;09","00;00;55;29","the slide"
"00;00;55;29","00;00;56;12","in the"
"00;00;56;12","00;00;56;22","second"
"00;00;56;22","00;00;57;07","discussion"
"00;00;57;07","00;00;57;13","for"
"00;00;57;13","00;00;57;16","the"
"00;00;57;16","00;00;57;29","Emperor's"
"00;00;57;29","00;00;58;04","New"
"00;00;58;04","00;00;58;16","Marcott"
"00;00;58;16","00;00;59;13","Blankets"
"00;00;59;13","00;00;59;27","and"
"00;00;59;27","00;01;00;10","closing"
"00;01;00;10","00;01;00;16","out"
"00;01;00;16","00;01;00;28","April"
"00;01;00;28","00;01;01;02","with"
"00;01;01;02","00;01;01;08","this"
"00;01;01;08","00;01;01;15","really"
"00;01;01;15","00;01;01;23","great"
"00;01;01;23","00;01;02;09","discussion."
"00;01;02;09","00;01;02;13","So"
"00;01;02;13","00;01;02;23","check out"
"00;01;02;23","00;01;03;00","this"
"00;01;03;00","00;01;03;15","link"
"00;01;03;15","00;01;04;20","our BQE"
"00;01;04;20","00;01;05;03","slash"
"00;01;05;03","00;01;06;09","Kevin"
"00;01;06;12","00;01;07;09","P.O.S."
