"Speaker Name","Start Time","End Time","Transcript"
"Unknown","00;00;08;02","00;00;37;16","Hello, everyone. Welcome to Acton Flab. Live stream number 25.1. Today is July six. 2021. And we're going to be talking about the paper, the computational boundary of a self developmental bio electricity, driver's multicellularity and scale free cognition. We are a participatory and online lab that is communicating, learning and practicing applied active inference. You can find us at the links here on this page."
"Unknown","00;00;37;23","00;01;00;02","This is a recorded and archived live stream, so please provide us with feedback so that we can improve our work all backgrounds and perspectives are welcome here. We will be following good video etiquette for live streams here. At the short link, you will see all of the live streams and different series that we've done leading up to this in the communications unit of the Active Inference Lab."
"Unknown","00;01;00;16","00;01;27;11","And today we're going to be jumping into the first half of a discussion of the paper in July, and on the 13th we will have 25.2, which is also on this paper and hopefully with the author joining today and act in Flab Livestream number 25.1. We're going to be learning and discussing this paper so I will pass it off."
"Unknown","00;01;27;11","00;01;53;01","I'm blue and I am an independent research consultant based out of New Mexico, and I will pass it to Stephen for a quick round of introductions thanks, Blue. Hi. So this is Stephen here. I'm based in Toronto. I'm doing a practice base Ph.D., and I'm interested in how active inference can help unify lots of threads that have been very confusing to me over the last few years."
"Unknown","00;01;53;06","00;02;22;04","And if it's OK, I'm going to throw this over to Dave Douglas yes. Hi. I'm in the Philippines, up in the mountains. The rainy season has begun, and we just survived the 4th of July. So all is good thanks, Dan, I guess. Thanks. I'm Daniel. I'm in Davis and yep, looking forward to this. Point one session. And also nice job with the broadcasting and facilitating blue."
"Unknown","00;02;22;20","00;02;34;02","Thanks. So we can just start off with just some questions about what you liked about the paper or what was something you remembered or something that you're curious about."
"Unknown","00;02;42;21","00;03;08;06","Now, I am embarrassed to say I didn't read it at all and I was, you know, I started looking over this. Oh, my goodness, we're going to talk about Wilhelm, right? We're going to talk about organs and orgasms and cloud busters and, and living flying saucers. And I guess we're not going to get any of that. So I don't know cool."
"Unknown","00;03;08;07","00;03;46;16","Well, the aims and claims of the paper. So here the paper the author says the aims were to define individuals and selves in a way that facilitates taxonomy comparison and communication with evolved, created biological or artificial and exo biological agents. And he proposes a fundamental definition of an individual based on the ability to pursue goals at an appropriate level of scale and organization, and suggests a formalism for defining and comparing the cognitive capacities of highly diverse types of agents what does anybody think about that?"
"Unknown","00;03;51;25","00;04;28;01","Yeah, I think that the multi scale part of this is very very interesting, very exciting because this is one of the big offerings that active inference has, and it's been offered in a lot of similar actions in the silicone context. But to have it actually describes from a real biological or kind of cellular perspective and is for me really, really useful because I'm kind of looking partly at how the fewest ticks of all this are as much as the, you know, the mathematics of it."
"Unknown","00;04;28;01","00;04;54;28","So yeah, I think that's really, really interesting. Cool. Daniel, I I liked the part about taxonomy because that kind of speaks to this evolutionary worldview and it always seemed interesting to me studying collective behavior like in the Ants, that there were really precise ways of talking about comparing some physical properties in Biosystems. Like how hard is the material or its density?"
"Unknown","00;04;55;08","00;05;18;27","And then there was less of a way to talk about similarities in cognitive processes, whether on an organism or how they interacted with their niche especially. So just the idea that there could be a new sort of tool in the toolbox to help us compare different cognitive systems that might have hybrid aspects like computer and human or agent and niche."
"Unknown","00;05;18;28","00;06;04;09","Those are kind of cool areas to explore. So I think that's a big topic definitely. Like the other, maybe like comparison of like cognitive capacities isn't really related to cognition, but it's integrated information theory, right? So, you know, when you can compare like the consciousness of a slime mold versus the consciousness of a human, this kind of stands alongside of that in terms of you know, being able to say maybe not quantitatively yet, but hopefully, you know, people will run with this and be able to apply some quantitative methods to that."
"Unknown","00;06;06;16","00;06;43;20","Cool. So he also, the author also proposes a plausible naturalistic framework for the evolutionary scale up of cognition from the earliest origins of life and hypothesizes about the forces that drove it and the major transitions along the continuum. And the goal is to show how complex agency and goal directed. This evolves naturally from ancient mechanisms so some questions How do multiple nested skills of individuality work that's super interesting to me."
"Unknown","00;06;43;24","00;07;18;16","Let's see Daniel. Yeah, well, I wrote the question, so maybe I'll ask or bring up why I thought it was interesting is there like a total value of cognition in the full, full stack here, the full cone? And then there's going to be certain levels that are more relevant than others because there are a total amount of individuality, or are there just certain ways that, like the cones, for example, don't overlap?"
"Unknown","00;07;19;07","00;07;54;17","Like there's certain spaces almost that are implied that are more than the sum of the parts and so how is how are we going to even just first draw it out? Think about it actually, one thing that comes to mind when you talk about the sum of the parts, I think what I be interested by when he talks about a cell and then he talks about these groups of cells and how they are sort of joined and there's this kind of biometric dynamic that sort of helps them communicate."
"Unknown","00;07;54;17","00;08;39;22","I think that's a really making a bit of a jump here. But I think it's interesting, too, the difference between people communicating in a community context where there's this kind of resonance going on between people and what it's like when there's just separate entities sending messages to each other, so to speak. There's something about this ability to form some sort of bio electric dynamic, which I think is in itself quite interesting, is as a heuristic yeah, for sure."
"Unknown","00;08;39;22","00;09;04;01","Daniel agreed it. We're going to bring it go to bio electricity soon. Because I think with the author visiting next week, it'll be good to get some of these notions that we're having about where bio electricity plays a role. Like those are some of the big theoretical questions like what is individuality across levels? Is it informational, is it evolutionary, is it functional?"
"Unknown","00;09;04;10","00;09;33;25","All these questions about like holism and reductionism more than the sum of the parts, what is collective behavior? What is emergence? There's that whole body of thinking and then the piece that's tying it all together is the bio electric. And there's a few reasons why in the paper that is being proposed as important, like the primacy or the primitiveness and also just the signaling dynamics and the what it appears to allow cells to be able to do."
"Unknown","00;09;34;02","00;10;06;05","We can explore that later. So agreed, like how is bio electricity supporting this broader story about multi scale systems, which doesn't just just by drawing it out this way, it doesn't imply bio electricity. So where's bio electricity coming into the picture? We'll keep thinking about that. Yeah, absolutely. I will talk about that later, I think, and is something that I don't think and correct me if I'm wrong, other papers on Active Inference have not tended to come at that aspect."
"Unknown","00;10;06;11","00;10;39;21","So it's they've tended to come at it from a in silicone kind of statistical state based process. So this this does give something that's a bit more organic, I suppose potentially. So I think that there's maybe there's much more that can be drawn from that going forward. So thanks yeah. I think the, you know, people have done more organic stuff, but it's always like even related to bio electricity."
"Unknown","00;10;39;21","00;11;20;00","But I think it's always related to neural bio electricity as opposed to non neural bio electricity, which is what kind of drives this paper forward. And the you know, of course there's a relationship between bio electricity and the homeostatic drive, which the author talks about as driving the major evolutionary transitions. And, you know, probably much of what we do, much of how organisms think and behaves driven by, you know, that that drive for homeostasis so more questions."
"Unknown","00;11;20;00","00;11;51;05","What do we learn or enable when we understand multi skill, individuality, but Daniel, maybe one way to frame what we could learn or enable here would be like in a read and write with respect to designing new kinds of motor skills systems. That's like the right. And then to look around and discover the kinds of motor skill systems that we're already interested in with like reading."
"Unknown","00;11;51;17","00;12;17;29","So it's kind of there's an interpretive ability when we can look across multiple skill systems, but then also within a virtual machine or within some sort of physical system, there's ways to just design systems that have certain kinds of relationships between the parts and the holes, like a governance system where such and such a distribution of, of influence exists or something like that."
"Unknown","00;12;19;17","00;12;56;14","Stephen Stephen One area that's been of interest and I think this can relate to is an area called mental space psychology. They've been looking at very personal neurons, the mirror neurons as people talk about them as well and how they resonate. And I think that this that ability to get that dynamic relationship between people or with objects in our shared model and the ability for these to see that there's some sort of resonance in terms of how things relate to others in space."
"Unknown","00;12;57;02","00;13;34;10","That that seems to tie in to what you were saying about that by electrics of neurons INS have been sort of related to this and ties into that ability for maybe us to re reconnect some of these inference processes across distance, you know, because obviously the cells they're touching each other is a plausible route. But how do we maybe get some of these resonances between cells which are not touching each other or even organisms which are not touching each other or maybe they need to touch."
"Unknown","00;13;35;13","00;14;08;26","And that gets us into intimacy and stuff. But yeah, good point. That link brings us. So I just pulled up the slide talking about gap junctions, which these are like, you know, they're little holes that enable, you know, the proximal cells to share information essentially about their environment or their intracellular like state of existence. And that's a cool way for, you know, facilitates the informational spread."
"Unknown","00;14;10;02","00;14;36;02","And we see that in the figural. So let's see it's come to that figure so this one. Yeah. So that gives you like, you know, if, if there was a boundary like a solid boundary or maybe even a lipid bilayer that wasn't didn't have a little hole in it connecting cells, then there would just be the individual spatial perception that's shown here in Fig. three."
"Unknown","00;14;36;19","00;15;24;20","But because of the gap junctions, you know, a cell communicates to all the proximal cells and this expands the spatial perception and the memory and the anticipation. And so it's like this group integration here. Dave Yeah. Going even farther into the field effects, I heard a presentation by some students in China recently who were tracking down non tracking down electrical effects in mammalian nervous systems that didn't that were not confined to local chemical, not electrical effects."
"Unknown","00;15;24;20","00;15;59;17","So they didn't even need to use the pores. And so this is not dominant, but it's there. And under certain circumstances, it does become pretty important, like in long term potentiation, they're saying that's part of what's going on, that you get these standing waves and then they're conjecturing that that part of the classic brain waves are literally are waves in the brain, rather than a summation of these local synaptic jumps."
"Unknown","00;16;01;00","00;16;48;25","Daniel, Daniel, Daniel. Yeah, just one comment on what they've just said there about these kind of traveling yields that is really related to Christian and collaborators work with SPM, which was basically a toolkit for looking at dynamical systems and then integrating imaging based modalities for like neuro imaging and with the field based measurements like EEG. So kind of taking a certain anatomical shape into account when you are integrating these different projections or different modeling ways of kind of two different perspectives on the same underlying system."
"Unknown","00;16;49;25","00;17;24;23","So that's kind of an interesting link that you just made there. Yeah, it's hard to undera it's hard to overestimate the importance of Professor Frist and enormous amount of hands on work with interpreting brain direct physical brain data and how important that is in just implicitly shaping how he approaches these system activities and system effects. Yeah, I keep yeah, I keep slapping myself."
"Unknown","00;17;24;23","00;17;35;23","Wait a minute, what does this guy spend the last four years doing? You know, don't get stuck in the peculiarities of the mathematical descriptions. He has a real reason for doing this stuff that way."
"Unknown","00;17;37;23","00;18;14;05","Daniel you go first, Steven, OK? Yes, sure. What I suppose been a bit speculative here, but with the brainwaves in the way that we've got this bio electrics on the cell, I mean, different scales of I think this is an open question, but it certainly seems to have plausible routes to being thought about is how much of these brain waves or this electrical activity across regions of the brain analogous or in some way similar to the the descriptions at the cellular and multicellular level?"
"Unknown","00;18;14;23","00;18;17;23","So I think that's a good point that they brings up there."
