"Start Time","End Time","Transcript"
"00;00;04;14","00;00;05;01","It's"
"00;00;08;11","00;00;09;08","six"
"00;00;10;01","00;00;10;21","months"
"00;00;12;18","00;00;12;27","Looks"
"00;00;12;27","00;00;13;06","good."
"00;00;13;06","00;00;13;12","Go"
"00;00;13;12","00;00;13;19","for"
"00;00;13;19","00;00;13;26","it."
"00;00;15;12","00;00;15;22","Hello,"
"00;00;15;22","00;00;16;11","everyone."
"00;00;16;11","00;00;17;01","Welcome"
"00;00;17;01","00;00;17;19","to the"
"00;00;17;19","00;00;18;01","Active"
"00;00;18;01","00;00;18;13","Inference"
"00;00;18;13","00;00;18;24","Lab."
"00;00;18;24","00;00;19;21","Livestream"
"00;00;19;21","00;00;20;06","number"
"00;00;20;06","00;00;22;05","29.1"
"00;00;22;05","00;00;22;16","today,"
"00;00;22;16","00;00;25;08","September 21st 2021."
"00;00;25;14","00;00;26;12","And we"
"00;00;26;12","00;00;26;23","are"
"00;00;26;23","00;00;27;02","going"
"00;00;27;02","00;00;27;08","to be"
"00;00;27;08","00;00;27;23","discussing"
"00;00;27;23","00;00;27;28","this"
"00;00;27;28","00;00;28;21","paper,"
"00;00;28;21","00;00;29;04","Active"
"00;00;29;04","00;00;29;23","Inference"
"00;00;29;23","00;00;30;01","and"
"00;00;30;01","00;00;30;13","Active"
"00;00;30;13","00;00;30;27","Inference"
"00;00;30;27","00;00;31;16","Framework"
"00;00;31;16","00;00;31;29","for"
"00;00;31;29","00;00;32;11","ant"
"00;00;32;11","00;00;33;02","colony"
"00;00;33;02","00;00;34;01","behavior"
"00;00;36;19","00;00;38;08","this is a recorded"
"00;00;38;08","00;00;38;21","and"
"00;00;38;21","00;00;40;13","an kind of thing."
"00;00;40;13","00;00;40;28","So"
"00;00;40;28","00;00;41;08","please"
"00;00;41;08","00;00;41;18","provide"
"00;00;41;18","00;00;41;22","us"
"00;00;41;22","00;00;42;10","with feedback"
"00;00;42;10","00;00;42;15","so"
"00;00;42;15","00;00;42;24","we can"
"00;00;42;24","00;00;43;05","improve"
"00;00;43;05","00;00;43;27","our work."
"00;00;44;04","00;00;45;15","We are a participant"
"00;00;45;15","00;00;45;26","sorry."
"00;00;45;26","00;00;46;08","On my"
"00;00;46;08","00;00;46;20","lab"
"00;00;46;20","00;00;47;01","that is"
"00;00;47;01","00;00;47;26","campaigning,"
"00;00;47;26","00;00;48;13","learning"
"00;00;48;13","00;00;48;17","and"
"00;00;48;17","00;00;49;07","practicing"
"00;00;49;07","00;00;49;23","applied"
"00;00;49;23","00;00;50;02","active"
"00;00;50;02","00;00;51;01","influence."
"00;00;51;01","00;00;51;29","You can find us"
"00;00;51;29","00;00;52;13","at all"
"00;00;52;13","00;00;52;16","of"
"00;00;52;16","00;00;52;27","these"
"00;00;52;27","00;00;53;13","social"
"00;00;53;13","00;00;53;25","media"
"00;00;53;25","00;00;54;20","links"
"00;00;55;04","00;00;55;13","and"
"00;00;55;13","00;00;55;20","all"
"00;00;55;20","00;00;56;12","backgrounds"
"00;00;56;12","00;00;56;22","and"
"00;00;56;22","00;00;57;10","perspectives"
"00;00;57;10","00;00;57;20","are"
"00;00;57;20","00;00;58;02","welcome"
"00;00;58;02","00;00;58;16","here."
"00;00;58;16","00;00;59;07","We will be"
"00;00;59;07","00;00;59;24","following"
"00;00;59;24","00;01;00;11","good"
"00;01;00;11","00;01;00;25","video"
"00;01;00;25","00;01;01;14","etiquette"
"00;01;01;14","00;01;01;26","or"
"00;01;01;26","00;01;02;20","lecturing"
"00;01;03;10","00;01;03;20","here"
"00;01;03;20","00;01;03;25","of"
"00;01;03;25","00;01;04;12","the short"
"00;01;04;12","00;01;04;24","thing"
"00;01;04;24","00;01;05;07","you can"
"00;01;05;07","00;01;05;23","find"
"00;01;05;23","00;01;06;06","all of"
"00;01;06;06","00;01;06;14","our"
"00;01;06;14","00;01;07;05","upcoming"
"00;01;07;05","00;01;07;14","live"
"00;01;07;14","00;01;07;26","streams"
"00;01;07;26","00;01;09;02","that are planned."
"00;01;09;11","00;01;09;23","And"
"00;01;09;23","00;01;10;06","if you want"
"00;01;10;06","00;01;10;10","to get"
"00;01;10;10","00;01;10;13","in"
"00;01;10;13","00;01;10;27","touch"
"00;01;10;27","00;01;11;03","or if"
"00;01;11;03","00;01;11;09","you want"
"00;01;11;09","00;01;11;11","to"
"00;01;11;11","00;01;11;27","participate,"
"00;01;11;27","00;01;12;11","please"
"00;01;12;11","00;01;12;23","reach out"
"00;01;12;23","00;01;13;07","to us"
"00;01;13;07","00;01;13;19","and"
"00;01;13;19","00;01;14;08","we will"
"00;01;14;08","00;01;14;20","invite"
"00;01;14;20","00;01;15;16","you to"
"00;01;15;16","00;01;16;02","participate"
"00;01;16;02","00;01;16;16","in a"
"00;01;16;16","00;01;16;24","panel"
"00;01;19;18","00;01;20;00","today."
"00;01;20;00","00;01;20;07","Our"
"00;01;20;07","00;01;20;17","goal"
"00;01;20;17","00;01;21;00","is to"
"00;01;21;00","00;01;21;12","learn"
"00;01;21;12","00;01;21;14","and"
"00;01;21;14","00;01;22;07","discuss"
"00;01;22;07","00;01;22;13","this"
"00;01;22;13","00;01;22;25","paper."
"00;01;22;25","00;01;23;06","Active"
"00;01;23;06","00;01;23;08","in"
