"Start Time","End Time","Transcript"
"00;00;00;01","00;00;00;05","It's"
"00;00;00;05","00;00;00;25","life"
"00;00;10;00","00;00;10;20","OK?"
"00;00;10;23","00;00;11;22","It is."
"00;00;12;07","00;00;13;03","Hello"
"00;00;13;03","00;00;13;10","and"
"00;00;13;10","00;00;13;19","welcome,"
"00;00;13;19","00;00;14;03","everyone."
"00;00;14;03","00;00;14;17","Thank you"
"00;00;14;17","00;00;15;13","to"
"00;00;15;23","00;00;16;14","joining"
"00;00;16;14","00;00;16;19","the"
"00;00;16;19","00;00;16;27","active"
"00;00;16;27","00;00;16;29","and"
"00;00;16;29","00;00;17;06","Vince"
"00;00;17;06","00;00;17;25","love"
"00;00;18;14","00;00;18;26","is"
"00;00;18;26","00;00;20;14","October 1st 2021"
"00;00;20;14","00;00;21;12","and"
"00;00;21;12","00;00;21;18","I'm"
"00;00;21;18","00;00;22;00","Daniel"
"00;00;22;00","00;00;22;05","I'm"
"00;00;22;05","00;00;22;10","here"
"00;00;22;10","00;00;22;18","with"
"00;00;22;18","00;00;23;04","blue"
"00;00;23;04","00;00;23;17","and"
"00;00;23;17","00;00;24;00","we're"
"00;00;24;00","00;00;24;07","going"
"00;00;24;07","00;00;24;20","to be"
"00;00;24;20","00;00;24;29","talking"
"00;00;24;29","00;00;25;04","about"
"00;00;25;04","00;00;25;08","this"
"00;00;25;08","00;00;25;17","paper"
"00;00;25;17","00;00;25;23","how"
"00;00;25;23","00;00;26;05","to count"
"00;00;26;05","00;00;26;19","biological"
"00;00;26;19","00;00;27;14","minds"
"00;00;27;16","00;00;28;17","Symbiosis,"
"00;00;28;17","00;00;28;27","the free"
"00;00;28;27","00;00;29;06","Energy"
"00;00;29;06","00;00;30;03","Principle"
"00;00;30;03","00;00;30;09","and"
"00;00;30;09","00;00;30;24","Reciprocal"
"00;00;30;24","00;00;31;04","Multi"
"00;00;31;04","00;00;31;18","Scale"
"00;00;31;18","00;00;32;24","Integration."
"00;00;32;29","00;00;33;09","Welcome"
"00;00;33;09","00;00;33;22","to the"
"00;00;33;22","00;00;34;01","Active"
"00;00;34;01","00;00;34;12","Inference"
"00;00;34;12","00;00;35;00","Lab."
"00;00;35;18","00;00;35;27","We are"
"00;00;35;27","00;00;35;29","a"
"00;00;35;29","00;00;36;24","participatory"
"00;00;36;24","00;00;37;08","online"
"00;00;37;08","00;00;37;17","lab"
"00;00;37;17","00;00;37;26","that is"
"00;00;37;26","00;00;38;19","communicating,"
"00;00;38;19","00;00;39;04","learning"
"00;00;39;04","00;00;39;07","and"
"00;00;39;07","00;00;39;26","practicing"
"00;00;39;26","00;00;40;11","applied"
"00;00;40;11","00;00;40;20","active"
"00;00;40;20","00;00;41;13","inference."
"00;00;41;15","00;00;41;18","You"
"00;00;41;18","00;00;41;22","can"
"00;00;41;22","00;00;42;05","find us"
"00;00;42;05","00;00;42;11","at the"
"00;00;42;11","00;00;42;21","links"
"00;00;42;21","00;00;42;26","here"
"00;00;42;26","00;00;43;09","on this"
"00;00;43;09","00;00;44;04","page."
"00;00;44;19","00;00;45;18","This is a recorded"
"00;00;45;18","00;00;45;25","and an"
"00;00;45;25","00;00;46;10","archived"
"00;00;46;10","00;00;46;27","livestream"
"00;00;46;27","00;00;47;03","so"
"00;00;47;03","00;00;47;10","please"
"00;00;47;10","00;00;47;18","provide"
"00;00;47;18","00;00;47;21","us"
"00;00;47;21","00;00;48;08","with feedback"
"00;00;48;08","00;00;48;13","so"
"00;00;48;13","00;00;48;16","that"
"00;00;48;16","00;00;48;24","we can"
"00;00;48;24","00;00;49;02","be"
"00;00;49;02","00;00;49;16","improving"
"00;00;49;16","00;00;49;19","our"
"00;00;49;19","00;00;50;07","work."
"00;00;50;22","00;00;50;28","All"
"00;00;50;28","00;00;51;14","backgrounds"
"00;00;51;14","00;00;51;17","and"
"00;00;51;17","00;00;52;06","perspectives"
"00;00;52;06","00;00;52;09","are"
"00;00;52;09","00;00;52;20","welcome"
"00;00;52;20","00;00;53;06","here"
"00;00;53;15","00;00;53;25","and"
"00;00;53;25","00;00;53;29","we'll"
"00;00;53;29","00;00;54;02","be"
"00;00;54;02","00;00;55;00","following"
"00;00;55;00","00;00;55;08","good"
"00;00;55;08","00;00;55;15","video"
"00;00;55;15","00;00;55;28","etiquette"
"00;00;55;28","00;00;56;05","for"
"00;00;56;05","00;00;57;03","lectures"
"00;00;58;07","00;00;58;28","we are"
"00;00;58;28","00;00;59;11","heading"
"00;00;59;11","00;00;59;28","into"
"00;00;59;28","00;01;00;29","October"
"00;01;00;29","00;01;01;12","and"
"00;01;01;12","00;01;01;17","the"
"00;01;01;17","00;01;01;26","number"
"00;01;01;26","00;01;02;05","30"
"00;01;02;05","00;01;02;23","paper"
"00;01;02;23","00;01;03;02","about"
"00;01;03;02","00;01;03;20","biological"
"00;01;03;20","00;01;04;18","mines."
"00;01;04;25","00;01;05;17","We currently"
"00;01;05;17","00;01;05;24","have"
"00;01;05;24","00;01;05;28","the"
"00;01;05;28","00;01;06;08","author"
"00;01;06;08","00;01;06;15","Matt"
"00;01;06;15","00;01;07;04","Sims"
"00;01;07;04","00;01;07;17","scheduled"
"00;01;07;17","00;01;07;21","to"
"00;01;07;21","00;01;08;05","come"
"00;01;08;05","00;01;08;17","on the"
"00;01;08;17","00;01;09;20","October 5th"
"00;01;09;20","00;01;10;11","discussion"
"00;01;10;11","00;01;10;16","and"
"00;01;10;16","00;01;10;21","then"
"00;01;10;21","00;01;10;25","we'll"
"00;01;10;25","00;01;11;03","have"
"00;01;11;03","00;01;11;07","the"
"00;01;11;07","00;01;12;15","30.2"
"00;01;12;15","00;01;12;27","another"
"00;01;12;27","00;01;13;17","participatory"
"00;01;13;17","00;01;14;03","group"
"00;01;14;11","00;01;15;07","discussion."
"00;01;15;07","00;01;15;14","So"
"00;01;15;14","00;01;15;27","check out"
"00;01;15;27","00;01;16;01","the"
"00;01;16;01","00;01;16;16","calendar"
"00;01;16;16","00;01;17;00","here"
"00;01;17;00","00;01;17;07","as"
"00;01;17;07","00;01;17;11","well"
"00;01;17;11","00;01;17;14","as"
"00;01;17;14","00;01;17;18","these"
"00;01;17;18","00;01;18;18","other series"
"00;01;18;18","00;01;19;01","if you want"
"00;01;19;01","00;01;19;21","to"
"00;01;19;22","00;01;20;08","join"
"00;01;20;08","00;01;21;08","or"
"00;01;21;12","00;01;21;23","suggest"
"00;01;21;23","00;01;22;02","somebody"
"00;01;22;02","00;01;22;09","who we"
"00;01;22;09","00;01;22;12","can"
"00;01;22;12","00;01;22;23","invite"
"00;01;24;22","00;01;25;03","today"
"00;01;25;03","00;01;25;16","in"
"00;01;25;16","00;01;25;28","item"
"00;01;25;28","00;01;26;07","stream"
"00;01;26;07","00;01;26;14","number"
"00;01;26;14","00;01;27;23","30.0."
"00;01;27;23","00;01;28;04","The goal"
"00;01;28;04","00;01;28;17","is to"
"00;01;28;17","00;01;28;27","learn"
"00;01;28;27","00;01;29;03","and"
"00;01;29;03","00;01;30;09","discuss"
"00;01;30;18","00;01;30;24","this"
"00;01;30;24","00;01;31;16","paper,"
"00;01;31;16","00;01;31;23","How"
"00;01;31;23","00;01;32;03","to Count"
"00;01;32;03","00;01;32;19","Biological"
"00;01;32;19","00;01;33;14","Minds."
"00;01;34;07","00;01;34;26","And"
"00;01;34;26","00;01;35;03","it's"
"00;01;35;03","00;01;35;15","by"
"00;01;35;15","00;01;35;28","Matthew"
"00;01;35;28","00;01;36;14","Sims"
"00;01;36;14","00;01;36;25","it's"
"00;01;36;25","00;01;37;15","from"
"00;01;37;15","00;01;38;28","2020"
"00;01;38;28","00;01;39;06","in"
"00;01;39;06","00;01;39;24","the journals"
"00;01;39;24","00;01;39;27","and"
"00;01;39;27","00;01;40;26","these"
"00;01;41;05","00;01;41;20","and"
"00;01;41;20","00;01;41;27","just"
"00;01;41;27","00;01;42;01","like"
"00;01;42;01","00;01;42;05","all"
"00;01;42;05","00;01;42;08","the"
"00;01;42;08","00;01;42;21","other"
"00;01;42;21","00;01;42;29","dot"
"00;01;42;29","00;01;43;07","zero"
"00;01;43;07","00;01;43;20","videos,"
"00;01;43;20","00;01;43;25","this"
"00;01;43;25","00;01;43;28","is"
"00;01;43;28","00;01;44;03","just"
"00;01;44;03","00;01;44;07","an"
