"Start Time","End Time","Transcript"
"00;00;31;06","00;00;31;09","All"
"00;00;31;09","00;00;31;16","right."
"00;00;31;16","00;00;31;27","Hello,"
"00;00;31;27","00;00;32;11","everyone."
"00;00;32;11","00;00;32;24","Welcome"
"00;00;32;24","00;00;33;05","to"
"00;00;33;05","00;00;33;17","Active"
"00;00;33;17","00;00;34;05","Lab."
"00;00;34;05","00;00;34;23","Livestream"
"00;00;34;23","00;00;35;03","number"
"00;00;35;03","00;00;36;27","33.1."
"00;00;36;27","00;00;37;05","It's"
"00;00;37;05","00;00;41;00","November 23rd 2021"
"00;00;41;00","00;00;41;09","welcome"
"00;00;41;09","00;00;41;12","to"
"00;00;41;12","00;00;41;28","the Active"
"00;00;41;28","00;00;43;24","Lab, a"
"00;00;43;24","00;00;44;07","first time"
"00;00;44;07","00;00;44;25","participants"
"00;00;44;25","00;00;45;06","and"
"00;00;45;06","00;00;45;26","returning"
"00;00;45;26","00;00;46;18","participants"
"00;00;46;18","00;00;46;28","and"
"00;00;46;28","00;00;48;02","listeners."
"00;00;48;03","00;00;48;13","We are"
"00;00;48;13","00;00;49;17","participatory"
"00;00;49;17","00;00;50;00","online"
"00;00;50;00","00;00;50;13","lab"
"00;00;50;13","00;00;50;22","that is"
"00;00;50;22","00;00;51;12","communicating,"
"00;00;51;12","00;00;51;27","learning"
"00;00;51;27","00;00;52;02","and"
"00;00;52;02","00;00;52;20","practicing"
"00;00;52;20","00;00;53;03","applied"
"00;00;53;03","00;00;53;12","active"
"00;00;53;12","00;00;54;04","inference."
"00;00;54;04","00;00;54;08","You"
"00;00;54;08","00;00;54;11","can"
"00;00;54;11","00;00;54;24","find us"
"00;00;54;24","00;00;55;02","at the"
"00;00;55;02","00;00;55;16","links"
"00;00;55;16","00;00;55;24","here"
"00;00;55;24","00;00;56;01","on this"
"00;00;56;01","00;00;56;21","slide."
"00;00;57;15","00;00;58;16","This is a recorded"
"00;00;58;16","00;00;58;20","and"
"00;00;58;20","00;00;59;06","an archived"
"00;00;59;06","00;00;59;13","live"
"00;00;59;13","00;01;00;03","stream,"
"00;01;00;08","00;01;00;18","so"
"00;01;00;18","00;01;00;27","please"
"00;01;00;27","00;01;01;06","provide"
"00;01;01;06","00;01;01;09","us"
"00;01;01;09","00;01;01;26","with feedback"
"00;01;01;26","00;01;02;00","so"
"00;01;02;00","00;01;02;04","that"
"00;01;02;04","00;01;02;14","we can"
"00;01;02;14","00;01;03;00","improve"
"00;01;03;00","00;01;03;04","our"
"00;01;03;04","00;01;03;28","work."
"00;01;04;12","00;01;04;19","All"
"00;01;04;19","00;01;05;09","backgrounds"
"00;01;05;09","00;01;05;13","and"
"00;01;05;13","00;01;06;04","perspectives"
"00;01;06;04","00;01;06;15","are"
"00;01;06;15","00;01;06;27","welcome"
"00;01;06;27","00;01;07;09","here"
"00;01;07;09","00;01;07;18","and"
"00;01;07;18","00;01;07;23","will"
"00;01;07;23","00;01;07;26","be"
"00;01;07;26","00;01;08;16","following"
"00;01;08;16","00;01;09;01","good"
"00;01;09;01","00;01;09;11","video"
"00;01;09;11","00;01;09;23","etiquette"
"00;01;09;23","00;01;09;27","for"
"00;01;09;27","00;01;10;04","live"
"00;01;10;04","00;01;10;27","streams."
"00;01;12;07","00;01;12;16","We are"
"00;01;12;16","00;01;13;05","in the"
"00;01;13;05","00;01;13;17","final"
"00;01;13;17","00;01;13;24","two"
"00;01;13;24","00;01;14;07","weeks"
"00;01;14;07","00;01;14;15","of"
"00;01;14;15","00;01;14;29","November."
"00;01;14;29","00;01;16;07","21"
"00;01;16;14","00;01;17;02","discussing"
"00;01;17;02","00;01;17;13","thinking"
"00;01;17;13","00;01;17;20","like a"
"00;01;17;20","00;01;18;12","state"
"00;01;18;23","00;01;19;11","paper"
"00;01;19;11","00;01;20;15","of choice"
"00;01;20;15","00;01;20;25","and"
"00;01;20;25","00;01;21;03","we have"
"00;01;21;03","00;01;21;09","some"
"00;01;21;09","00;01;21;24","tentative"
"00;01;21;24","00;01;22;04","paper"
"00;01;22;04","00;01;22;24","selections"
"00;01;22;24","00;01;22;28","for"
"00;01;22;28","00;01;23;05","number"
"00;01;23;05","00;01;24;16","34 and"
"00;01;24;16","00;01;25;01","likely"
"00;01;25;01","00;01;25;24","will"
"00;01;25;25","00;01;26;10","take a"
"00;01;26;10","00;01;26;25","break"
"00;01;26;25","00;01;27;06","and"
"00;01;27;06","00;01;27;18","start"
"00;01;27;18","00;01;27;22","with"
"00;01;27;22","00;01;29;06","35 in"
"00;01;29;06","00;01;29;09","the"
"00;01;29;09","00;01;29;21","beginning"
"00;01;29;21","00;01;29;24","of"
"00;01;29;24","00;01;30;13","January"
"00;01;30;13","00;01;31;26","22."
"00;01;31;26","00;01;32;05","But"
"00;01;32;05","00;01;32;12","we're"
"00;01;32;12","00;01;32;19","really"
"00;01;32;19","00;01;32;25","looking"
"00;01;32;25","00;01;33;02","forward"
"00;01;33;02","00;01;33;28","to an"
"00;01;33;28","00;01;35;22","exciting 2022"
"00;01;35;22","00;01;35;29","so"
"00;01;35;29","00;01;36;05","if you"
"00;01;36;05","00;01;36;09","have"
"00;01;36;09","00;01;36;15","any"
"00;01;36;15","00;01;37;01","ideas"
"00;01;37;01","00;01;37;06","for"
"00;01;37;06","00;01;37;14","people"
"00;01;37;14","00;01;37;16","to"
"00;01;37;16","00;01;38;12","invite"
"00;01;38;12","00;01;38;18","for"
"00;01;38;18","00;01;39;09","other streams"
"00;01;39;09","00;01;39;15","or"
"00;01;39;15","00;01;39;22","if you"
"00;01;39;22","00;01;40;03","yourself"
"00;01;40;03","00;01;40;06","would"
"00;01;40;06","00;01;40;09","like"
"00;01;40;09","00;01;40;12","to"
"00;01;40;12","00;01;40;21","join"
"00;01;40;21","00;01;41;11","then"
"00;01;41;14","00;01;41;21","just"
"00;01;41;21","00;01;41;26","let"
"00;01;41;26","00;01;41;29","us"
"00;01;41;29","00;01;42;07","know"
"00;01;43;29","00;01;44;09","today."
"00;01;44;09","00;01;44;22","Inactive"
"00;01;44;22","00;01;45;04","stream"
"00;01;45;04","00;01;45;13","number"
