"Speaker Name","Start Time","End Time","Transcript"
"Unknown","00;00;31;07","00;01;00;25","Hello and welcome everyone to Active Flab Live stream number 34.1. It's December 7th. 2021. Welcome to Active Lab. We are a participatory online lab that is communicating, learning and practicing applied activity. For instance. You can find us some of the links here on this page. This is a recorded and an archived live stream. So please provide us with feedback so that we can improve on our work."
"Unknown","00;01;02;04","00;01;55;01","All backgrounds and perspectives are welcome here and we'll be following good video etiquette for livestreams all active lab activities are participatory, so let us know if you want to join in or co-organised. We have three organizational units, education, communication and tools and weekly meetings for each of those units. A ton of interesting projects to get involved in CoderDojo Active Inference Lab Slash Active Lab you'll find a searchable and sortable site where you can learn more about the past and upcoming live streams that we have today in active stream number 34.1, we're going to be learning and discussing about this fun paper, the free energy principle it's not about what it takes."
"Unknown","00;01;55;01","00;02;29;00","It's about what took you there by Axel Constant in 2021 and in 34.0 Dave and I had a great time. We talked about the paper so check out the zero and of course read the paper if you want to learn more today in 34.1 we can go over some of the key claims. We can look at some of the examples again and differentiate that Bayesian approach versus the free energy approach and just really take it anywhere that people think is interesting."
"Unknown","00;02;29;00","00;02;57;05","So if you're watching live, just ask questions in the live chat and we'll be keeping our eye on that and we will just introduce ourselves, go around and then we'll take it wherever we take it so we can introduce ourself. We can say hi and say maybe something that was exciting about the paper that we remembered or something that we'd like to reduce our uncertainty on by the end of this discussion."
"Unknown","00;02;57;25","00;03;25;29","So I'm Daniel. I'm a researcher in California. And I'm actually just looking forward to seeing if anyone in the live chat has some questions to ask because there are so many cool adjacencies to this paper. And just the beginnings of the thread were explored by Dean and I in the dot zero. So exploring the implications and what people will see as relevant in this paper I think will be really exciting and I will pass it to Dean."
"Unknown","00;03;27;23","00;04;04;06","Thanks, Dan. I'm Dina in Calgary and I'm just curious again to see how as you start pulling on a thread discovering how many things are actually there as opposed to just the threads. So yeah, I think today should be a pretty interesting day and I'll pass it over to David. I'm Dave. I'm live north of Manila. I did natural language processing with big computers and studied cybernetic learning theory, and I'm excited that he's given us some simple math."
"Unknown","00;04;04;06","00;04;28;02","Axial axial constant is kind of bringing it down to those of us who still, by the end of calculus one just a sort of lead in question. Dave, in the area of cybernetics, is there any analogous work, anyone who said, well, it's not really about being a cybernetic system, it's about how you came to be that cybernetic system?"
"Unknown","00;04;28;02","00;05;06;26","Like, are there any parallels in the cybernetics literature for the kinds of things that are explored in this paper? Well, there are, yeah. In terms of not so much necessarily the origins. Well, yes. In fact, in cybernetic learning theory, a branch called Conversation Theory, they completely cut loose the notion of the physical embodiments of systems from the magnetic or functional or conceptual or cognitive aspects of systems."
"Unknown","00;05;06;26","00;05;49;03","In fact, even types of systems very much like what Richard Dawkins did 30 plus years ago on separating genetics from my medics, which in his case originally was just a proof of principle, not something he wanted to pursue especially and think has been pursued in cybernetic learning theory. The individual is equated to the conversation was equated with is a type of system that originates the persists that merges into other systems that may very well function through many bodies."
"Unknown","00;05;49;19","00;06;43;18","So you have distributed intelligence right out of the gate as well as internal differentiation, internal self-definition of each individual as a conversation known definitely the there and there's a lot of now even going way back to the sixties and seventies that the there were cyber notations who took precise quantitative work very seriously and dug down very carefully on quantified attention, quantified uncertainty, resolution of uncertainty and the qualitative consequences of deciding what's really happening."
"Unknown","00;06;43;18","00;07;15;04","What my plan really is very much the sort of sudden, abrupt and often irreversible changes that the world looked at in a lot of depth when catastrophe theory, first upon the word sudden catastrophic, perhaps an improvement, but a catastrophic, suddenly relatively irreversible change and here it is still working on it in deeper and deeper detail and wider scope."
"Unknown","00;07;15;04","00;07;18;24","So good for Mr. Cons Doctor cost. Hmm."
"Unknown","00;07;21;02","00;07;46;06","Pretty interesting. It makes me think about like a friendship and how maybe it's not just about what the friendship is or what it takes to have a friendship, but it's about the specific conversations that take you there. So let's just kind of look at the main aims and claims and parts of the paper, and then either of you raise your hand."
"Unknown","00;07;46;06","00;08;19;28","Of course, maybe some others will join and anyone in the live chat, please just ask any question or make a comment. We're just chilling. So the center topic that's raised and it's a term that's introduced in this paper, not the word, but it's usage in this situation is the Entailment problem. And just like the dog and the tail as they say the entail, the problem is about the relationship, the necessity and the sufficiency relationship, which one is following which and under what situations they're following each other."
"Unknown","00;08;20;27","00;08;54;18","The internal the problem is the confusion in the entailment relation between free energy minimization and life. So is free energy minimization necessary for life? Is it sufficient? Those are the core pieces of the entailment problem and what happens in this paper is a simple dissolution through a trivial toy. Simplified example of that entailment problem. And we're going to probably walk through it again today."
"Unknown","00;08;55;01","00;09;19;24","But this numerical example, which is very stripped down, it's not for act if there's no action in the loop, it's just a perceptive example and it just shows that free energy minimization does not always lead to the correct choices. It's also conditional upon the priors. In other words, how you got there. It's about what took you there because the priors don't come from nowhere."
"Unknown","00;09;19;24","00;09;49;23","They come from the past. So this kind of connects this rigorous logic within the action perception loop or in this case, just a simplified perception loop to the often ill or illogical way that things happened to get the way they are so it's going to be that tension between is this a rational analysis? Is it locally rational, maybe globally irrational, all those kinds of topics come up."
"Unknown","00;09;50;09","00;10;17;14","And just to skip to the final words of the paper, the claim in this paper that's explored is that free and energy minimization is not sufficient for life. So not that he has nothing to say about life, not their activities is irrelevant, but that free energy minimization is not sufficient. It turns out that it's necessary to be doing something like free energy minimization to persist in a disruptive world."
"Unknown","00;10;18;06","00;10;43;22","But it's not sufficient. It can't be all that you have. The wheels are necessary for the car to go round and round, round and round, but they're not sufficient. And then that last sentence, the free energy principle is meant to account for all kinds of systems of you, the listener slash reader, the author of the paper, and the system of interest, the organism under study in a unifying fashion."
"Unknown","00;10;43;25","00;11;05;17","So we should also explore like what is the unifying lens or what is the framing under which the research scholar and the person who's just sort of like what is the free energy principle and the bacterium and what is that unifying principle and what does the free energy principle have to do with that?"
"Unknown","00;11;08;20","00;11;30;09","OK, so Dean, where do you think we should jump in or what would be a fun question or place to start here? Well, so I have an interest. I have a little bit history with this. So what what took you there? So if I'm meeting somebody and they're an expert at something, I don't typically ask, why are you an expert?"
"Unknown","00;11;30;20","00;12;01;27","Because that's kind of offensive. But you ask what what got you here? What got you to the place where you now bear this title? The weight of that title is it is an interesting way of going about trying to figure out what what logics they have applied in the past to untangle problems and resolve things that maybe somebody with less expertize struggles with or doesn't seem to be able to overcome."
"Unknown","00;12;02;21","00;12;23;28","So that's where this paper was really helpful to me instead of why do I have to do this? Or Why are you such an expert asking, where did you come from? And then when being specific in terms of so how did you resolve something that I still find difficult to resolve, like why do I have to tie my shoes?"
