"Start Time","End Time","Transcript"
"00;00;28;12","00;00;29;12","Hello, everyone."
"00;00;29;12","00;00;30;11","This is Active"
"00;00;30;11","00;00;33;16","Labs, live stream number 40.2"
"00;00;34;28","00;00;36;10","on March 24th."
"00;00;36;10","00;00;38;20","20, 22."
"00;00;38;26","00;00;40;23","Welcome to the Acton Flop."
"00;00;40;23","00;00;42;21","We're a participatory online lab"
"00;00;42;21","00;00;43;21","that is communicating"
"00;00;43;21","00;00;44;24","learning and practicing"
"00;00;44;24","00;00;46;27","applied active inference."
"00;00;46;27","00;00;48;04","This is a recorded"
"00;00;48;04","00;00;49;19","in an archived livestream."
"00;00;49;19","00;00;51;08","So please provide us with feedback"
"00;00;51;08","00;00;53;13","so we can improve our work"
"00;00;53;13","00;00;54;05","hear about your cue"
"00;00;54;05","00;00;56;10","RF All backgrounds"
"00;00;56;10","00;00;58;03","and perspectives are welcome."
"00;00;58;03","00;00;59;16","We may actually have to change this"
"00;00;59;16","00;01;01;17","to all. Cure F a welcome."
"00;01;01;17","00;01;02;22","And we'll follow"
"00;01;02;22","00;01;05;20","video etiquette for livestreams."
"00;01;05;20","00;01;06;07","Check out"
"00;01;06;07","00;01;07;06","active inference"
"00;01;07;06","00;01;08;17","dot org to learn more"
"00;01;08;17","00;01;10;29","about the activities in the lab."
"00;01;13;03","00;01;15;07","Today in 40.2."
"00;01;15;07","00;01;17;06","We are continuing to learn"
"00;01;17;06","00;01;19;04","and discuss this awesome paper."
"00;01;19;04","00;01;19;24","A Free Energy"
"00;01;19;24","00;01;20;09","Principle"
"00;01;20;09","00;01;22;22","for generic quantum systems by"
"00;01;23;29","00;01;26;06","Fields First in Glazebrook and 11."
"00;01;26;06","00;01;27;19","And we're"
"00;01;27;19","00;01;28;09","really appreciative"
"00;01;28;09","00;01;29;27","to have several of the authors"
"00;01;29;27","00;01;31;22","joining us today."
"00;01;31;22","00;01;35;04","And in this data,"
"00;01;35;07","00;01;37;16","we're just going to have introductions"
"00;01;37;16","00;01;38;16","and then jump"
"00;01;38;16","00;01;41;22","right in to several of the notes"
"00;01;41;22","00;01;43;05","that we left for ourself"
"00;01;43;05","00;01;44;14","from last time"
"00;01;44;14","00;01;46;27","and see where else it goes."
"00;01;46;27","00;01;47;29","And anyone can write"
"00;01;47;29","00;01;49;19","a comment in the live chat"
"00;01;49;19","00;01;52;13","and we'll just say hello again,"
"00;01;53;07","00;01;55;10","pick up with some threads"
"00;01;55;18","00;01;58;01","that were left unspooled in the dot one"
"00;01;58;12","00;02;00;11","and see where we get in the dot too"
"00;02;00;11","00;02;02;18","and how we continue going forward."
"00;02;02;18","00;02;05;23","So I'm Daniel, I'm a researcher"
"00;02;05;23","00;02;07;05","in California,"
"00;02;07;05","00;02;10;18","and I will pass it to Dean"
"00;02;17;05","00;02;17;17","Morning."
"00;02;17;17","00;02;18;08","My name's Dean."
"00;02;18;08","00;02;20;19","I'm in Calgary in Canada."
"00;02;20;19","00;02;21;10","My emphasis,"
"00;02;21;10","00;02;22;22","I think, is on the practice part"
"00;02;22;22","00;02;23;23","of active inference"
"00;02;23;23","00;02;25;15","and seeing how"
"00;02;25;15","00;02;26;08","it gets applied"
"00;02;26;08","00;02;28;20","in in different contexts situations."
"00;02;29;13","00;02;32;29","I'll pass it to Blue."
"00;02;33;20","00;02;34;21","And Blue tonight."
"00;02;34;21","00;02;36;29","I'm an independent researcher"
"00;02;37;02","00;02;38;14","in New Mexico,"
"00;02;38;14","00;02;40;14","and I will"
"00;02;40;14","00;02;42;14","be facilitating the discussion today."
"00;02;42;14","00;02;45;15","But let me pass it off to Stephen"
"00;02;45;15","00;02;46;21","if he's still here."
"00;02;46;21","00;02;47;27","Stephen, I'm here"
"00;02;50;24","00;02;51;09","your muted."
"00;02;51;09","00;02;52;04","Stephen"
"00;02;56;11","00;02;58;03","we still don't hear you."
"00;02;58;03","00;02;59;15","Okay. Thanks, Steve."
"00;02;59;15","00;03;01;28","Continue on to."
"00;03;05;26","00;03;06;05","Dave."
"00;03;06;05","00;03;07;29","I don't see also left."
"00;03;07;29","00;03;09;02","Okay. Okay."
"00;03;09;02","00;03;09;19","Let's continue."
"00;03;09;19","00;03;11;24","Let's go to the others."
"00;03;11;24","00;03;12;12","We go"
"00;03;12;12","00;03;15;10","so let's pass it to Mike first"
"00;03;15;10","00;03;18;01","since we have audio this time."
"00;03;21;06","00;03;22;11","Yes, I yeah."
"00;03;22;11","00;03;24;08","This is Mike Levin."
"00;03;24;20","00;03;26;15","I do biology at Tufts"
"00;03;26;15","00;03;27;15","trying to"
"00;03;27;15","00;03;28;27","understand what"
"00;03;28;27","00;03;29;26","what living systems"
"00;03;29;26","00;03;30;29","are doing at all scales"
"00;03;30;29","00;03;31;22","and how"
"00;03;31;29","00;03;34;01","intelligence manifests in various"
"00;03;34;11","00;03;37;18","unconventional embodiments across them."
"00;03;37;21","00;03;38;19","And they compete in"
"00;03;38;19","00;03;39;17","and cooperate across"
"00;03;39;17","00;03;41;02","scales to give us the amazing"
"00;03;41;02","00;03;42;12","phenomena we see in biology."
"00;03;44;19","00;03;45;12","Awesome."
"00;03;45;12","00;03;46;15","Thank you."
"00;03;46;25","00;03;48;25","Dave, would you like to say hello?"
