"Start Time","End Time","Transcript"
"00;00;00;02","00;00;00;09","Some"
"00;00;00;09","00;00;00;21","questions"
"00;00;00;21","00;00;00;25","that"
"00;00;00;25","00;00;01;06","we had"
"00;00;01;06","00;00;01;12","from"
"00;00;01;12","00;00;01;17","the"
"00;00;01;20","00;00;02;12","zero."
"00;00;02;12","00;00;02;17","But"
"00;00;02;17","00;00;02;27","also"
"00;00;02;27","00;00;03;08","new"
"00;00;03;08","00;00;03;23","questions"
"00;00;03;23","00;00;04;18","arising."
"00;00;04;28","00;00;05;02","So"
"00;00;05;02","00;00;05;05","we'll"
"00;00;05;05","00;00;05;10","just"
"00;00;05;10","00;00;05;18","start"
"00;00;05;18","00;00;05;24","with"
"00;00;05;24","00;00;06;00","an"
"00;00;06;00","00;00;06;21","introduction"
"00;00;06;21","00;00;06;26","and"
"00;00;06;26","00;00;07;05","saying"
"00;00;07;05","00;00;07;16","hello"
"00;00;07;16","00;00;07;22","and"
"00;00;07;22","00;00;07;27","then"
"00;00;07;27","00;00;07;29","it"
"00;00;07;29","00;00;08;01","will"
"00;00;08;01","00;00;08;05","be"
"00;00;08;05","00;00;08;27","awesome"
"00;00;08;27","00;00;09;02","to"
"00;00;09;02","00;00;09;09","hear"
"00;00;09;09","00;00;09;15","the"
"00;00;09;15","00;00;10;04","authors"
"00;00;10;04","00;00;10;24","initial"
"00;00;10;24","00;00;12;07","contextualization."
"00;00;12;07","00;00;12;24","So I'm"
"00;00;12;24","00;00;13;12","Daniel."
"00;00;13;12","00;00;13;17","I'm"
"00;00;13;17","00;00;13;19","a"
"00;00;13;19","00;00;14;05","researcher"
"00;00;14;05","00;00;14;08","in"
"00;00;14;08","00;00;15;05","California."
"00;00;15;05","00;00;16;02","And as"
"00;00;16;02","00;00;16;15","explored"
"00;00;16;15","00;00;16;17","a"
"00;00;16;17","00;00;16;24","little"
"00;00;16;24","00;00;17;07","bit in"
"00;00;17;07","00;00;17;16","the dot"
"00;00;17;16","00;00;18;02","zero"
"00;00;18;02","00;00;18;17","with"
"00;00;18;17","00;00;19;16","Sid,"
"00;00;19;16","00;00;19;22","there's"
"00;00;19;22","00;00;20;20","a few places"
"00;00;20;20","00;00;21;03","that"
"00;00;21;07","00;00;21;12","we"
"00;00;21;12","00;00;21;15","were"
"00;00;21;15","00;00;21;27","super"
"00;00;21;27","00;00;22;10","curious"
"00;00;22;10","00;00;22;26","about,"
"00;00;22;26","00;00;23;09","ranging"
"00;00;23;09","00;00;23;24","from"
"00;00;23;24","00;00;24;01","how"
"00;00;24;01","00;00;24;13","does one"
"00;00;24;13","00;00;24;23","go"
"00;00;24;23","00;00;25;15","from"
"00;00;25;15","00;00;26;23","a phenomena"
"00;00;26;23","00;00;26;29","that"
"00;00;26;29","00;00;27;01","they"
"00;00;27;01","00;00;27;07","want"
"00;00;27;07","00;00;27;10","to"
"00;00;27;10","00;00;27;29","model,"
"00;00;27;29","00;00;28;07","like"
"00;00;28;07","00;00;29;08","navigation"
"00;00;29;08","00;00;30;00","to the"
"00;00;30;00","00;00;31;09","analytical"
"00;00;31;09","00;00;32;04","equations,"
"00;00;32;04","00;00;32;14","and"
"00;00;32;14","00;00;32;24","how is"
"00;00;32;24","00;00;32;29","that"
"00;00;32;29","00;00;33;09","related"
"00;00;33;09","00;00;33;14","to"
"00;00;33;14","00;00;33;23","active"
"00;00;33;23","00;00;34;03","inference"
"00;00;34;03","00;00;34;05","and"
"00;00;34;05","00;00;34;07","the"
"00;00;34;07","00;00;34;12","free"
"00;00;34;12","00;00;34;21","energy"
"00;00;34;21","00;00;35;08","principle?"
"00;00;35;08","00;00;35;11","And"
"00;00;35;11","00;00;35;15","then"
"00;00;35;15","00;00;35;21","how do"
"00;00;35;21","00;00;36;00","we go"
"00;00;36;00","00;00;36;15","from"
"00;00;36;15","00;00;36;26","that"
"00;00;36;26","00;00;37;23","analytical"
"00;00;37;23","00;00;39;12","formulation?"
"00;00;39;12","00;00;40;00","To the"
"00;00;40;00","00;00;40;21","actual"
"00;00;40;21","00;00;41;06","gigabyte"
"00;00;41;06","00;00;41;09","of"
"00;00;41;09","00;00;41;20","video"
"00;00;41;20","00;00;42;05","data"
"00;00;42;05","00;00;42;09","and"
"00;00;42;09","00;00;42;12","the"
"00;00;42;12","00;00;42;19","real"
"00;00;42;19","00;00;42;28","time"
"00;00;42;28","00;00;43;11","sensing"
"00;00;43;11","00;00;43;28","in action."
"00;00;43;28","00;00;44;14","So"
"00;00;44;16","00;00;44;22","a lot"
"00;00;44;22","00;00;44;25","of"
"00;00;44;25","00;00;45;10","exciting"
"00;00;45;10","00;00;46;03","topics"
"00;00;46;03","00;00;46;07","and"
"00;00;46;07","00;00;46;14","all"
"00;00;46;14","00;00;46;25","paths"
"00;00;46;25","00;00;47;03","to"
"00;00;47;03","00;00;47;12","blue."
"00;00;49;12","00;00;49;23","I am"
"00;00;49;23","00;00;50;02","blue."
"00;00;50;02","00;00;50;08","I'm a"
"00;00;50;08","00;00;50;28","researcher"
"00;00;50;28","00;00;51;09","in"
"00;00;51;09","00;00;52;03","New Mexico,"
"00;00;52;03","00;00;52;27","and"
"00;00;52;27","00;00;53;12","this paper"
"00;00;53;12","00;00;53;22","was"
"00;00;53;22","00;00;53;28","kind"
"00;00;53;28","00;00;54;11","of way"
"00;00;54;11","00;00;54;18","over"
"00;00;54;18","00;00;55;13","my head"
"00;00;55;19","00;00;55;28","for"
"00;00;55;28","00;00;56;05","a lot"
"00;00;56;05","00;00;56;06","of"
"00;00;56;06","00;00;56;16","reasons."
"00;00;56;16","00;00;56;19","It's"
"00;00;56;19","00;00;56;25","just"
"00;00;56;25","00;00;57;10","so far"
"00;00;57;10","00;00;57;14","out"
"00;00;57;14","00;00;57;18","of"
"00;00;57;18","00;00;57;27","what I"
"00;00;57;27","00;00;59;08","normally do"
"00;00;59;09","00;00;59;19","but"
"00;00;59;19","00;01;00;12","I have"
"00;01;00;12","00;01;00;21","some"
"00;01;00;21","00;01;01;07","questions"
"00;01;01;07","00;01;01;19","related"
"00;01;01;19","00;01;02;09","to the"
"00;01;02;09","00;01;03;08","hierarchical"
"00;01;03;08","00;01;03;27","modeling"
"00;01;03;27","00;01;04;16","and"
"00;01;04;17","00;01;04;24","how"
"00;01;04;24","00;01;05;00","that"
"00;01;05;00","00;01;05;05","is"
"00;01;05;05","00;01;05;11","kind"
"00;01;05;11","00;01;05;14","of"
"00;01;05;14","00;01;05;27","used"
"00;01;05;27","00;01;06;22","and"
"00;01;07;08","00;01;07;26","how"
"00;01;07;26","00;01;08;22","that can"
"00;01;08;22","00;01;08;26","be"
"00;01;08;26","00;01;09;09","related"
"00;01;09;09","00;01;09;14","or"
"00;01;09;14","00;01;09;29","cannot"
"00;01;09;29","00;01;10;03","be"
"00;01;10;03","00;01;10;17","related"
"00;01;10;17","00;01;11;02","to"
"00;01;11;02","00;01;11;11","maybe"
"00;01;11;11","00;01;12;00","biological"
"00;01;12;00","00;01;13;02","systems"
"00;01;13;02","00;01;13;11","that"
"00;01;13;11","00;01;13;21","model"
"00;01;13;21","00;01;13;26","in a"
"00;01;13;26","00;01;14;15","hierarchical"
"00;01;14;15","00;01;14;23","way."
"00;01;14;23","00;01;16;01","Similarly,"
"00;01;16;06","00;01;16;12","and"
"00;01;16;12","00;01;16;14","I'll"
"00;01;16;14","00;01;16;23","pass"
"00;01;16;23","00;01;17;02","it off"
"00;01;17;02","00;01;17;13","to"
