"Speaker Name","Start Time","End Time","Transcript"
"Speaker 1","00;00;30;20","00;01;03;24","Hello and welcome, everyone. It is Acton Flab, live stream number 44.0. It's May 13th. 2022. Welcome to the Acton flap. We are a participatory online lab that is communicating, learning and practicing apply to active inference. You can find more information at the links on the slide. This is a recorded and an archived live stream, so please provide us with feedback so we can improve our work all backgrounds and perspectives are welcome and we'll be following video etiquette for live streams."
"Speaker 1","00;01;04;24","00;01;45;24","If you want to learn more about the live streams or other activities in the lab, head to Active Inference Talk today in 44.0. We are going to learn and discuss this awesome paper therapeutic alliance as active inference journey from 2022 by so mcpartlin Francisco Sarah Kelly Carl Feresten and George Estrous and the video is just an introductory review slash scoping and contextualizing we're going to have some discussions in the coming weeks on this paper with the authors and some non authors."
"Speaker 1","00;01;46;01","00;02;19;13","So we're just going to be overvaluing the paper, opening up some threads, getting excited about it, covering what they said so that we can jump into the DART one and two discussions and let's just get right into it. I'm Daniel and I'm a researcher in California. I was very curious about touch and active inference, which is an area that hasn't been explored too much, but it's something that is so critical to our daily experience."
"Speaker 1","00;02;19;22","00;02;35;23","So it sounds like a pretty important area to model or approach with active inference and all passage to it. So thanks for joining and for all the contribution on the slides. We'd love to hear any context. And welcome."
"Speaker 2","00;02;37;16","00;03;04;08","All right, Daniel, thanks very much for having me in your lab. So, yeah, I you know, I was drawn to this paper for several reasons. I first saw the paper by some of the authors that's got me joining the dots between their work and your lab, which was that was called osteopathy and mental health and embodied predictive, introspective framework."
"Speaker 2","00;03;04;09","00;03;48;20","So I've got an interest in we sense what's going on inside our body from a research point of view and a personal point of view. And then also my main, what I spend most of my time doing workwise is hands on therapy, some manual therapy which involves touch. When I saw the title of this paper, What We're Talking About Today, which is part of their series on in activism and active influence in the Therapeutic Alliance, I you know, what jumped out to me was the the word synchrony in therapeutic alliance."
"Speaker 2","00;03;48;20","00;04;03;11","So, you know, this is something in the therapy world. We often talk about Synchrony and I'm intrigued to see how that might fit in with free energy minimization."
"Speaker 1","00;04;05;03","00;04;28;11","Just one thought on what you said there about interception, which is something we've talked about, I know you've had many conversations and works on it is touch it sometimes feels like it's out there, like I'm touching objects on my desk. It's how they are out there, just like vision is something out there. But then touch is actually inside the fingers."
"Speaker 1","00;04;28;11","00;04;56;04","And so it's actually like it is an interception about the external world. So it's kind of like touch is something inside of us. But again, it's outside, it's about external objects. So how does the brain and body do that? And then what's the social dynamics of it? And then what are the clinical implications? Those are some questions we can approach with active inference and get some insight into yes."
"Speaker 2","00;04;56;04","00;05;30;05","Yeah. And you know, the other thing, what you were saying then about and I think in the interception research is there is a little bit of debate over whether so what types of touch might include as into receptive or inner thoughts. And there's low effective touch versus maybe different types of touch but also when you were saying that, I was just thinking, you know, when someone says I felt touched by that piece of music, the music didn't physically touch us apart from oscillating air waves, but touching our eardrums."
"Speaker 2","00;05;30;28","00;05;53;29","But again, it might be an intercept of experience if we were touched by some piece of music and it sent shivers up and down my spine. So, yeah, and can voice maybe in therapeutic alliance, vocal auditory input, touch people Cool."
"Speaker 1","00;05;55;01","00;06;26;25","So we wrote out one view of a big question, which is kind of like a curiosity or an openness that might approach somebody to this paper even without bringing active inference into it. And it says within a therapeutic alliance can touch be used to help a patient usefully update their beliefs. And then in the conclusion the authors are where we're going to get to is touch appears to be critical in initiating develop the salience of synchronous relationships."
"Speaker 1","00;06;27;06","00;06;43;21","Touch can be used to infer and predict other states of mind, which are crucial for developing dyadic and triad IC relationships in general and in a clinical setting. So what do you think about that big question or what drew you to it?"
"Speaker 2","00;06;44;28","00;07;21;14","Hmm. Yeah. On the surface of that question, so can touch be used to help a patient. So, you know, it seems kind of the obvious answer is yes, it can. You know, you see, if a child falls over and a parent comes up and it kind of soothes the child by stroking it or touching it or rubbing it better than that, we can kind of see an archetypal version of that of a caregiver helping someone who's distressed."
"Speaker 2","00;07;21;24","00;07;48;18","So I'd say yet, you know, yet it looks quite obvious, but then, you know, this usefully updating someone's beliefs, I think that's where it gets maybe in one doc, too. We can explore that more. And you know, what is what is an adaptive update and what is a maladaptive update and who's who's setting the polygons and where the synchrony come in?"
"Speaker 2","00;07;48;19","00;08;14;11","So yeah, loads to explore. And you know, Dyadic, they mentioned that they can try this so and it's therapeutic. We don't have to just think in terms of a professional therapeutic setting. So maybe in, you know, I can seek counsel from anyone. It doesn't have to be a professional practice, a practitioner in a business type setting or a clinical setting."
"Speaker 2","00;08;14;11","00;08;20;27","It might be with a stranger on a bus Yes."
"Speaker 1","00;08;21;08","00;08;53;14","What are the top down social scaffolds that facilitate or enable or constrain certain kinds of touch and clinical relationships? So cool. Let's go to aims and claims of the paper. So as we mentioned, the paper is McPartland at all in frontiers in psychology from 2022 and some of the aims the way that the authors represented what they set out to accomplish in the paper."
"Speaker 1","00;08;54;08","00;09;39;26","One of them was to present an empirical integrative account of the biobehavioral mechanisms that underwrite therapeutic relationships through the lens of active inference. And then they're aiming to argue for the importance of therapeutic touch in establishing a therapeutic alliance and synchrony between the practitioner in the patient. And I think this will be really interesting to explore in the context of explicitly manual and hands on therapies and work, as well as areas that are perhaps not seen like in the same way as physical therapy or osteopathy, but by the the dentist just puts the hands somewhere in a way that is calming for example."
"Speaker 1","00;09;39;26","00;10;13;02","So even in not just the only manual areas and then some of the claims that they make and some that will go into a lot more in the paper is they're going to argue that active inference provides insights into the why and the how of humans choosing to synchronize. They're going to claim that touch is used to establish and also to continually develop synchrony in our lived world as social beings."
"Speaker 1","00;10;13;09","00;10;24;20","And those are some of the threads that they reference. A lot of papers and kind of explore in the paper. So anything that you thought about just in the claims of the paper."
"Speaker 2","00;10;25;12","00;11;09;07","Mm hmm. Yeah. When I first read it right, it's you know, it seemed to reminds me of what I hear in other sort of therapies. So the importance of safety, for example, in a therapeutic setting. So if a person feels safe, then they're going to be more receptive to therapeutic touch. And that can be interesting to see on the read and speak to the authors maybe about what things facilitate synchrony and the what else have we got there?"
"Speaker 2","00;11;09;07","00;11;50;20","So, yeah, how just how the active inference framework kind of can potentially unify some of these different languages that we've got in different therapies that that that kind of may be saying very similar things and Candice, I think when we spoke a few weeks ago, the beautiful simplicity of active inference maybe helps to helps to unify those and help us understand them better."
"Speaker 1","00;11;52;03","00;12;05;19","Awesome. All right. Onto the abstract. Perhaps you could read the first four lines and I'll read the second four lines OK."
"Speaker 2","00;12;06;21","00;12;55;10","So recognizing and aligning individual's unique adaptive beliefs or priors through cooperative communication is critical to establishing a therapeutic relationship, an alliance Next bullet points. Using active inference, we present an empirical integrative account of the biobehavioral mechanisms that's right. Therapeutic relationship. Third, bullet points a significant mode of establishing cooperative alliances and potentially synchrony relationships is through extensive cues generated by repetitive coupling during dynamic touch."
"Speaker 2","00;12;57;02","00;13;17;14","And then established models speak to the unique role of affectionate touch in developing communication, interpersonal interactions, and a wide variety of therapeutic benefits for patients of all ages. Both neurophysiology, logically and behaviorally."
"Speaker 1","00;13;19;21","00;13;51;15","The purpose of this article is to argue for the importance of therapeutic touch in establishing a therapeutic alliance and ultimately synchrony between practitioner and patient. We briefly a therapeutic alliance in pro-social and clinical interactions. We then discuss how cooperative communication and mental state alignment and intentional communication are accomplished using active inference. We argue that alignment through active inference facilitates synchrony and communication."
"Speaker 1","00;13;53;00","00;14;09;18","The ensuing account is extended to include the role of see tactile appearance in realizing the beneficial effects of therapeutic synchrony. We conclude by proposing a method for synchronizing the effects of touch using the concept of active inference."
"Speaker 2","00;14;11;25","00;14;12;06","Or."
