start	end	paragNum	speaker	confidence	startTime	wordCount	text
38860	55892	1	A	0.12903	00:38	35	Key all right, hello everyone. Welcome. This is activem live stream number 51.1. We are in the second discussion of our this paper canonical neural networks perform active inference. Welcome to the active inference institute.
56036	85060	2	A	0.50022	00:56	74	We're a participatory online institute that is communicating, learning and practicing applied active inference. You can find us on the this slide and this is recorded in an archived Livestream. So please provide us feedback so we can improve our work. All backgrounds and perspectives are welcome and we'll follow good video etiquette for livestreams. Head over to activemfirms.org to learn more about the institute and how to participate in projects and learning groups.
86040	118444	3	A	0.65691	01:26	63	All right, we're in Livestream number 51 one and having our first non solo discussion on this paper, canonical Neural Networks Perform Active Inference. And really appreciative dakuya that you've joined today. It's going to be a great discussion. We'll begin with introductions. I'll say hello and then please just jump in however you'd like and we can start by setting some context.
118572	166448	4	A	0.98974	01:58	96	So I'm Daniel. I'm a researcher in California, and I was interested in this paper because we've been talking a lot about active inference from a variety of different perspectives, from the more fundamental math and physics to some applications. Philosophy embodiment all these really interesting threads. And this paper seems to make a really clear, meaningful contribution and connection by connecting active inference entities and this approach of modeling to neural networks which are in daily use globally. So thought it was a fascinating connection and really appreciate that we can talk about this today.
166534	168690	5	A	0.98723	02:46	5	So to you and welcome.
174570	196490	6	A	0.99854	02:54	39	Go for it Tokuya however you'd like to introduce and say hello. Yeah. Hi. I'm Takai Somar, neuroscientist in Lieken Brain Science Institute in Japan. I'm particularly interested in universal characterization of neural network and brain using mathematical techniques.
196650	224440	7	B	0.90487	03:16	48	So this work I believe important as a link between active coherence aspect aspect of the brain and the dynamic system aspect of the neural network. So I'm very happy to join this discussion. Thank you for invitation. Nice to meet you. Nice to meet you as well.
226490	290026	8	A	1.0	03:46	106	The first thing you added, the universal characterization of neural networks. What is the universal characterization of neural networks? Why is it being pursued in this area of research? So, as a narrow sense, my main aim of this paper is that so people use active inference formularization to characterize brain activity, behavior, so on and so on, but which would be different from a conventional neural network. So there is a crossover program which is associated with conventional neural network and it is not very clear whether all characterization of computational neural network can be explained by active infrastructure and as a principle or not.
290128	342410	9	B	0.99563	04:50	72	So here universal characterization means that parameterisation of every aspect of conventional neural network which is a kind of dynamical system derived as association between biological phenomena and simple mathematical formula, typically using differential equations as the broad sense. I think universal characterization means that well, it is a characterization of brain intelligence, but it's a big picture and what the paper particular address is only one aspect of the full picture.
346290	371560	10	A	0.96033	05:46	53	All right, so it'll be great to pull back to really understand what synthesis is happening. So I'm going to ask what makes a neural network model a neural network model and what makes an active inference model an active inference model? Is this synthesis and connection you've made true because of what?
374330	422360	11	B	0.74604	06:14	75	Because basically what we showed is the mathematical equivalence between the correlation of canonical neural networks and the correlation active inference lab in the sense that we show that a stress of neural network can be characterized by a minimization. Of some biological plausible cost function. And we show that that cost function can be lead as variation of Bayesian coherence and particular cross of generative model in terms of well known partially observable process.
426080	447190	12	A	0.99866	07:06	46	All right, shall we perhaps walk through some of the action of the paper? It would be awesome. Just for each of these sections, maybe the numbered and the lettered sections, what does the section aim to show and why was it there in the paper?
460820	521770	13	B	0.49068	07:40	81	It's and overview. Right, first we introduce so the main issue, main program, our interest, which is a relationship, which is that we try to make a formal ring between neural network and active infrastructure. That's the main problem background. And then we first formulate the equivalent mathematical equivalence in a very broad manner. So in the least action in result, we formulate the relationship using concrete cross theorem, which is a well known statistical theorem proposed very long time ago.
522380	589260	14	B	0.68	08:42	92	And using that, we link a general form of neural network with a general form of variational data coherence. But a problem is that this characterization does not address a specific generative model which is crucial to characterize a specific model, specific neural network dynamics. So in the following sections, we characterize the problem using Pomodb or partially observer Marco digital process and link that model with a particular cross of canonical neural network. And then we simulated we used the simulation to corroborate that property in terms of some maze task.
595150	625106	15	A	0.99837	09:55	60	All right, thank you for this. Could we talk about the complete class theorem? So what is the scope of the complete class theorem and why was it the relevant set of the neural networks to pursue or the right way to frame it? Thank you for asking that. So I like the slide you showed the last week's video.
625288	707962	16	B	0.86	10:25	116	The computer basically indicates the relationship between some crossover decision rule and Beijing inference. Here a crucial keyword is admissibility or admissible decision rule, which is rule which is the same as good as other decision rules or at least at one point better than other decision rules. So simply speaking, administrative indicate in some sense it is the best rule for some aspect. And usually we characterize such a goodness using cost function loss function or risk function. And here what we did is establish some association with this type of loss function or risk function with function of canonical neural network which is we call cost function or biological cost function for neural network.
708106	768450	17	B	0.99784	11:48	99	So our assumptions is that neural network minimize cost function. So if it achieved the minimization and it is validly achieved some sort of optimality so we can say it is admissible with respect to that cost function. So the beauty of complete cross serum is that if we find some admissible decision then automatically we can say that it is based on coherence in terms of some Bayesian cost function with generative model or prior beliefs. So this complexity theorem is crucial as abstract characterization of the relationship between conventional neural network architectures, dynamics and variational. Beijing inference.
771830	808190	18	A	0.87425	12:51	51	Right, thank you. What does it mean when you said it was biologically plausible of a loss function? The term is a little bit arbitrary because in this paper we Dean by prosperity in the sense that this neural network model can be derived from heuristic neural model through some approximation.
810850	836390	19	B	0.61536	13:30	39	Here, biological probability suggests or means probability as a neural model or synaptic prostitution model. And if this cost function loss function can derive such a plausible algorithm, then we can say that this cost function is vertically plausible.
839630	884406	20	A	0.90448	13:59	69	So what is the distinction between those neural and synaptic components in the loss function or what equation to look at? You mean distinction between dynamics and synaptic? Yeah. What is the distinctions between them and how is it represented in the equations? Okay, basically neuroptivity equation means differential equation about variable that represent firing intensity or some sort of variables associated with the neural firing on the other.
884428	959790	21	B	0.64	14:44	104	And synaptic plastic creation means an update rule about the synaptic weight or synaptic strengths which is a connection between two neurons. And beauty of this formulation in this paper is that we characterize both heuristic equation and synaptic process in terms of gradient descent on a same cost function, common Costa function. So we can say that if we consider the partial derivative of some cost function with respect to neural activity, then it derives gradient descent rule about activity neuroptivity. While if we consider partial generative of cost function L with respect to synaptic weight, then we derive a synaptic prosthesis rule.
970340	978420	22	A	0.99984	16:10	18	Are those the only two aspects of a neural network or why are those the two key aspects?
984040	1060480	23	B	0.99	16:24	134	I think it's a main body of the neural activity. If we consider some inference running our action exhibit by neural network in the sense that neural activity correspond to fast dynamics, fast gradient dynamics mix and while synaptic prostitution indicates a slow dynamics that minimize risk function cost function. But in general we can consider and aspect any variables associated with Urinator. For example ant least what we show in the paper is any free parameter which may be associated with firing threshold or although we don't discuss in this paper it would be possible to add other variables related to neural network. For example, here we ignored contribution of griar factor but it would be possible to add the grille factor in this correlation or any other aspect of virus Carnap network.
1064740	1107340	24	A	0.99976	17:44	82	That's very interesting and it speaks also to a general separation of timescales, for example in different multi scale systems or in the renormalization group where it's describing some minimal multi times scale system where the faster time scale can be seen as perception like and the slower timescale can be seen as more learning like. And then in some hierarchical model what's learning of one time scale can be perceptual for a slower time scale? So it's a very nice generalization.
1112500	1141480	25	A	0.99477	18:32	59	Are there any examples of decision rules that will help us think about the action components of what the neural network is doing? Because it may be more familiar to think about digit characterization and image classification, some kind of classical tasks for neural networks. But how does the decision rule play out in the context of neural networks?
1144300	1167520	26	B	0.94122	19:04	33	Okay, so in this paper we basically assume a close group comprising a neural network part and environmental part. So Neuron receives sensor input from environment and provides some feedback to the environment.
1171860	1224020	27	B	0.72225	19:31	80	Even with the example of digit classification we can say that output correspond to classifier classification output which is kind of decision rule. More relevant example would be for example controller agent like a robot control or any kind of controlling or decision making tasks. For example, when we encounter some choice task we need to advertise, for example left or right or something, any kind of Dutch a decision can be associated with the adommissibility or atomic decision rule.
1227170	1238270	28	A	0.98591	20:27	17	So what would and example of an inadmissible or admissible strategy be in the decision making task?
1240930	1270650	29	B	0.48686	20:40	31	Admissibility usually characterized by loss function or risk function here in adommissibility indicate that there is another decision rule which is at least one point better than the forecast decision rule.
1272670	1311110	30	B	0.62559	21:12	75	Simply speaking in Adobe Civility indicate that decision rule is not better, not good negatively. Let's just say our decision rule is we always turn right. Is that an example of a decision rule? Because there might be settings where that is strictly effective and the simplest rule whereas there's other settings where that's going to be tragic. So what does it mean to be admissible for an agent in light of different environmental contexts?
1312350	1355750	31	B	0.76939	21:52	56	That's an interesting point. So even with such a too much simplified rule it can be admissible under some particular situation, particular loss function. For example, the ruler that always turns right, maybe the best under some situation right. So the relationship of admissibility or in admissibility depends on both agent characteristic and the environmental characteristic.
1359450	1362410	32	A	0.99278	22:39	5	What aspects of the environment?
1366510	1389410	33	B	0.99716	22:46	29	For example, if that decision rule matches the structure architecture of environment then maybe that decision always turn right, achieves the shortest past right under some situation some environment.
1391830	1408630	34	A	0.99845	23:11	36	How does this admissibility help us think about, like, overfitting? And how does it help us think about the way that different practices are used for neural networks to prevent them from being overfit in practice?
1410890	1489922	35	B	0.82516	23:30	66	Well, strictly, adomissibility is characterized with the patient risk. So we cannot observe a hidden states of the environment, only we can observe Hae Park of the entire universe. So the question is, an important question is what is the best choice under such a limited information? Limited information. So this basically complexity tell us that only the well known Beijing framework achieved the admissible decision.
1489986	1527550	36	B	0.99998	24:49	51	Which means that in this aspect, beijing optimization give us a best choice strategy. Otherwise we all buffet or find the suboptima evolution. So it's a nice association, nice linkage between the decision what is a good decision about the decision, and the more established statistical coherence Beijing and influence framework.
1531290	1605898	37	A	0.99996	25:31	118	Thank you, that's very helpful. So we're reducing our uncertainty and risk about hidden states in the environment. So in the special case where the entire environment is observable without error, like a chess game, then there's an equivalence between calculation of risk or loss on observables or on hidden states. But they're not really hidden, but they are environmental states. Whereas any amount of uncertainty in the mapping between observations and hidden states, which is usually shown as a in the partially observable Markov decision process, any amount of uncertainty about unobserved or partially observed environmental states enables you to fit your uncertainty optimally about that hidden states and fit that uncertainty simply with a gradient descent.
1606074	1636440	38	A	0.73	26:46	53	And by doing so, you don't overfit a model of observables, which might be the fallacy or the issue with simply doing descriptive statistics, you might get an infinitely small variance with a frequentist estimate because you have 100,000 data points. So the variance from a descriptive statistics perspective might be very small.
1641150	1671620	39	A	1.0	27:21	55	I think it speaks very much to why neural networks are useful in practice from training with limited data sets, because that's an empirical conversation that they don't entirely overfit. But also, I'm sure there's ways to construct them that are overfit. Yeah, overfit would occur if we select some optimal prior beliefs. For example.
1673830	1730360	40	B	0.98472	27:53	95	Well, I'm not sure if it is overfit in the sense that you mentioned, because if we select some prior base, then the Beijing function itself changes and the neural network that try to fit to that cost function. So cost function minimization will be achieved such a situation, but that evolution is not good for our original purpose. That's a tricky part. Yeah. That is reminiscent of some discussions we've had discussing, like driving off a cliff or blowing up is also reducing free energy, like dropping off a building reduces your potential energy.
1730730	1777080	41	A	1.0	28:50	96	And so there are potentially decision making or strategic trajectories that do for some time horizon minimize free energy, perhaps even or maybe even guaranteed better than some longer time horizon. Because if the short term strategies were somehow better than the long term horizon, it would be difficult to imagine because the long term horizon would be at least as good as a short term strategy. So that speaks to the challenges of planning in action. So how is planning addressed in Modern neural networks and how does this work help us think about that?
1780010	1783350	42	B	0.92308	29:40	5	That's another very important aspect.
1785770	1849290	43	B	1.0	29:45	82	I have to say that this framework address planning aspects, but that planning is not necessarily the optimal optimal solution in the sense that what we interested in is optimization or planning under limited structure. The structure is characterized by here birdscape prospero to a neural network. So yes, planning occurred by an association between risk in the future and our decision in the past. Here we model that aspects using delayed moderation of symptomatic activity mediated by some neuromodurator or neurotransmitters.
1853470	1876930	44	B	0.54415	30:53	21	This is model as this is model as product of the risk factor and the behavior product on the neural network.
1882090	1906670	45	A	0.96698	31:22	60	All right, I'm going to ask a great question from the chat and then we'll look at the figures a little closer. So ML Don wrote a question stuck in my mind for a long time. Could you please put it to rest? Do we need to have knowledge about all states possible actions and sensory inputs for active inference?
1910920	1964980	46	B	0.96703	31:50	70	Well, you mean if you seek the exact solution, optimized solution, then maybe more information would help you to find that. But under some model, under some idea assumption, then the variables is not necessary to achieve the optimal evolution. I'm not sure if I correctly answer your point. So just to restate it. Of course, knowing all the states possible actions and sensory inputs, it's not a bad thing.
1965130	2012310	47	A	0.97014	32:45	81	Worst case, there's some computational complexity, trade offs, but the problem becomes fully stateable. But I think Mldon is asking about cases where you don't know all of the state spaces or potentially even the dimensionality or the semantics of hidden states, active states, sensory inputs, and why not even and cognitive states. So in not just partially observed but partially known state spaces, how are these addressed in neural networks and how does active inference help us think about it.
2017900	2032960	48	B	0.95755	33:37	18	Okay, I think the function is about how can we separate those states like least active coherence external.
2037180	2060210	49	A	0.71248	33:57	55	How can we separate, not just in principle have these states be separated, but deal with the fact that some of these states we might have good knowledge on and some states like the hidden states we might not even know. We don't know the dimension of the cause vector in the world. I see.
2062660	2137050	50	B	0.99733	34:22	99	In terms of dimensionality, there is a statistical technique to estimate the dimensionality. For example, various information criteria, information criteria based information criteria. All of them try to inform or estimate plausible dimensionality about the environmental hidden states. There is an analogy with those information criteria and variation free energy minimization with virtual free energy inclination we can identify the plausible model structure which in principle involved the dimension aspect. But in terms of neural network in this paper we don't carefully consider about the dimension optimization because we first define the NABO neuron and don't change during training.
2137660	2166240	51	B	0.99792	35:37	38	But in principle we can consider the change in the number of neuron which is associated with the, for example, neurogenesis adult neurogenesis or development during the development stage. That would be an important extension of this direction.
