start	end	paragNum	speaker	pconfid	wordPos	paragWordPos	paragFirstWordCount	paragLastWordCount
3150	20942	1	A	0.75	29	29	1	29
21086	77790	2	B	0.64708	144	115	30	144
77970	130458	3	B	1.0	272	128	145	272
130544	152202	4	B	0.99794	321	49	273	321
152266	188358	5	B	0.53823	405	84	322	405
188374	241238	6	C	0.90232	524	119	406	524
241334	251390	7	C	0.63257	555	31	525	555
255710	287140	8	A	0.80194	609	54	556	609
289670	319100	9	A	1.0	653	44	610	653
320110	331730	10	B	0.62338	679	26	654	679
335350	357606	11	B	0.76023	737	58	680	737
357798	372510	12	B	0.87	776	39	738	776
375090	419840	13	B	0.98	878	102	777	878
421650	465750	14	B	0.89932	977	99	879	977
465910	498870	15	B	0.99	1063	86	978	1063
502740	518496	16	B	1.0	1100	37	1064	1100
518608	583684	17	C	0.71807	1227	127	1101	1227
583812	608390	18	C	0.99998	1275	48	1228	1275
611800	679240	19	B	0.99656	1421	146	1276	1421
680780	714660	20	B	0.9997	1482	61	1422	1482
714810	747280	21	B	0.99994	1554	72	1483	1554
748100	795016	22	B	0.57311	1646	92	1555	1646
795128	825610	23	B	0.67111	1717	71	1647	1717
826220	854320	24	B	1.0	1793	76	1718	1793
856580	887592	25	B	0.99	1866	73	1794	1866
887736	924184	26	B	0.51105	1942	76	1867	1942
924382	955600	27	B	0.99999	2020	78	1943	2020
957960	1002748	28	B	0.97683	2120	100	2021	2120
1002844	1052530	29	B	0.92474	2235	115	2121	2235
1054420	1068740	30	C	0.99996	2275	40	2236	2275
1071260	1073210	31	B	0.99612	2279	4	2276	2279
1077260	1160788	32	A	0.99999	2407	128	2280	2407
1160874	1200588	33	A	0.99944	2467	60	2408	2467
1200764	1257540	34	B	1.0	2603	136	2468	2603
1257960	1311168	35	B	1.0	2713	110	2604	2713
1311264	1378472	36	B	1.0	2879	166	2714	2879
1378606	1408980	37	B	0.99993	2947	68	2880	2947
1409050	1416230	38	B	0.99999	2959	12	2948	2959
1418940	1447760	39	B	0.99556	3025	66	2960	3025
1448180	1498380	40	B	0.99987	3125	100	3026	3125
1501040	1551840	41	C	0.9991	3243	118	3126	3243
