start	end	sentNum	speaker	confidence	text
5290	6550	2	B	0.64799	Hello and welcome.
6700	9542	3	B	0.92964	It's January 26, 2023.
9676	14120	4	B	0.82684	We're here in active inference model stream number 8.1.
14490	28186	5	B	0.48	Today we're appreciative to have Thomas Ringstrom, who will be presenting on Reward is Not Necessary, a compositional theory of Self Preserving Agents with Empowerment gain maximization.
28378	31578	6	B	0.99995	There will be a presentation followed by a discussion.
31674	34074	7	B	0.97442	So Thomas, thank you for joining.
34122	35550	8	B	0.99997	Really looking forward to this.
35700	36800	9	B	0.99959	Off to you.
37810	39186	10	A	0.98609	Yeah, thank you very much.
39288	42660	11	A	0.99986	It's really nice to be here and talk to this group.
44310	49570	12	A	0.83893	I'm a computer science PhD student at the University of Minnesota.
50230	84270	13	A	0.99983	My interests are in what are the computational properties that we would need to have agents which flexibly plan in sort of high dimensional product spaces of variables, and also how do we get agents to perform complex tasks in an intrinsically motivated way, especially in high dimensional product spaces.
85650	103334	14	A	0.99921	So this presentation is going to argue that reward I know I'm talking to a sort of active inference crowd, but some of the same points apply to active inference perhaps too.
103372	110998	15	A	0.99879	But this presentation is mostly about how there's going to be some major problems.
111084	124282	16	A	1	I think using reward maximization objectives, and by moving to sort of reward free objective functions, we can get really nice factorizations that help us plan.
124416	131002	17	A	0.99559	So let's just start off with a sort of simple, picture simplified picture of an organism.
131066	132800	18	A	0.99913	So we have a honey badger here.
135650	140020	19	A	1	This honey badger has internal states.
140390	142830	20	A	0.99998	It gets hungry and it gets thirsty.
142990	148034	21	A	1	And there's also an external world that the agent lives in.
148232	158230	22	A	1	And in order to sort of modify internal state spaces, the agent might have to perform some complex tasks.
158890	167210	23	A	0.99372	It might have to get several items in order to eat an apple or things like that.
167280	180654	24	A	0.99989	So you could see that maybe some symbolic state space sort of mediates the connection between things you do in the world and transformations that you make on some internal state space.
180852	188674	25	A	1	And of course, real world organisms and humans live in a high dimensional world.
188712	209186	26	A	0.99665	So you could imagine that there's an encoder and a decoder and really there's a sort of high dimensional physiological or interoceptive domain that is these Y tilde with the dot or Y tilde, I should say, and Z tilde.
209298	211510	27	A	1	And then there's a high dimensional world.
211580	214870	28	A	0.99972	You could just say that's x tilde.
215030	232030	29	A	1	And really you just need to sort of map these down to some discrete state space in which these domains can interact here's like a simple encoder and decoder.
234210	251640	30	A	1	If an agent has a kind of simple ontology like this, you can imagine that it's sort of generatively entrained to the world that it lives in, which is a notion that's probably pretty familiar to sort of active inference people.
