start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
7210	7422	1	A	0.9297	1	1	Hello
7476	7694	1	A	0.57	2	2	and
7732	8078	1	A	0.99995	3	3	welcome,
8164	8750	1	A	0.9732	4	4	everyone.
8900	9354	2	A	0.89014	1	5	It's
9402	9802	2	A	0.93	2	6	July
9866	10746	2	A	0.34	3	7	15,
10858	12446	2	A	0.92	4	8	2023.
12628	13066	3	A	0.51985	1	9	We're
13098	13630	3	A	0.62779	2	10	here
13780	14190	3	A	0.99958	3	11	in
14260	14666	3	A	0.72838	4	12	active
14698	15434	3	A	0.49779	5	13	inference
15562	15902	3	A	0.99981	6	14	model
15956	16394	3	A	0.53161	7	15	stream
16442	16750	3	A	0.99475	8	16	number
16820	17534	3	A	1.0	9	17	9.1
17572	17726	3	A	0.99987	10	18	with
17748	18186	3	A	0.98927	11	19	Aspen
18218	18890	3	A	0.9951	12	20	Paul.
19050	19470	4	A	0.9998	1	21	Today
19540	19738	4	A	0.99841	2	22	we're
19754	19934	4	A	0.98977	3	23	going
19972	20126	4	A	1.0	4	24	to
20148	20334	4	A	0.99986	5	25	have
20372	20574	4	A	0.9	6	26	a
20612	21178	4	A	0.62851	7	27	presentation
21274	21534	4	A	1.0	8	28	and
21572	21774	4	A	0.74	9	29	a
21812	22650	4	A	0.67838	10	30	discussion
22810	23470	4	A	0.99882	11	31	on
23620	24202	4	A	0.59245	12	32	efficient
24266	24938	4	A	0.948	13	33	computation
25034	25294	4	A	0.99936	14	34	in
25332	25658	4	A	0.99606	15	35	active
25674	26154	4	A	0.97174	16	36	inference.
26202	26678	5	A	0.98758	1	37	So
26804	26998	5	A	0.99701	2	38	if
27004	27138	5	A	0.99861	3	39	you're
27154	27334	5	A	0.99997	4	40	watching
27372	27670	5	A	0.99801	5	41	along
27740	28070	5	A	0.99888	6	42	live,
28140	28374	5	A	0.99985	7	43	please
28412	28614	5	A	0.95146	8	44	feel
28652	28854	5	A	0.99998	9	45	free
28892	29094	5	A	1.0	10	46	to
29132	29382	5	A	0.95592	11	47	add
29436	29874	5	A	0.99953	12	48	comments
29922	30134	5	A	0.92367	13	49	or
30172	30470	5	A	0.99429	14	50	questions
30540	30726	5	A	0.99961	15	51	in
30748	30838	5	A	1.0	16	52	the
30844	31346	5	A	0.76348	17	53	chat.
31458	32002	6	A	0.96025	1	54	Otherwise,
32066	32962	6	A	0.37028	2	55	Aswin,
33106	33462	6	A	0.60314	3	56	thanks
33516	33686	6	A	0.9998	4	57	so
33708	34038	6	A	0.96115	5	58	much
34124	34374	6	A	0.99993	6	59	for
34412	34914	6	A	0.48362	7	60	joining
34962	35510	6	A	0.99994	8	61	today.
35660	35974	7	A	0.99995	1	62	Really
36012	36262	7	A	0.98944	2	63	looking
36316	36582	7	A	1.0	3	64	forward
36636	36758	7	A	1.0	4	65	to
36764	37030	7	A	0.5581	5	66	your
37100	37720	7	A	0.99996	6	67	talk.
38810	39126	8	B	0.99971	1	68	Thank
39148	39286	8	B	0.99989	2	69	you,
39308	39666	8	B	0.99536	3	70	Daniel.
39698	39846	9	B	0.98785	1	71	Thank
39868	40006	9	B	0.99999	2	72	you
40028	40166	9	B	0.99986	3	73	so
40188	40662	9	B	0.99988	4	74	much.
40796	41142	10	B	0.99761	1	75	So,
41196	41462	10	B	0.52499	2	76	as
41516	41830	10	B	0.99996	3	77	mentioned
41900	42134	10	B	0.99995	4	78	today,
42172	42326	10	B	0.93899	5	79	I'm
42348	42450	10	B	0.99566	6	80	here
42460	42586	10	B	1.0	7	81	to
42608	42794	10	B	0.99996	8	82	talk
42832	43178	10	B	0.99982	9	83	about
43264	43766	10	B	0.94976	10	84	efficient
43798	44166	10	B	0.98752	11	85	computation
44198	44346	10	B	0.57	12	86	and
44368	44598	10	B	0.9984	13	87	active
44614	44966	10	B	0.99827	14	88	inference.
44998	45146	11	B	1.0	1	89	And
45168	45402	11	B	0.58015	2	90	yeah,
45456	45686	11	B	0.99938	3	91	let's
45718	45866	11	B	0.99992	4	92	get
45888	46460	11	B	0.99425	5	93	started.
46830	47578	12	B	0.99436	1	94	So
47744	48026	12	B	0.98951	2	95	we
48048	48186	12	B	0.59369	3	96	are
48208	48298	12	B	0.75537	4	97	all
48304	48566	12	B	0.9586	5	98	familiar
48598	48746	12	B	0.99998	6	99	with
48768	48954	12	B	0.99996	7	100	this
48992	49194	12	B	0.99999	8	101	idea
49232	49434	12	B	1.0	9	102	of
49472	49626	12	B	0.97	10	103	the
49648	49834	12	B	0.99896	11	104	free
49872	50122	12	B	0.9988	12	105	energy
50176	50710	12	B	0.6511	13	106	principle,
50790	50986	12	B	0.99973	14	107	which
51008	51098	12	B	0.99999	15	108	is
51104	51274	12	B	0.99999	16	109	also
51312	51478	12	B	0.99976	17	110	known
51494	51674	12	B	1.0	18	111	as
51712	51970	12	B	0.99988	19	112	active
51990	52426	12	B	0.95322	20	113	inference,
52458	52846	12	B	0.99803	21	114	right?
52948	53358	13	B	0.64511	1	115	So
53444	53646	13	B	1.0	2	116	the
53668	53994	13	B	0.99871	3	117	central
54042	54458	13	B	0.99992	4	118	concept
54474	54654	13	B	0.76626	5	119	is
54692	54990	13	B	1.0	6	120	that
55060	55246	13	B	0.99997	7	121	an
55268	55790	13	B	0.6912	8	122	agent
55940	56634	13	B	0.9711	9	123	minimizes
56682	57322	13	B	0.97935	10	124	entropy
57386	57566	13	B	1.0	11	125	of
57588	57774	13	B	0.99998	12	126	its
57812	58554	13	B	0.99091	13	127	observation
58682	58974	13	B	1.0	14	128	to
59012	59306	13	B	0.99914	15	129	maintain
59338	60026	13	B	0.75116	16	130	homeostasis
60058	60254	13	B	0.99999	17	131	or
60292	60586	13	B	0.96754	18	132	survive
60618	60766	13	B	0.99997	19	133	in
60788	60974	13	B	0.99999	20	134	its
61012	61722	13	B	0.95515	21	135	environment.
61866	62174	14	B	1.0	1	136	And
62212	62606	14	B	0.99985	2	137	here
62708	62926	14	B	1.0	3	138	the
62948	63466	14	B	0.53019	4	139	entropy
63498	63646	14	B	0.99996	5	140	is
63668	64074	14	B	0.99999	6	141	defined
64122	64298	14	B	1.0	7	142	in
64324	64466	14	B	1.0	8	143	the
64488	64818	14	B	0.9997	9	144	information
64904	65486	14	B	0.78592	10	145	theoretic
65518	65858	14	B	0.99786	11	146	sense,
65944	66194	14	B	0.9684	12	147	right?
66232	66386	15	B	0.99988	1	148	So
66408	66980	15	B	0.99232	2	149	if
67350	67714	15	B	0.88156	3	150	an
67752	68206	15	B	0.99005	4	151	observation
68238	68386	15	B	0.9999	5	152	is
68408	68686	15	B	0.99998	6	153	highly
68718	69502	15	B	0.98124	7	154	probabilistic,
69566	69746	15	B	1.0	8	155	that
69768	69906	15	B	0.99996	9	156	is
69928	70114	15	B	0.99998	10	157	less
70152	70766	15	B	0.84173	11	158	entropic
70798	71042	15	B	0.99998	12	159	or
71096	71314	15	B	1.0	13	160	less
71352	71982	15	B	0.57488	14	161	surprising
72046	72274	15	B	1.0	15	162	because
72312	72514	15	B	0.99998	16	163	it
72552	72754	15	B	0.99993	17	164	was
72792	72994	15	B	0.81549	18	165	high
73032	73470	15	B	0.95874	19	166	probability
73550	73746	15	B	1.0	20	167	and
73768	73858	15	B	0.99998	21	168	we
