start	end	sentNum	speaker	confidence	wordPosSent	wordPosDoc	text
1690	1998	1	A	0.99987	1	1	Hello,
2084	2574	1	A	0.99999	2	2	everyone.
2692	2974	2	A	1.0	1	3	It
3012	3358	2	A	1.0	2	4	is
3444	3866	2	A	1.0	3	5	June
3898	4474	2	A	0.64	4	6	16,
4522	4894	2	A	0.93	5	7	2022,
4932	6126	2	A	0.93	6	8	and
6148	6426	2	A	0.72901	7	9	it's
6458	6842	2	A	0.9168	8	10	meeting
6906	7422	2	A	0.98	9	11	seven
7556	7854	2	A	1.0	10	12	of
7892	8046	2	A	1.0	11	13	the
8068	8554	2	A	0.5906	12	14	active
8602	9082	2	A	0.86106	13	15	textbook
9146	9626	2	A	0.62116	14	16	textbook
9658	9902	2	A	1.0	15	17	group
9956	10394	2	A	0.98118	16	18	Cohort
10442	10990	2	A	0.99	17	19	one.
11140	11514	3	A	0.55803	1	20	We're
11562	11774	3	A	0.61	2	21	in
11812	12014	3	A	0.99989	3	22	our
12052	12350	3	A	1.0	4	23	second
12420	13002	3	A	0.99999	5	24	discussion
13066	13678	3	A	1.0	6	25	of
13844	14394	3	A	0.99919	7	26	chapter
14442	15040	3	A	1.0	8	27	three
17810	18366	3	A	1.0	9	28	today.
18468	18794	4	A	0.92268	1	29	We'll
18842	19198	4	A	1.0	2	30	be
19284	19630	4	A	0.99999	3	31	looking
19700	20078	4	A	0.53	4	32	at
20164	20414	4	A	1.0	5	33	the
20452	21040	4	A	0.99955	6	34	questions
21410	21870	4	A	0.99972	7	35	that
21940	22266	4	A	0.99907	8	36	haven't
22298	22542	4	A	0.999	9	37	been
22596	23114	4	A	0.99985	10	38	addressed,
23162	23326	4	A	1.0	11	39	so
23348	23438	4	A	1.0	12	40	the
23444	23662	4	A	1.0	13	41	ones
23716	24222	4	A	0.99943	14	42	without
24356	25150	4	A	0.99582	15	43	thumbs.
25770	26614	5	A	1.0	1	44	And
26812	27510	5	A	0.9999	2	45	also,
27660	27986	5	A	0.67014	3	46	it's
28018	28166	5	A	0.99997	4	47	not
28188	28374	5	A	0.95509	5	48	too
28412	28578	5	A	0.99948	6	49	late
28594	28774	5	A	0.99	7	50	to
28812	29014	5	A	0.99999	8	51	add
29052	29254	5	A	1.0	9	52	more
29292	29590	5	A	0.99984	10	53	questions
29660	29894	5	A	0.82807	11	54	or
29932	30086	5	A	1.0	12	55	to
30108	30642	5	A	0.5065	13	56	upvote
30706	31320	5	A	0.99986	14	57	questions.
32170	32582	6	A	0.75	1	58	And
32636	32998	6	A	0.88	2	59	then
33084	34070	6	A	0.99926	3	60	additionally,
34570	34982	6	A	1.0	4	61	since
35036	35640	6	A	1.0	5	62	the
36010	36514	6	A	0.93166	6	63	Math
36562	36822	6	A	0.99993	7	64	Learning
36876	37238	6	A	0.72	8	65	Group
37324	37586	6	A	0.99997	9	66	has
37628	38218	6	A	0.99989	10	67	been
38384	38810	6	A	0.79898	11	68	quite
38880	39850	6	A	0.71298	12	69	active
40350	40810	6	A	1.0	13	70	in
40880	41558	6	A	0.54503	14	71	providing
41654	42390	6	A	0.99807	15	72	synchronous
42470	43610	6	A	0.89757	16	73	affordances
43950	44362	6	A	0.52463	17	74	for
44416	45078	6	A	0.87746	18	75	conversation
45174	45914	6	A	0.99999	19	76	around
46112	46666	6	A	0.99836	20	77	some
46768	47034	6	A	0.98	21	78	of
47072	47274	6	A	1.0	22	79	the
47312	47782	6	A	0.99508	23	80	background
47846	48026	6	A	0.99999	24	81	on
48048	48186	6	A	1.0	25	82	the
48208	48726	6	A	0.99844	26	83	Math
48838	49066	6	A	1.0	27	84	as
49088	49226	6	A	1.0	28	85	well
49248	49434	6	A	0.98219	29	86	as
49472	49878	6	A	0.99883	30	87	some
49984	50426	6	A	0.53004	31	88	aspects
50458	50558	6	A	1.0	32	89	of
50564	50686	6	A	1.0	33	90	the
50708	51034	6	A	0.99973	34	91	equations
51082	51246	6	A	0.52301	35	92	that
51268	51418	6	A	0.96534	36	93	we'll
51434	51566	6	A	0.99999	37	94	go
51588	51870	6	A	0.97275	38	95	through
51940	52606	6	A	1.0	39	96	today
52788	53422	6	A	1.0	40	97	and
53556	53998	6	A	0.99993	41	98	also
54084	54382	6	A	0.99996	42	99	even
54436	54894	6	A	1.0	43	100	to
55012	55882	6	A	0.96442	44	101	applications
55946	56174	6	A	1.0	45	102	of
56212	56366	6	A	1.0	46	103	the
56388	56746	6	A	0.55507	47	104	math
56778	56974	6	A	1.0	48	105	and
57012	57386	6	A	0.99995	49	106	developing
57418	57898	6	A	0.9994	50	107	notebooks
57914	58094	6	A	0.92	51	108	and
58132	58720	6	A	1.0	52	109	such.
59730	60666	7	A	0.64001	1	110	We'll
60858	61214	7	A	0.99998	2	111	take
61252	61502	7	A	1.0	3	112	a
61556	61774	7	A	0.99999	4	113	look
61812	62014	7	A	1.0	5	114	at
62052	62206	7	A	1.0	6	115	the
62228	62910	7	A	0.95392	7	116	math
64070	64434	7	A	1.0	8	117	in
64472	65060	7	A	0.9959	9	118	our
65430	65842	7	A	0.99975	10	119	move
65896	66210	7	A	0.91701	11	120	through
66280	66686	7	A	0.68918	12	121	chapter
66718	67300	7	A	0.83	13	122	three.
68150	68562	8	A	0.89433	1	123	Before
68616	68834	8	A	0.9982	2	124	we
68872	69026	8	A	1.0	3	125	go
69048	69186	8	A	1.0	4	126	to
69208	69346	8	A	1.0	5	127	the
69368	69746	8	A	0.99992	6	128	questions,
69848	70114	8	A	0.9982	7	129	does
70152	70740	8	A	0.98996	8	130	anyone
71270	71634	8	A	0.89143	9	131	have
71672	71922	8	A	0.99968	10	132	anything
71976	72146	8	A	0.99997	11	133	that
72168	72306	8	A	0.99998	12	134	they
72328	72466	8	A	1.0	13	135	just
72488	72626	8	A	0.99843	14	136	want
72648	72930	8	A	1.0	15	137	to
73000	73374	8	A	0.99995	16	138	remark
73422	73730	8	A	0.99991	17	139	on
73800	74254	8	A	0.99528	18	140	chapter
74302	74900	8	A	1.0	19	141	three,
75770	76354	8	A	0.93464	20	142	Ali
76402	76566	8	A	1.0	21	143	and
76588	76726	8	A	1.0	22	144	then
76748	77030	8	A	0.99948	23	145	anyone
77100	77720	8	A	0.99999	24	146	else?
80650	81350	9	B	0.96632	1	147	Yeah.
81500	81958	10	B	1.0	1	148	Well,
82044	82294	10	B	0.99997	2	149	last
82332	82486	10	B	1.0	3	150	week
82508	82694	10	B	0.78	4	151	I
82732	82982	10	B	0.99776	5	152	talked
83036	83302	10	B	1.0	6	153	about
83356	83574	10	B	1.0	7	154	how
83612	83910	10	B	1.0	8	155	I
83980	84354	10	B	0.98462	9	156	changed
84402	84566	10	B	0.99999	10	157	my
84588	84870	10	B	0.9442	11	158	mind
84940	85560	10	B	0.99999	12	159	about
85930	86630	10	B	0.99993	13	160	these
86780	87142	10	B	0.99997	14	161	bottom
87196	87414	10	B	0.89609	15	162	up
87452	87606	10	B	1.0	16	163	and
87628	87874	10	B	0.99982	17	164	top
87932	88250	10	B	0.96	18	165	down
88320	89254	10	B	0.68313	19	166	characterizations
89302	89562	10	B	1.0	20	167	of
89616	89834	10	B	0.99168	21	168	low
89872	90170	10	B	0.64364	22	169	road
90240	90810	10	B	0.99	23	170	and
90960	91274	10	B	0.84917	24	171	high
91312	91562	10	B	0.99875	25	172	road,
91616	92294	10	B	0.99482	26	173	respectively,
