text	entity_type		start	end
mechanics	occupation		174652	175520
Dalton	person_name		184602	184992
Eric	person_name		524948	525800
Jacob	person_name		674990	675960
Eric	person_name		731760	732620
Ali	person_name		741960	742464
Ollie	person_name		1233088	1233458
Eric	person_name		1395422	1395812
Ali	person_name		1655910	1656558
Ali	person_name		1841550	1842490
rohan	person_name		1843712	1844490
Rohan	person_name		1853100	1854120
$100	money_amount		2108522	2109556
$200	money_amount		2127486	2128072
$200	money_amount		2128708	2129544
$100	money_amount		2178676	2179400
$100	money_amount		2188242	2188860
dollars	money_amount		2284098	2284764
dollars	money_amount		2285602	2285900
dollar	money_amount		2291378	2291736
dollars	money_amount		2294326	2294640
dollars	money_amount		2295078	2295312
$100	money_amount		2302060	2302896
$100	money_amount		2305420	2306412
$100	money_amount		2307648	2308212
$100	money_amount		2309888	2310548
$100	money_amount		2316048	2316808
$100	money_amount		2319012	2319720
$100	money_amount		2329282	2329980
$100	money_amount		2363642	2364740
$100	money_amount		2390168	2390732
$100	money_amount		2400390	2401200
$100	money_amount		2448332	2449040
$100	money_amount		2452428	2453088
$100	money_amount		2460906	2461828
$100	money_amount		2466042	2466968
dollars	money_amount		2484082	2484620
Eric	person_name		2567180	2568040
planner	occupation		2707258	2707696
